#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,ft
2013,5,10,227.6486486,5.616216216,7.305405405,0.490540541,2.790571429,NAN,295.3783784,NAN,18.38918919,NAN,13.30810811,NAN,NAN
2013,5,11,255.6197183,5.640140845,7.69084507,0.474577465,2.569133858,NAN,299.7394366,NAN,10.12605634,NAN,5.93028169,NAN,NAN
2013,5,12,247.8380282,9.144366197,12.43521127,0.784680851,4.117641509,NAN,457.8943662,NAN,7.833098592,NAN,0.895774648,NAN,NAN
2013,5,13,253.084507,5.206338028,7.286619718,0.411478873,2.642475248,NAN,297.8450704,NAN,7.091549296,NAN,-3.334507042,NAN,NAN
2013,5,14,168.7342657,5.911888112,7.50979021,0.573006993,2.960762712,NAN,235.9440559,NAN,12.94825175,13.5826087,3.946153846,NAN,NAN
2013,5,15,212.6760563,4.738732394,6.105633803,0.393098592,2.734956522,NAN,268.5704225,NAN,19.01056338,14.13239437,11.48802817,NAN,NAN
2013,5,16,226.2816901,2.704929577,3.368309859,0.136549296,2.570555556,NAN,511.2112676,NAN,18.25774648,15.42887324,10.45492958,NAN,NAN
2013,5,17,51.22377622,7.437762238,9.74965035,1.101048951,4.809473684,NAN,268.8111888,NAN,14.08321678,15.57902098,8.158041958,NAN,NAN
2013,5,18,70.98601399,6.803496503,8.944055944,0.974,4.565,NAN,177.1678322,NAN,14.49160839,15.41958042,8.868531469,NAN,NAN
2013,5,19,66.28671329,3.961538462,5.167832168,0.504405594,3.568018018,NAN,140.7902098,NAN,16.25664336,16.35244755,12.53076923,NAN,NAN
2013,5,20,138.8680556,3.465277778,4.424305556,0.324513889,2.788979592,NAN,190.2916667,NAN,19.32152778,17.11458333,16.13055556,NAN,NAN
2013,5,21,190.7746479,4.042957746,5.040140845,0.316690141,2.547755102,NAN,231.4507042,NAN,21.68521127,18.00567376,16.27253521,NAN,NAN
2013,5,22,192.2765957,4.79858156,6.171631206,0.406737589,2.589824561,NAN,243.9503546,NAN,21.03191489,18.47730496,16.07730496,NAN,NAN
2013,5,23,237.7222222,6.157638889,8.198611111,0.647222222,2.879375,NAN,250.3263889,NAN,16.60416667,17.78402778,13.16458333,NAN,NAN
2013,5,24,326.041958,6.874825175,9.78041958,0.733006993,3.214615385,NAN,122.6993007,NAN,8.972027972,16.60629371,2.147552448,NAN,NAN
2013,5,25,131.2340426,2.54751773,3.795035461,0.257234043,2.4705,NAN,161.2836879,NAN,11.67588652,16.75106383,1.720567376,NAN,NAN
2013,5,26,152.4375,3.454861111,4.623611111,0.320347222,2.703854167,NAN,172.7430556,NAN,13.78958333,17.01736111,2.530555556,NAN,NAN
2013,5,27,107.4375,5.655555556,7.204861111,0.543541667,2.890437956,NAN,157.2152778,NAN,14.39722222,16.72013889,7.40625,NAN,NAN
2013,5,28,163.8461538,4.723776224,6.443356643,0.675492958,3.593703704,NAN,186.4615385,NAN,16.95244755,16.3965035,13.85804196,NAN,NAN
2013,5,29,206.9440559,5.433566434,6.977622378,0.472167832,2.749111111,NAN,261.048951,NAN,21.30839161,17.32727273,15.81958042,NAN,NAN
2013,5,30,183.6527778,3.1125,3.928472222,0.225763889,2.395614035,NAN,370.1875,NAN,21.76319444,18.95347222,16.89097222,NAN,NAN
2013,5,31,174.2986111,4.869444444,6.220138889,0.414895105,2.713301887,NAN,243.0416667,NAN,21.62708333,18.98958333,17.23611111,NAN,NAN
2013,6,1,194.8194444,5.633333333,7.260416667,0.530972222,2.757342657,NAN,261.875,NAN,20.27361111,18.67847222,16.84722222,NAN,NAN
2013,6,2,208.8741259,6.106993007,8.016783217,0.500629371,2.984059406,NAN,382.8951049,NAN,19.55104895,18.74615385,15.34335664,NAN,NAN
2013,6,3,231.9791667,4.904861111,6.570138889,0.412847222,2.667589286,NAN,124.0763889,NAN,13.92638889,18.53472222,6.036111111,NAN,NAN
2013,6,4,145.7986111,3.898611111,5.086111111,0.348888889,2.731226415,NAN,206.8055556,NAN,15.85833333,18.78819444,7.579861111,NAN,NAN
2013,6,5,68.86111111,5.584027778,7.253472222,0.63013986,3.19625,NAN,149.6597222,NAN,16.54861111,18.93472222,9.220138889,NAN,NAN
2013,6,6,46.70833333,6.893055556,9.185416667,0.966363636,4.031875,NAN,246.5138889,NAN,16.41458333,18.88194444,9.41875,NAN,NAN
2013,6,7,187.3472222,4.75,6.3375,0.472222222,2.799071429,NAN,80.08333333,NAN,14.99027778,18.68819444,10.42013889,NAN,NAN
2013,6,8,138.0629371,2.672027972,3.597902098,0.223076923,2.1972,NAN,186.6573427,NAN,16.51818182,18.92517483,10.43426573,NAN,NAN
2013,6,9,94.1875,6.453472222,8.363888889,0.802097902,3.332083333,NAN,181.7638889,NAN,18.60277778,19.09375,14.05347222,NAN,NAN
2013,6,10,97.18055556,4.503472222,5.867361111,0.623496503,3.301111111,NAN,208.0972222,NAN,18.85208333,19.32777778,16.57361111,NAN,NAN
2013,6,11,246.9722222,3.531944444,4.476388889,0.244652778,2.097962963,NAN,286.1527778,NAN,20.36736111,19.61111111,16.92083333,NAN,NAN
2013,6,12,173.7552448,2.605594406,3.33006993,0.157342657,2.308378378,NAN,517.4965035,NAN,20.93916084,20.04895105,17.57342657,NAN,NAN
2013,6,13,247.7430556,5.689583333,7.671527778,0.630416667,3.199791667,NAN,159.5902778,NAN,19.72777778,19.08958333,15.08472222,NAN,NAN
2013,6,14,262.1388889,4.364583333,5.610416667,0.374930556,2.60015873,NAN,89.125,NAN,19.27708333,19.32291667,12.78402778,NAN,NAN
2013,6,15,169.6619718,3.873943662,4.904225352,0.329507042,2.3446,NAN,209.2042254,NAN,20.4,19.81478873,14.41690141,NAN,NAN
2013,6,16,214.9236111,5.170833333,6.738194444,0.426736111,2.672583333,NAN,262.3958333,NAN,21.6125,20.275,17.22152778,NAN,NAN
2013,6,17,206.4460432,2.887769784,3.625899281,0.19676259,2.205333333,NAN,426.5035971,NAN,22.18776978,21.02446043,17.68705036,NAN,NAN
2013,6,18,96.50694444,6.215277778,8.052083333,0.670208333,2.063333333,NAN,187.2361111,NAN,19.31388889,20.82638889,14.78611111,NAN,NAN
2013,6,19,54.14685315,5.624475524,7.38951049,0.714475524,2.661428571,NAN,204.9020979,NAN,17.55944056,21.08461538,10.21678322,NAN,NAN
2013,6,20,114.0882353,4.352205882,5.496323529,0.411102941,NAN,NAN,195.6911765,NAN,19.62794118,21.24772727,11.61838235,NAN,NAN
2013,6,21,123.4236111,4.140277778,5.26875,0.422708333,NAN,NAN,186.3125,NAN,22.36041667,22.02430556,16.42708333,NAN,NAN
2013,6,22,181.2907801,4.477304965,5.838297872,0.360567376,NAN,NAN,261.6170213,NAN,23.90496454,22.56241135,18.75460993,NAN,NAN
2013,6,23,199.3333333,3.517361111,4.580555556,0.308194444,NAN,NAN,261.5833333,NAN,24.26666667,22.95138889,19.85694444,NAN,NAN
2013,6,24,191.5486111,4.417361111,5.738888889,0.349722222,NAN,NAN,297.6527778,NAN,24.26180556,23.43333333,19.45347222,NAN,NAN
2013,6,25,221.013986,5.09020979,6.781818182,0.407622378,NAN,NAN,347.8251748,NAN,24.50839161,23.33566434,19.79370629,NAN,NAN
2013,6,26,186.8461538,4.508391608,5.992307692,0.355034965,NAN,NAN,350.7272727,NAN,22.93356643,23.53356643,19.09230769,NAN,NAN
2013,6,27,162.6527778,3.400694444,4.454861111,0.24125,NAN,NAN,270.1458333,NAN,22.78125,24.10347222,19.61111111,NAN,NAN
2013,6,28,248.5347222,3.615972222,4.975694444,0.289722222,NAN,NAN,301.9236111,NAN,21.03055556,23.97847222,17.34652778,NAN,NAN
2013,6,29,224.2727273,3.738461538,5.000699301,0.275244755,NAN,NAN,270.3776224,NAN,20.21958042,23.94895105,16.32377622,NAN,NAN
2013,6,30,33.2027972,7.048251748,9.081118881,0.788111888,NAN,NAN,224.6783217,NAN,20.75174825,23.45594406,14.92727273,NAN,NAN
2013,7,1,68.56944444,9.053472222,11.76111111,1.097462687,NAN,NAN,153.4375,NAN,19.69097222,22.77986111,14.98194444,NAN,NAN
2013,7,2,54.99305556,6.829861111,8.904861111,0.905944056,NAN,NAN,160.6597222,NAN,19.26805556,21.50208333,15.55,NAN,NAN
2013,7,3,102.6944444,3.623611111,4.652777778,0.406805556,NAN,NAN,204.7777778,NAN,22.02222222,22.51428571,18.57986111,NAN,NAN
2013,7,4,148.3125,3.884027778,4.975694444,0.314791667,NAN,NAN,221.5208333,NAN,22.79305556,22.84097222,19.43958333,NAN,NAN
2013,7,5,164.6056338,2.566901408,3.275352113,0.180985915,NAN,NAN,378.0704225,NAN,22.09929577,22.9056338,18.89225352,NAN,NAN
2013,7,6,137.4195804,3.797202797,4.729370629,0.27993007,NAN,NAN,220.4895105,NAN,22.76643357,23.1993007,20.06013986,NAN,NAN
2013,7,7,201.5625,5.022916667,6.429861111,0.389305556,NAN,NAN,261.4027778,NAN,22.38125,23.05486111,19.19305556,NAN,NAN
2013,7,8,192.0277778,4.979861111,6.879861111,0.392222222,NAN,NAN,279.8402778,NAN,23.01944444,23.03819444,19.22013889,NAN,NAN
2013,7,9,191.8521127,3.975352113,5.215492958,0.310774648,NAN,NAN,302.056338,NAN,23.55352113,23.51971831,20.97535211,NAN,NAN
2013,7,10,203.6944444,5.5625,7.345138889,0.459791667,NAN,NAN,285.4791667,NAN,24.34375,23.68680556,21.30763889,NAN,NAN
2013,7,11,146.1338028,4.233098592,5.66056338,0.399295775,NAN,NAN,196.528169,NAN,22.26901408,23.82605634,13.97042254,NAN,NAN
2013,7,12,78.73611111,4.347916667,5.85,0.444930556,NAN,NAN,103.3263889,NAN,20.89027778,24.10069444,14.84791667,NAN,NAN
2013,7,13,68.20138889,6.038888889,7.695833333,0.686944444,NAN,NAN,217.4513889,NAN,22.74722222,24.01875,17.61805556,NAN,NAN
2013,7,14,78.57342657,4.577622378,5.755944056,0.48006993,NAN,NAN,168,NAN,24.11188811,24.46363636,20.48741259,NAN,NAN
2013,7,15,120.2152778,2.616666667,3.286805556,0.228958333,NAN,NAN,267.3402778,NAN,25.96388889,25.65069444,22.33958333,NAN,NAN
2013,7,16,159.3404255,2.74751773,3.495035461,0.185460993,NAN,NAN,337.2269504,NAN,26.83262411,26.93758865,23.58297872,NAN,NAN
2013,7,17,223.5869565,3.062318841,3.805072464,0.184927536,NAN,NAN,389.2173913,NAN,28.04057971,27.25942029,23.4942029,NAN,NAN
2013,7,18,209.637037,3.077777778,4.048888889,0.197777778,NAN,NAN,378,NAN,28.28222222,27.5637037,23.07555556,NAN,NAN
2013,7,19,200.8671329,6.055244755,8.009090909,0.496993007,NAN,NAN,307.0979021,NAN,28.75034965,27.43006993,22.92657343,NAN,NAN
2013,7,20,179.056338,5.443661972,7.390140845,0.479428571,NAN,NAN,291.6126761,NAN,25.63873239,26.82253521,21.24295775,NAN,NAN
2013,7,21,68.72027972,4.717482517,6.158741259,0.496433566,NAN,NAN,183.8391608,NAN,23.96013986,26.53356643,16.93006993,NAN,NAN
2013,7,22,108.2535211,4.423239437,5.81971831,0.479295775,NAN,NAN,167.2464789,NAN,24.38873239,26.18802817,17.90985915,NAN,NAN
2013,7,23,215.6319444,5.35625,6.922222222,0.41875,NAN,NAN,291.0277778,NAN,23.72013889,26.01111111,18.99861111,NAN,NAN
2013,7,24,219.6573427,7.079020979,9.841958042,0.735874126,NAN,NAN,196.1608392,NAN,19.1,25.46760563,11.26573427,NAN,NAN
2013,7,25,120.6267606,3.766197183,5.523239437,0.409859155,NAN,NAN,195.9225352,NAN,19.56830986,25.16258993,11.20492958,NAN,NAN
2013,7,26,153.7222222,3.472222222,4.74375,0.285902778,NAN,NAN,217.4236111,NAN,21.68888889,25.09375,12.89652778,NAN,NAN
2013,7,27,181.9513889,6.798611111,8.932638889,0.598680556,NAN,NAN,330.0555556,NAN,21.18611111,24.58263889,16.42708333,NAN,NAN
2013,7,28,228.9166667,7.5125,10.30763889,0.621180556,NAN,NAN,356.5902778,NAN,17.50486111,23.7,11.12013889,NAN,NAN
2013,7,29,240.7902098,6.055244755,8.062937063,0.46951049,NAN,NAN,350.041958,NAN,18.30979021,22.97692308,11.71608392,NAN,NAN
2013,7,30,226.1338028,2.616197183,3.55,0.182605634,NAN,NAN,323.3802817,NAN,20.01267606,23.20070423,12.72112676,NAN,NAN
