#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,ft
2011,1,14,223.2285714,8.751428571,11.32571429,NAN,NAN,NAN,NAN,NAN,24.80857143,NAN,NAN,NAN,NAN
2011,1,15,193.9733333,14.60533333,19.768,NAN,NAN,NAN,NAN,NAN,25.85066667,NAN,NAN,NAN,NAN
2011,1,16,286.4459459,19.34324324,24.46418919,NAN,NAN,NAN,NAN,NAN,23.92432432,NAN,NAN,NAN,NAN
2011,1,17,135.84,9.728,14.304,NAN,NAN,NAN,NAN,NAN,18.15714286,NAN,NAN,NAN,NAN
2011,1,20,243.4545455,7.554545455,9.529752066,NAN,NAN,NAN,NAN,NAN,-4.883471074,NAN,NAN,NAN,NAN
2011,1,21,220.3552632,9.486184211,12.26953642,NAN,NAN,NAN,NAN,NAN,-6.707236842,NAN,NAN,NAN,NAN
2011,1,22,212.5,5.657534247,8.209589041,NAN,NAN,NAN,NAN,NAN,-9.86369863,NAN,NAN,NAN,NAN
2011,1,23,284.8601399,6.712587413,9.288028169,NAN,NAN,NAN,NAN,NAN,-9.88041958,NAN,NAN,NAN,NAN
2011,1,24,152.8068966,3.173793103,4.864137931,NAN,NAN,NAN,NAN,NAN,-12.03241379,NAN,NAN,NAN,NAN
2011,1,25,214.4551724,5.754482759,8.163448276,NAN,NAN,NAN,NAN,NAN,-0.870344828,NAN,NAN,NAN,NAN
2011,1,26,136.3819444,2.945138889,3.909027778,NAN,NAN,NAN,NAN,NAN,-1.868055556,NAN,NAN,NAN,NAN
2011,1,27,253.2916667,6.054166667,8.125,NAN,NAN,NAN,NAN,NAN,-2.027083333,NAN,NAN,NAN,NAN
2011,1,28,210.4305556,2.985416667,4.129861111,NAN,NAN,NAN,NAN,NAN,-3.102777778,NAN,NAN,NAN,NAN
2011,1,29,132.1944444,4.075,5.290972222,NAN,NAN,NAN,NAN,NAN,-3.189583333,NAN,NAN,NAN,NAN
2011,1,30,197.1666667,3.529861111,4.485416667,NAN,NAN,NAN,NAN,NAN,-4.635416667,NAN,NAN,NAN,NAN
2011,1,31,120.3611111,4.209027778,5.491666667,NAN,NAN,NAN,NAN,NAN,-10.47569444,NAN,NAN,NAN,NAN
2011,2,1,46.54545455,5.334545455,6.745454545,NAN,NAN,NAN,NAN,NAN,-9.421818182,NAN,NAN,NAN,NAN
2011,2,21,34.32323232,11.07979798,13.59393939,NAN,NAN,NAN,NAN,NAN,-6.887878788,NAN,NAN,NAN,NAN
2011,2,22,47.04827586,6.566896552,7.857241379,NAN,NAN,NAN,NAN,NAN,-9.211724138,NAN,NAN,NAN,NAN
2011,2,23,131.9930556,2.235416667,3.009027778,NAN,NAN,NAN,NAN,NAN,-5.883333333,NAN,NAN,NAN,NAN
2011,2,24,189.3493151,2.413013699,3.408965517,NAN,NAN,NAN,NAN,NAN,-0.721917808,NAN,NAN,NAN,NAN
2011,2,25,126.4832215,8.029530201,9.994520548,NAN,NAN,NAN,NAN,NAN,-0.920134228,NAN,NAN,NAN,NAN
2011,2,26,187.0482759,3.011724138,3.948965517,NAN,NAN,NAN,NAN,NAN,-4.38,NAN,NAN,NAN,NAN
2011,2,27,175.7916667,2.780555556,3.882638889,NAN,NAN,NAN,NAN,NAN,0.857638889,NAN,NAN,NAN,NAN
2011,2,28,200.0723684,4.784210526,6.917105263,NAN,NAN,NAN,NAN,NAN,4.796710526,NAN,NAN,NAN,NAN
2011,3,1,240.7013889,3.060416667,3.923611111,NAN,NAN,NAN,NAN,NAN,-2.238194444,NAN,NAN,NAN,NAN
2011,3,2,251.14,9.22,12.31933333,NAN,NAN,NAN,NAN,NAN,0.506666667,NAN,NAN,NAN,NAN
2011,3,3,138.5625,3.327777778,4.36875,NAN,NAN,NAN,NAN,NAN,-7.2375,NAN,NAN,NAN,NAN
2011,3,4,144.4539474,5.648026316,9.807236842,NAN,NAN,NAN,NAN,NAN,2.619078947,NAN,NAN,NAN,NAN
2011,3,5,158.242236,9.237267081,14.88136646,NAN,NAN,NAN,NAN,NAN,7.963354037,NAN,NAN,NAN,NAN
2011,3,6,154.1103448,7.289655172,8.972413793,NAN,NAN,NAN,NAN,NAN,-0.642068966,NAN,NAN,NAN,NAN
