#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,ft
2007,8,11,77.70833333,3.76875,4.491666667,NAN,NAN,NAN,NAN,1018.447917,24.29583333,NAN,NAN,NAN,NAN
2007,8,12,104.5,0.55,1.1,NAN,NAN,NAN,NAN,1018.3,25.05,NAN,NAN,NAN,NAN
2007,8,14,249.3538462,3.023076923,4.236923077,NAN,NAN,NAN,NAN,1015.443077,21.92461538,NAN,NAN,NAN,NAN
2007,8,15,147.7831325,4.210843373,5.478313253,NAN,NAN,NAN,NAN,1013.88253,22.37891566,NAN,NAN,NAN,NAN
2007,8,16,249.1194969,6.095597484,7.6,NAN,NAN,NAN,NAN,1012.693082,23.2081761,NAN,NAN,NAN,NAN
2007,8,17,191.9345238,5.614880952,6.82392638,NAN,NAN,NAN,NAN,1014.347619,22.53214286,NAN,NAN,NAN,NAN
2007,8,18,58.10588235,7.028823529,8.785802469,NAN,NAN,NAN,NAN,1022.718235,17.73705882,NAN,NAN,NAN,NAN
2007,8,19,189.4878049,3.407926829,4.33597561,NAN,NAN,NAN,NAN,1021.704878,15.84878049,NAN,NAN,NAN,NAN
2007,8,20,138.4901961,6.120261438,7.739473684,NAN,NAN,NAN,NAN,1018.290196,15.56797386,NAN,NAN,NAN,NAN
2007,8,21,179.1409396,5.016778523,6.340939597,NAN,NAN,NAN,NAN,1014.887248,18.96644295,NAN,NAN,NAN,NAN
2007,8,22,187.875817,3.707843137,4.771895425,NAN,NAN,NAN,NAN,1017.850327,21.09215686,NAN,NAN,NAN,NAN
2007,8,23,219.7987421,5.721518987,7.534394904,NAN,NAN,NAN,NAN,1015.837736,24.65849057,NAN,NAN,NAN,NAN
2007,8,24,212.1756757,4.105405405,5.127891156,NAN,NAN,NAN,NAN,1012.52381,25.15337838,NAN,NAN,NAN,NAN
