Great Lakes Coastal Forecasting System (Nowcast Forcing Data),
Requested Longitude: -83.1910 degree,
Requested Latitude: 42.0699 degree,
Lake:Erie,
,
Date/Time,Cloud Cover(fraction)
2006-01-01,0.8368625
2006-01-02,0.9980875
2006-01-03,1
2006-01-04,0.999633333
2006-01-05,0.994529167
2006-01-06,0.387425
2006-01-07,0.994495833
2006-01-08,0.598791667
2006-01-09,0.838379167
2006-01-10,0.6619125
2006-01-11,0.96965
2006-01-12,0.039279167
2006-01-13,0.899354167
2006-01-14,0.666320833
2006-01-15,0.3183125
2006-01-16,0.005720833
2006-01-17,0.9443875
2006-01-18,0.890704167
2006-01-19,0.442283333
2006-01-20,0.841166667
2006-01-21,0.557545833
2006-01-22,0.0838875
2006-01-23,0.170545833
2006-01-24,0.640825
2006-01-25,0.835654167
2006-01-26,0.250654167
2006-01-27,0.080458333
2006-01-28,0.650841667
2006-01-29,0.939504167
2006-01-30,0.922145833
2006-01-31,0.9734375
2006-02-01,0.5138875
2006-02-02,0.857279167
2006-02-03,0.898425
2006-02-04,0.969479167
2006-02-05,0.989895833
2006-02-06,0.405166667
2006-02-07,0.987904167
2006-02-08,0.858866667
2006-02-09,0.177541667
2006-02-10,0.9069125
2006-02-11,0.9712125
2006-02-12,0.471575
2006-02-13,0.845645833
2006-02-14,0.177025
2006-02-15,0.20595
2006-02-16,0.9941875
2006-02-17,0.6309
2006-02-18,0.404216667
2006-02-19,0.305395833
2006-02-20,0.5441
2006-02-21,0.509983333
2006-02-22,0.409154167
2006-02-23,0.2956
2006-02-24,0.350870833
2006-02-25,0.403633333
2006-02-26,0.183258333
2006-02-27,0.863541667
2006-02-28,0.2030875
2006-03-01,0.195845833
2006-03-02,0.963975
2006-03-03,0.778216667
2006-03-04,0.000345833
2006-03-05,0.131120833
2006-03-06,0.711470833
2006-03-07,0.003375
2006-03-08,0.800154167
2006-03-09,0.892545833
2006-03-10,0.686904167
2006-03-11,0.388125
2006-03-12,0.899370833
2006-03-13,0.686633333
2006-03-14,0.971120833
2006-03-15,0.268766667
2006-03-16,0.5708125
2006-03-17,0.3355625
2006-03-18,0.1438125
2006-03-19,0.004391667
2006-03-20,0.24895
2006-03-21,0.188720833
2006-03-22,0.8701375
2006-03-23,0.890529167
2006-03-24,0.728666667
2006-03-25,0.867475
2006-03-26,0.7162875
2006-03-27,0.1303125
2006-03-28,0.986495833
2006-03-29,0.526370833
2006-03-30,0.001716667
2006-03-31,0.3347125
2006-04-01,0.987179167
2006-04-02,0.906970833
2006-04-03,0.6199375
2006-04-04,0.404608333
2006-04-05,0.639004167
2006-04-06,0.306225
2006-04-07,0.995325
2006-04-08,0.241108333
2006-04-09,0.025108333
2006-04-10,0.025816667
2006-04-11,0.0055375
2006-04-12,0.568279167
2006-04-13,0.233658333
2006-04-14,0.346733333
2006-04-15,0.1182375
2006-04-16,0.2227625
2006-04-17,0.00235
2006-04-18,0
2006-04-19,0.002625
2006-04-20,0.076254167
2006-04-21,0.4615375
2006-04-22,0.5341625
2006-04-23,0.614845833
2006-04-24,0.685566667
2006-04-25,0.316845833
2006-04-26,8.33E-06
2006-04-27,0.039404167
2006-04-28,0.000725
2006-04-29,0.0059875
2006-04-30,0.0714875
2006-05-01,0.591254167
2006-05-02,0.89075
2006-05-03,0.245345833
2006-05-04,0.363241667
2006-05-05,0.389283333
2006-05-06,0.3236625
2006-05-07,0.002595833
2006-05-08,0.007979167
2006-05-09,0.029291667
2006-05-10,0.72785
2006-05-11,0.976679167
2006-05-12,0.981470833
2006-05-13,0.932545833
2006-05-14,0.978795833
2006-05-15,0.978095833
2006-05-16,0.921079167
2006-05-17,0.6105125
2006-05-18,0.855658333
2006-05-19,0.906870833
2006-05-20,0.1428875
2006-05-21,0.544475
2006-05-22,0.006041667
2006-05-23,0.042070833
2006-05-24,0.121504167
2006-05-25,0.629808333
2006-05-26,0.680025
2006-05-27,0.051833333
2006-05-28,0.034575
2006-05-29,0.028175
2006-05-30,0.157879167
2006-05-31,0.368291667
2006-06-01,0.587979167
2006-06-02,0.135775
2006-06-03,0.603504167
2006-06-04,0.361495833
2006-06-05,0.047195833
2006-06-06,0.004970833
2006-06-07,0.429745833
2006-06-08,0.482033333
2006-06-09,0.4266125
2006-06-10,0.2623625
2006-06-11,0.307958333
2006-06-12,0.40595
2006-06-13,0.391970833
2006-06-14,0.214316667
2006-06-15,0.003708333
2006-06-16,0.109966667
2006-06-17,0.003229167
2006-06-18,0.221008333
2006-06-19,0.4697625
2006-06-20,0.004741667
2006-06-21,0.537620833
2006-06-22,0.251166667
2006-06-23,0.270766667
2006-06-24,0.0127875
2006-06-25,0.005254167
2006-06-26,0.360979167
2006-06-27,0.4043625
2006-06-28,0.168220833
2006-06-29,0.201329167
2006-06-30,0.07185
2006-07-01,0.027066667
2006-07-02,0.1688
2006-07-03,0.305391667
2006-07-04,0.546966667
2006-07-05,0.262725
2006-07-06,0.126725
2006-07-07,0.025045833
2006-07-08,0.162345833
2006-07-09,0.366604167
2006-07-10,0.286291667
2006-07-11,0.570620833
2006-07-12,0.706195833
2006-07-13,0.209708333
2006-07-14,0.252725
2006-07-15,0.231958333
2006-07-16,0.011125
2006-07-17,0.05475
2006-07-18,0.347345833
2006-07-19,0.006445833
2006-07-20,0.23555
2006-07-21,0.231604167
2006-07-22,0.3697125
2006-07-23,0.1268125
