Great Lakes Coastal Forecasting System (Nowcast Forcing Data),
Requested Longitude: -78.9041 degree,
Requested Latitude: 42.8803 degree,
Lake:Erie,
,
Date/Time,Cloud Cover(fraction)
2006-01-01,0.952766667
2006-01-02,0.9917
2006-01-03,0.890025
2006-01-04,0.943725
2006-01-05,0.999975
2006-01-06,0.91565
2006-01-07,0.941379167
2006-01-08,0.633508333
2006-01-09,0.932441667
2006-01-10,0.726995833
2006-01-11,0.915816667
2006-01-12,0.330041667
2006-01-13,0.533970833
2006-01-14,0.811479167
2006-01-15,0.292316667
2006-01-16,0.31215
2006-01-17,0.592579167
2006-01-18,0.980375
2006-01-19,0.529579167
2006-01-20,0.9547625
2006-01-21,0.807429167
2006-01-22,0.3906875
2006-01-23,0.720104167
2006-01-24,0.659025
2006-01-25,0.9965625
2006-01-26,0.526141667
2006-01-27,0.1560125
2006-01-28,0.494058333
2006-01-29,0.836533333
2006-01-30,0.762229167
2006-01-31,0.999975
2006-02-01,0.821095833
2006-02-02,0.641833333
2006-02-03,0.9346
2006-02-04,0.927166667
2006-02-05,0.979854167
2006-02-06,0.970579167
2006-02-07,0.996145833
2006-02-08,0.859908333
2006-02-09,0.705691667
2006-02-10,0.920816667
2006-02-11,0.859966667
2006-02-12,0.728404167
2006-02-13,0.9605
2006-02-14,0.89085
2006-02-15,0.213695833
2006-02-16,0.983654167
2006-02-17,0.8405875
2006-02-18,0.7578375
2006-02-19,0.613408333
2006-02-20,0.5977375
2006-02-21,0.881283333
2006-02-22,0.59245
2006-02-23,0.712154167
2006-02-24,0.699108333
2006-02-25,0.897333333
2006-02-26,0.653466667
2006-02-27,0.768975
2006-02-28,0.730379167
2006-03-01,0.5773125
2006-03-02,0.8102125
2006-03-03,0.5105875
2006-03-04,0.626120833
2006-03-05,0.056666667
2006-03-06,0.1636375
2006-03-07,0.047866667
2006-03-08,0.606695833
2006-03-09,0.947120833
2006-03-10,0.786833333
2006-03-11,0.379291667
2006-03-12,0.90285
2006-03-13,0.8620875
2006-03-14,0.917825
2006-03-15,0.730883333
2006-03-16,0.419633333
2006-03-17,0.2009125
2006-03-18,0.607441667
2006-03-19,0.942916667
2006-03-20,0.640733333
2006-03-21,0.516825
2006-03-22,0.985804167
2006-03-23,0.935258333
2006-03-24,0.939029167
2006-03-25,0.870658333
2006-03-26,0.6277125
2006-03-27,0.083216667
2006-03-28,0.166166667
2006-03-29,0.263808333
2006-03-30,0.065945833
2006-03-31,0.348775
2006-04-01,0.949458333
2006-04-02,0.279729167
2006-04-03,0.801
2006-04-04,0.8009375
2006-04-05,0.879595833
2006-04-06,0.5471625
2006-04-07,0.895216667
2006-04-08,0.480454167
2006-04-09,0.163679167
2006-04-10,0.171725
2006-04-11,0.2716625
2006-04-12,0.5295125
2006-04-13,0.49075
2006-04-14,0.798904167
2006-04-15,0.435170833
2006-04-16,0.2084125
2006-04-17,0.1253875
2006-04-18,0.120525
2006-04-19,0.03415
2006-04-20,0.088129167
2006-04-21,0.376120833
2006-04-22,0.864395833
2006-04-23,0.7418
2006-04-24,0.8894125
2006-04-25,0.455595833
2006-04-26,0.095979167
2006-04-27,0.469333333
2006-04-28,0.009829167
2006-04-29,0.056733333
2006-04-30,0.125633333
2006-05-01,0.085820833
2006-05-02,0.041533333
2006-05-03,0.1328125
2006-05-04,0.370625
2006-05-05,0.368479167
2006-05-06,0.617904167
2006-05-07,0.210454167
2006-05-08,0.090441667
2006-05-09,0.078966667
2006-05-10,0.142770833
2006-05-11,0.7276875
2006-05-12,0.710320833
