Great Lakes Coastal Forecasting System (Nowcast Forcing Data),
Requested Longitude: -81.7566 degree,
Requested Latitude: 41.5137 degree,
Lake:Erie,
,
Date/Time,Cloud Cover(fraction)
2006-01-01,0.9071875
2006-01-02,0.967966667
2006-01-03,0.991791667
2006-01-04,1
2006-01-05,1
2006-01-06,0.976758333
2006-01-07,0.995620833
2006-01-08,0.704070833
2006-01-09,0.794716667
2006-01-10,0.847870833
2006-01-11,0.835029167
2006-01-12,0.087945833
2006-01-13,0.8041625
2006-01-14,0.976616667
2006-01-15,0.607329167
2006-01-16,0.307104167
2006-01-17,0.8956875
2006-01-18,0.942916667
2006-01-19,0.531179167
2006-01-20,0.985470833
2006-01-21,0.741475
2006-01-22,0.435983333
2006-01-23,0.506116667
2006-01-24,0.584329167
2006-01-25,0.996691667
2006-01-26,0.5576875
2006-01-27,0.268458333
2006-01-28,0.680466667
2006-01-29,0.887333333
2006-01-30,0.571695833
2006-01-31,0.997925
2006-02-01,0.658641667
2006-02-02,0.456395833
2006-02-03,0.926225
2006-02-04,0.862466667
2006-02-05,0.998495833
2006-02-06,0.863629167
2006-02-07,0.9960625
2006-02-08,0.971629167
2006-02-09,0.838833333
2006-02-10,0.814154167
2006-02-11,0.971045833
2006-02-12,0.875041667
2006-02-13,0.92705
2006-02-14,0.517570833
2006-02-15,0.471729167
2006-02-16,0.927045833
2006-02-17,0.786775
2006-02-18,0.922508333
2006-02-19,0.603695833
2006-02-20,0.651029167
2006-02-21,0.647775
2006-02-22,0.334858333
2006-02-23,0.661854167
2006-02-24,0.524108333
2006-02-25,0.636625
2006-02-26,0.7564
2006-02-27,0.97175
2006-02-28,0.528595833
2006-03-01,0.4295125
2006-03-02,0.98875
2006-03-03,0.7962625
2006-03-04,0.1377
2006-03-05,0.262983333
2006-03-06,0.811520833
2006-03-07,0.062095833
2006-03-08,0.814054167
2006-03-09,0.9021125
2006-03-10,0.953670833
2006-03-11,0.407491667
2006-03-12,0.877175
2006-03-13,0.8130625
2006-03-14,0.9643125
2006-03-15,0.5788375
2006-03-16,0.475745833
2006-03-17,0.498858333
2006-03-18,0.441329167
2006-03-19,0.417425
2006-03-20,0.530154167
2006-03-21,0.6755875
2006-03-22,0.927316667
2006-03-23,0.976929167
2006-03-24,0.756829167
2006-03-25,0.935733333
2006-03-26,0.657779167
2006-03-27,0.259270833
2006-03-28,0.997483333
2006-03-29,0.389858333
2006-03-30,0.1683
2006-03-31,0.47425
2006-04-01,0.9914125
2006-04-02,0.882166667
2006-04-03,0.683208333
2006-04-04,0.3748
2006-04-05,0.743895833
2006-04-06,0.249983333
2006-04-07,0.99885
2006-04-08,0.543179167
2006-04-09,0.1825375
2006-04-10,0.186516667
2006-04-11,0.297175
2006-04-12,0.621833333
2006-04-13,0.298345833
2006-04-14,0.609945833
2006-04-15,0.293716667
2006-04-16,0.402929167
2006-04-17,0.068916667
2006-04-18,0.00225
2006-04-19,0.135345833
2006-04-20,0.241541667
2006-04-21,0.764025
2006-04-22,0.648116667
2006-04-23,0.766820833
2006-04-24,0.6280625
2006-04-25,0.496916667
2006-04-26,0.007375
2006-04-27,0.10975
2006-04-28,0.013891667
2006-04-29,0.422625
2006-04-30,0.590308333
2006-05-01,0.5319125
2006-05-02,0.626658333
2006-05-03,0.692975
2006-05-04,0.4117
2006-05-05,0.303908333
2006-05-06,0.5138875
2006-05-07,0.185908333
2006-05-08,0.041616667
2006-05-09,0.2201625
2006-05-10,0.6433625
2006-05-11,0.870133333
2006-05-12,0.956579167
2006-05-13,0.773558333
2006-05-14,0.8278625
2006-05-15,0.999233333
2006-05-16,0.9819375
2006-05-17,0.778454167
2006-05-18,0.831679167
2006-05-19,0.970083333
2006-05-20,0.354283333
2006-05-21,0.557020833
2006-05-22,0.334695833
2006-05-23,0.038729167
2006-05-24,0.166929167
2006-05-25,0.723891667
2006-05-26,0.809295833
2006-05-27,0.4044
2006-05-28,0.1855125
2006-05-29,0.2036625
2006-05-30,0.298858333
2006-05-31,0.277533333
2006-06-01,0.560991667
2006-06-02,0.835254167
2006-06-03,0.665683333
2006-06-04,0.604866667
2006-06-05,0.093020833
2006-06-06,0.160841667
2006-06-07,0.396475
2006-06-08,0.352083333
2006-06-09,0.6459875
2006-06-10,0.40845
2006-06-11,0.231520833
2006-06-12,0.525304167
2006-06-13,0.267945833
2006-06-14,0.1601625
2006-06-15,0.031779167
2006-06-16,0.0884875
2006-06-17,0.180995833
2006-06-18,0.390591667
2006-06-19,0.647870833
2006-06-20,0.360316667
2006-06-21,0.551991667
2006-06-22,0.590175
2006-06-23,0.508116667
2006-06-24,0.0268125
2006-06-25,0.172104167
2006-06-26,0.6562625
2006-06-27,0.545270833
2006-06-28,0.363558333
2006-06-29,0.308895833
2006-06-30,0.16125
2006-07-01,0.20565
2006-07-02,0.494175
2006-07-03,0.418125
2006-07-04,0.694341667
2006-07-05,0.2986875
2006-07-06,0.078958333
2006-07-07,0.0629625
2006-07-08,0.179179167
2006-07-09,0.386141667
2006-07-10,0.709970833
2006-07-11,0.508770833
2006-07-12,0.9253625
2006-07-13,0.493704167
2006-07-14,0.457829167
2006-07-15,0.472170833
2006-07-16,0.126125
2006-07-17,0.073454167
2006-07-18,0.4694875
2006-07-19,0.159891667
2006-07-20,0.4478125
2006-07-21,0.552104167
2006-07-22,0.732158333
2006-07-23,0.267254167
2006-07-24,0.2382875
2006-07-25,0.287358333
2006-07-26,0.402579167
2006-07-27,0.825145833
2006-07-28,0.536575
2006-07-29,0.173183333
2006-07-30,0.278508333
2006-07-31,0.286320833
2006-08-01,0.0900375
2006-08-02,0.0535
2006-08-03,0.544116667
2006-08-04,0.3216375
2006-08-05,0.1338125
2006-08-06,0.2138125
2006-08-07,0.5420875
2006-08-08,0.415225
2006-08-09,0.170454167
2006-08-10,0.498470833
2006-08-11,0.2405375
2006-08-12,0.0091125
2006-08-13,0.137920833
2006-08-14,0.4558625
2006-08-15,0.137820833
2006-08-16,0.06265
2006-08-17,0.4103625
2006-08-18,0.869175
2006-08-19,0.7501625
2006-08-20,0.6365875
2006-08-21,0.2273125
2006-08-22,0.246008333
2006-08-23,0.4374625
2006-08-24,0.557570833
2006-08-25,0.537583333
2006-08-26,0.259095833
2006-08-27,0.855583333
2006-08-28,0.962758333
2006-08-29,0.979833333
2006-08-30,0.846358333
2006-08-31,0.508270833
2006-09-01,0.541808333
2006-09-02,0.835216667
2006-09-03,0.7439375
2006-09-04,0.3571625
2006-09-05,0.3147125
2006-09-06,0.463983333
2006-09-07,0.189645833
2006-09-08,0.184379167
2006-09-09,0.378729167
2006-09-10,0.530341667
2006-09-11,0.46415
2006-09-12,0.9399
2006-09-13,0.926325
2006-09-14,0.8619375
2006-09-15,0.930804167
2006-09-16,0.5459625
2006-09-17,0.182954167
2006-09-18,0.696091667
2006-09-19,0.655679167
2006-09-20,0.905683333
2006-09-21,0.419479167
2006-09-22,0.6632375
2006-09-23,0.904466667
2006-09-24,0.848620833
2006-09-25,0.479333333
2006-09-26,0.166091667
2006-09-27,0.469970833
2006-09-28,0.903916667
2006-09-29,0.71085
2006-09-30,0.918133333
2006-10-01,0.1781875
2006-10-02,0.369233333
2006-10-03,0.466258333
2006-10-04,0.673220833
2006-10-05,0.739475
2006-10-06,0.445366667
2006-10-07,0.0216125
2006-10-08,0.0067
2006-10-09,0.169895833
2006-10-10,0.677254167
2006-10-11,0.807904167
2006-10-12,0.703395833
2006-10-13,0.2416625
2006-10-14,0.400179167
2006-10-15,0.373916667
2006-10-16,0.7918625
2006-10-17,0.997358333
2006-10-18,0.9799625
2006-10-19,0.9598375
2006-10-20,0.937245833
2006-10-21,0.584379167
2006-10-22,0.971475
2006-10-23,0.997241667
2006-10-24,0.962295833
2006-10-25,0.940316667
2006-10-26,0.783125
2006-10-27,1
2006-10-28,0.9539
2006-10-29,0.355
2006-10-30,0.188654167
2006-10-31,0.4992
2006-11-01,0.512541667
2006-11-02,0.636945833
2006-11-03,0.933929167
2006-11-04,0.571970833
2006-11-05,0.900566667
2006-11-06,0.714395833
2006-11-07,0.972133333
2006-11-08,0.991254167
2006-11-09,0.084191667
2006-11-10,0.43855
2006-11-11,0.902641667
2006-11-12,0.996641667
2006-11-13,0.998441667
