Great Lakes Coastal Forecasting System (Nowcast Forcing Data),
Requested Longitude: -79.0079 degree,
Requested Latitude: 42.7025 degree,
Lake:Erie,
,
Date/Time,Cloud Cover(fraction)
2006-01-01,0.9450625
2006-01-02,0.984620833
2006-01-03,0.860675
2006-01-04,0.961433333
2006-01-05,0.999966667
2006-01-06,0.9322125
2006-01-07,0.949479167
2006-01-08,0.618820833
2006-01-09,0.906275
2006-01-10,0.7046875
2006-01-11,0.895245833
2006-01-12,0.290345833
2006-01-13,0.5287375
2006-01-14,0.850008333
2006-01-15,0.362866667
2006-01-16,0.299179167
2006-01-17,0.593525
2006-01-18,0.979029167
2006-01-19,0.513979167
2006-01-20,0.960745833
2006-01-21,0.830191667
2006-01-22,0.346091667
2006-01-23,0.717016667
2006-01-24,0.637175
2006-01-25,0.9969875
2006-01-26,0.523579167
2006-01-27,0.117854167
2006-01-28,0.504270833
2006-01-29,0.841266667
2006-01-30,0.7461875
2006-01-31,0.9988875
2006-02-01,0.801895833
2006-02-02,0.58695
2006-02-03,0.939670833
2006-02-04,0.914375
2006-02-05,0.987491667
2006-02-06,0.9793875
2006-02-07,0.996041667
2006-02-08,0.860425
2006-02-09,0.6999
2006-02-10,0.917475
2006-02-11,0.854116667
2006-02-12,0.743295833
2006-02-13,0.9603125
2006-02-14,0.85705
2006-02-15,0.164725
2006-02-16,0.97235
2006-02-17,0.847191667
2006-02-18,0.807575
2006-02-19,0.702829167
2006-02-20,0.667758333
2006-02-21,0.857070833
2006-02-22,0.514175
2006-02-23,0.680345833
2006-02-24,0.691783333
2006-02-25,0.890979167
2006-02-26,0.691566667
2006-02-27,0.805320833
2006-02-28,0.720933333
2006-03-01,0.573404167
2006-03-02,0.854766667
2006-03-03,0.555708333
2006-03-04,0.6498375
2006-03-05,0.057983333
2006-03-06,0.172683333
2006-03-07,0.0233125
2006-03-08,0.605941667
2006-03-09,0.9241625
2006-03-10,0.796041667
2006-03-11,0.366895833
2006-03-12,0.910879167
2006-03-13,0.852175
2006-03-14,0.940295833
2006-03-15,0.739541667
2006-03-16,0.391495833
2006-03-17,0.218183333
2006-03-18,0.634075
2006-03-19,0.960508333
2006-03-20,0.668575
2006-03-21,0.492854167
2006-03-22,0.988754167
2006-03-23,0.925191667
2006-03-24,0.898079167
2006-03-25,0.857883333
2006-03-26,0.627979167
2006-03-27,0.047075
2006-03-28,0.167025
2006-03-29,0.266620833
2006-03-30,0.042533333
2006-03-31,0.330620833
2006-04-01,0.962329167
2006-04-02,0.3120375
2006-04-03,0.7753125
2006-04-04,0.7729375
2006-04-05,0.900575
2006-04-06,0.518658333
2006-04-07,0.881675
2006-04-08,0.491304167
2006-04-09,0.134266667
2006-04-10,0.154045833
2006-04-11,0.185625
2006-04-12,0.494845833
2006-04-13,0.443629167
2006-04-14,0.784683333
2006-04-15,0.41195
2006-04-16,0.188395833
2006-04-17,0.08485
2006-04-18,0.085983333
2006-04-19,0.015554167
2006-04-20,0.0422125
2006-04-21,0.333091667
2006-04-22,0.863075
2006-04-23,0.743945833
2006-04-24,0.890841667
2006-04-25,0.440775
2006-04-26,0.065720833
2006-04-27,0.389620833
2006-04-28,0.006091667
2006-04-29,0.024758333
2006-04-30,0.105854167
2006-05-01,0.076904167
2006-05-02,0.0454625
2006-05-03,0.145495833
2006-05-04,0.330025
2006-05-05,0.3371
2006-05-06,0.5932125
2006-05-07,0.1923375
2006-05-08,0.0734375
2006-05-09,0.0543625
2006-05-10,0.096904167
2006-05-11,0.742520833
2006-05-12,0.740333333
2006-05-13,0.740220833
2006-05-14,0.51235
2006-05-15,0.794754167
2006-05-16,0.9165
2006-05-17,0.670766667
2006-05-18,0.733920833
2006-05-19,0.736841667
2006-05-20,0.6650625
2006-05-21,0.8163
2006-05-22,0.9194
2006-05-23,0.278008333
2006-05-24,0.163358333
2006-05-25,0.3812125
2006-05-26,0.927495833
2006-05-27,0.576483333
2006-05-28,0.161679167
2006-05-29,0.081666667
2006-05-30,0.1237625
2006-05-31,0.1538
2006-06-01,0.785616667
2006-06-02,0.6406875
2006-06-03,0.935025
2006-06-04,0.747304167
