Great Lakes Coastal Forecasting System (Nowcast Forcing Data),
Requested Longitude: -82.6331 degree,
Requested Latitude: 42.0252 degree,
Lake:Erie,
,
Date/Time,Cloud Cover(fraction)
2007-01-01,0.801
2007-01-02,0.298720833
2007-01-03,0.2485
2007-01-04,0.66475
2007-01-05,0.991
2007-01-06,0.813120833
2007-01-07,0.625258333
2007-01-08,0.782275
2007-01-09,0.767975
2007-01-10,0.657408333
2007-01-11,0.653920833
2007-01-12,0.9907125
2007-01-13,1
2007-01-14,1
2007-01-15,0.998716667
2007-01-16,0.701545833
2007-01-17,0.262933333
2007-01-18,0.786095833
2007-01-19,0.924829167
2007-01-20,0.510658333
2007-01-21,0.80955
2007-01-22,0.976629167
2007-01-23,0.994416667
2007-01-24,0.979545833
2007-01-25,0.6131625
2007-01-26,0.684225
2007-01-27,0.9205375
2007-01-28,0.759666667
2007-01-29,0.764516667
2007-01-30,0.909816667
2007-01-31,0.5178875
2007-02-01,0.939683333
2007-02-02,0.7194875
2007-02-03,0.326370833
2007-02-04,0.389983333
2007-02-05,0.446629167
2007-02-06,0.569295833
2007-02-07,0.358075
2007-02-08,0.111525
2007-02-09,0.316033333
2007-02-10,0.5759125
2007-02-11,0.7751625
2007-02-12,0.9643625
2007-02-13,0.9531
2007-02-14,0.7060125
2007-02-15,0.339991667
2007-02-16,0.283870833
2007-02-17,0.806808333
2007-02-18,0.699108333
2007-02-19,0.5675125
2007-02-20,0.569658333
2007-02-21,0.761133333
2007-02-22,0.79085
2007-02-23,0.387891667
2007-02-24,0.5821
2007-02-25,0.937066667
2007-02-26,0.996025
2007-02-27,0.99445
2007-02-28,0.918883333
2007-03-01,0.9802125
2007-03-02,0.796045833
2007-03-03,0.728533333
2007-03-04,0.857441667
2007-03-05,0.455120833
2007-03-06,0.5733
2007-03-07,0.676320833
2007-03-08,0.162783333
2007-03-09,0.241433333
2007-03-10,0.548079167
2007-03-11,0.131254167
2007-03-12,0.589254167
2007-03-13,0.310554167
2007-03-14,0.787208333
2007-03-15,0.6751125
2007-03-16,0.656920833
2007-03-17,0.7399625
2007-03-18,0.174158333
2007-03-19,0.800120833
2007-03-20,0.169025
2007-03-21,0.546179167
