Great Lakes Coastal Forecasting System (Nowcast Forcing Data),
Requested Longitude: -80.2051 degree,
Requested Latitude: 42.7707 degree,
Lake:Erie,
,
Date/Time,Cloud Cover(fraction)
2006-01-01,0.9684875
2006-01-02,1
2006-01-03,0.980441667
2006-01-04,1
2006-01-05,0.991254167
2006-01-06,0.7841375
2006-01-07,0.976529167
2006-01-08,0.682025
2006-01-09,0.911729167
2006-01-10,0.78
2006-01-11,0.905295833
2006-01-12,0.409733333
2006-01-13,0.759970833
2006-01-14,0.776358333
2006-01-15,0.316670833
2006-01-16,0.521408333
2006-01-17,0.814733333
2006-01-18,0.9779625
2006-01-19,0.57785
2006-01-20,0.9258875
2006-01-21,0.773433333
2006-01-22,0.424066667
2006-01-23,0.633408333
2006-01-24,0.653833333
2006-01-25,0.930383333
2006-01-26,0.361441667
2006-01-27,0.245925
2006-01-28,0.597404167
2006-01-29,0.9688875
2006-01-30,0.800395833
2006-01-31,0.9693
2006-02-01,0.796808333
2006-02-02,0.694216667
2006-02-03,0.928120833
2006-02-04,0.918916667
2006-02-05,0.982629167
2006-02-06,0.917345833
2006-02-07,0.980320833
2006-02-08,0.866358333
2006-02-09,0.7649
2006-02-10,0.895954167
2006-02-11,0.822191667
2006-02-12,0.727316667
2006-02-13,0.949945833
2006-02-14,0.829995833
2006-02-15,0.576204167
2006-02-16,0.986175
2006-02-17,0.842120833
2006-02-18,0.752929167
2006-02-19,0.680454167
2006-02-20,0.611341667
2006-02-21,0.69535
2006-02-22,0.400904167
2006-02-23,0.52115
2006-02-24,0.588925
2006-02-25,0.764079167
2006-02-26,0.5200625
2006-02-27,0.717845833
2006-02-28,0.704570833
2006-03-01,0.6086125
2006-03-02,0.864
2006-03-03,0.447229167
2006-03-04,0.4852
2006-03-05,0.271216667
2006-03-06,0.54005
2006-03-07,0.185508333
2006-03-08,0.8334875
2006-03-09,0.946270833
2006-03-10,0.913970833
2006-03-11,0.509116667
2006-03-12,0.913645833
2006-03-13,0.858241667
2006-03-14,0.925170833
2006-03-15,0.6333875
2006-03-16,0.4015
2006-03-17,0.341341667
2006-03-18,0.53435
2006-03-19,0.830304167
2006-03-20,0.503366667
2006-03-21,0.5927
2006-03-22,0.9781875
2006-03-23,0.92885
2006-03-24,0.842679167
2006-03-25,0.946979167
2006-03-26,0.517320833
2006-03-27,0.205025
2006-03-28,0.622483333
2006-03-29,0.2128
2006-03-30,0.229158333
2006-03-31,0.487645833
2006-04-01,0.932191667
2006-04-02,0.496033333
2006-04-03,0.831683333
2006-04-04,0.694604167
2006-04-05,0.8563
2006-04-06,0.399758333
2006-04-07,0.903483333
2006-04-08,0.424066667
2006-04-09,0.254641667
2006-04-10,0.316595833
2006-04-11,0.427683333
2006-04-12,0.760283333
2006-04-13,0.518904167
2006-04-14,0.8006375
2006-04-15,0.3741625
2006-04-16,0.313466667
2006-04-17,0.1198625
2006-04-18,0.043525
2006-04-19,0.065645833
2006-04-20,0.314095833
2006-04-21,0.686808333
2006-04-22,0.845129167
2006-04-23,0.924408333
2006-04-24,0.801041667
2006-04-25,0.54095
2006-04-26,0.041366667
2006-04-27,0.308075
2006-04-28,0.045725
2006-04-29,0.309270833
2006-04-30,0.493404167
2006-05-01,0.406745833
2006-05-02,0.265754167
2006-05-03,0.260933333
2006-05-04,0.463658333
2006-05-05,0.447558333
2006-05-06,0.556525
2006-05-07,0.205191667
2006-05-08,0.076875
2006-05-09,0.175754167
2006-05-10,0.44505
2006-05-11,0.884633333
2006-05-12,0.9057875
2006-05-13,0.812275
2006-05-14,0.7056875
2006-05-15,0.9028625
2006-05-16,0.9137125
2006-05-17,0.641291667
2006-05-18,0.818625
2006-05-19,0.802670833
2006-05-20,0.583233333
2006-05-21,0.862554167
2006-05-22,0.760183333
2006-05-23,0.212754167
2006-05-24,0.382554167
2006-05-25,0.658308333
2006-05-26,0.942091667
2006-05-27,0.510591667
2006-05-28,0.345245833
2006-05-29,0.174675
2006-05-30,0.3933125
2006-05-31,0.481783333
2006-06-01,0.799295833
2006-06-02,0.720966667
2006-06-03,0.784258333
2006-06-04,0.6515375
2006-06-05,0.396041667
2006-06-06,0.327458333
2006-06-07,0.267491667
2006-06-08,0.418441667
2006-06-09,0.625858333
2006-06-10,0.297316667
2006-06-11,0.354004167
2006-06-12,0.6495125
2006-06-13,0.466675
2006-06-14,0.317608333
2006-06-15,0.144054167
2006-06-16,0.320320833
2006-06-17,0.357133333
2006-06-18,0.391129167
2006-06-19,0.716279167
2006-06-20,0.434495833
2006-06-21,0.5676125
2006-06-22,0.68885
2006-06-23,0.641366667
2006-06-24,0.282191667
2006-06-25,0.4666625
2006-06-26,0.804391667
2006-06-27,0.799391667
2006-06-28,0.5083
2006-06-29,0.515366667
2006-06-30,0.257620833
2006-07-01,0.3626625
2006-07-02,0.6489375
2006-07-03,0.4605375
2006-07-04,0.5731875
2006-07-05,0.476316667
2006-07-06,0.359083333
2006-07-07,0.15935
2006-07-08,0.1517375
2006-07-09,0.435879167
2006-07-10,0.670541667
2006-07-11,0.538825
2006-07-12,0.9751875
2006-07-13,0.238204167
2006-07-14,0.407533333
2006-07-15,0.476654167
2006-07-16,0.314866667
2006-07-17,0.337645833
2006-07-18,0.347216667
2006-07-19,0.285391667
2006-07-20,0.489258333
2006-07-21,0.678329167
2006-07-22,0.871570833
2006-07-23,0.396770833
2006-07-24,0.2711125
2006-07-25,0.5004125
2006-07-26,0.512966667
2006-07-27,0.795516667
2006-07-28,0.636345833
2006-07-29,0.3236
2006-07-30,0.475708333
2006-07-31,0.3544375
2006-08-01,0.134170833
2006-08-02,0.290466667
2006-08-03,0.787
2006-08-04,0.249341667
2006-08-05,0.196183333
2006-08-06,0.496308333
2006-08-07,0.405745833
2006-08-08,0.262854167
2006-08-09,0.269375
2006-08-10,0.49285
2006-08-11,0.2155125
2006-08-12,0.12465
2006-08-13,0.211416667
2006-08-14,0.581016667
2006-08-15,0.276433333
2006-08-16,0.151533333
2006-08-17,0.415370833
2006-08-18,0.688820833
2006-08-19,0.9795875
2006-08-20,0.800816667
2006-08-21,0.29325
2006-08-22,0.242708333
2006-08-23,0.559645833
2006-08-24,0.742158333
2006-08-25,0.831616667
2006-08-26,0.623595833
2006-08-27,0.831270833
2006-08-28,0.908375
2006-08-29,0.857679167
2006-08-30,0.407020833
2006-08-31,0.226566667
2006-09-01,0.52135
2006-09-02,0.924308333
2006-09-03,0.865025
2006-09-04,0.588183333
2006-09-05,0.5285875
2006-09-06,0.568333333
2006-09-07,0.2960875
2006-09-08,0.18165
2006-09-09,0.683725
2006-09-10,0.578125
2006-09-11,0.608545833
2006-09-12,0.924979167
2006-09-13,0.9444875
2006-09-14,0.9492375
2006-09-15,0.868675
2006-09-16,0.435491667
2006-09-17,0.39615
2006-09-18,0.659066667
2006-09-19,0.698625
2006-09-20,0.718741667
2006-09-21,0.4305625
2006-09-22,0.652325
2006-09-23,0.9539875
2006-09-24,0.832704167
2006-09-25,0.610225
2006-09-26,0.387733333
2006-09-27,0.492120833
2006-09-28,0.890058333
2006-09-29,0.507141667
2006-09-30,0.887079167
2006-10-01,0.645025
2006-10-02,0.4874375
2006-10-03,0.661729167
2006-10-04,0.777279167
2006-10-05,0.423741667
2006-10-06,0.175229167
2006-10-07,0.069770833
2006-10-08,0.1234
2006-10-09,0.376754167
2006-10-10,0.624129167
2006-10-11,0.947429167
2006-10-12,0.7333625
2006-10-13,0.633166667
2006-10-14,0.764029167
2006-10-15,0.547066667
2006-10-16,0.622391667
2006-10-17,0.997554167
2006-10-18,0.986979167
2006-10-19,0.986854167
2006-10-20,0.944583333
2006-10-21,0.876225
2006-10-22,0.970204167
2006-10-23,0.873666667
2006-10-24,0.802220833
2006-10-25,0.90655
2006-10-26,0.647404167
2006-10-27,0.930416667
2006-10-28,0.989104167
2006-10-29,0.616779167
2006-10-30,0.209533333
2006-10-31,0.599008333
2006-11-01,0.569791667
2006-11-02,0.634558333
2006-11-03,0.648575
2006-11-04,0.687941667
2006-11-05,0.805445833
2006-11-06,0.351691667
2006-11-07,0.9560125
2006-11-08,0.965583333
2006-11-09,0.59155
2006-11-10,0.580775
2006-11-11,0.917025
2006-11-12,0.991308333
2006-11-13,0.9991375
2006-11-14,0.960816667
2006-11-15,0.728108333
2006-11-16,0.901629167
2006-11-17,0.964383333
2006-11-18,0.973875
2006-11-19,0.964133333
2006-11-20,0.941370833
2006-11-21,0.578641667
2006-11-22,0.078425
2006-11-23,0.320841667
2006-11-24,0.31625
2006-11-25,0.329241667
2006-11-26,0.524141667
2006-11-27,0.64865
2006-11-28,0.733754167
2006-11-29,0.824841667
2006-11-30,0.93865
2006-12-01,0.984179167
2006-12-02,0.765125
2006-12-03,0.676491667
2006-12-04,0.795195833
2006-12-05,0.636691667
2006-12-06,0.87255
2006-12-07,0.833566667
2006-12-08,0.7448125
2006-12-09,0.487195833
2006-12-10,0.305854167
2006-12-11,0.9594875
2006-12-12,0.720175
2006-12-13,0.693616667
2006-12-14,0.480245833
2006-12-15,0.668116667
2006-12-16,0.627270833
2006-12-17,0.971658333
2006-12-18,0.827433333
2006-12-19,0.677108333
2006-12-20,0.211979167
2006-12-21,0.891241667
2006-12-22,0.981495833
2006-12-23,0.8503375
2006-12-24,0.6676125
2006-12-25,0.749483333
2006-12-26,0.967275
2006-12-27,0.9112875
2006-12-28,0.869258333
2006-12-29,0.672141667
2006-12-30,0.802375
2006-12-31,0.721013043
2007-01-01,0.770666667
2007-01-02,0.4119375
2007-01-03,0.252845833
2007-01-04,0.677216667
2007-01-05,1
2007-01-06,0.934879167
2007-01-07,0.799395833
2007-01-08,0.889408333
2007-01-09,0.792270833
2007-01-10,0.649258333
2007-01-11,0.675966667
2007-01-12,0.9952625
2007-01-13,0.969595833
2007-01-14,1
2007-01-15,1
2007-01-16,0.7197125
2007-01-17,0.718041667
2007-01-18,0.673504167
2007-01-19,0.916904167
2007-01-20,0.685920833
2007-01-21,0.700166667
2007-01-22,0.978129167
2007-01-23,0.9782875
2007-01-24,0.917204167
2007-01-25,0.756241667
2007-01-26,0.942816667
2007-01-27,0.9604625
2007-01-28,0.838304167
2007-01-29,0.808995833
2007-01-30,0.891
2007-01-31,0.691554167
2007-02-01,0.8936
2007-02-02,0.909283333
2007-02-03,0.538545833
2007-02-04,0.735645833
2007-02-05,0.674270833
2007-02-06,0.568754167
2007-02-07,0.572879167
2007-02-08,0.610329167
2007-02-09,0.756629167
2007-02-10,0.715233333
2007-02-11,0.815125
2007-02-12,0.870416667
2007-02-13,0.804395833
2007-02-14,0.766391667
2007-02-15,0.59105
2007-02-16,0.391504167
2007-02-17,0.6641375
2007-02-18,0.545275
2007-02-19,0.542879167
2007-02-20,0.7690625
2007-02-21,0.504779167
2007-02-22,0.898058333
2007-02-23,0.2443625
2007-02-24,0.244441667
2007-02-25,0.830141667
2007-02-26,1
2007-02-27,1
2007-02-28,0.8145625
2007-03-01,0.940858333
2007-03-02,0.878479167
2007-03-03,0.738129167
2007-03-04,0.8748125
2007-03-05,0.7564125
2007-03-06,0.500041667
2007-03-07,0.487541667
2007-03-08,0.536654167
2007-03-09,0.269595833
2007-03-10,0.724608333
2007-03-11,0.207466667
2007-03-12,0.6451375
2007-03-13,0.579433333
2007-03-14,0.85435
2007-03-15,0.700095833
2007-03-16,0.837958333
2007-03-17,0.642075
2007-03-18,0.222008333
2007-03-19,0.779054167
2007-03-20,0.262345833
2007-03-21,0.534816667
2007-03-22,0.721075
2007-03-23,0.560345833
2007-03-24,0.837920833
2007-03-25,0.7364625
2007-03-26,0.624270833
2007-03-27,0.5399375
2007-03-28,0.582754167
2007-03-29,0.156820833
2007-03-30,0.418916667
2007-03-31,0.864558333
2007-04-01,0.760883333
2007-04-02,0.491458333
2007-04-03,0.512733333
2007-04-04,0.987833333
2007-04-05,0.956858333
2007-04-06,0.908720833
2007-04-07,0.8965625
2007-04-08,0.964295833
2007-04-09,0.796166667
2007-04-10,0.551808333
2007-04-11,0.663833333
2007-04-12,0.962875
2007-04-13,0.808079167
2007-04-14,0.563454167
2007-04-15,0.945066667
2007-04-16,0.973733333
2007-04-17,0.954341667
2007-04-18,0.854308333
2007-04-19,0.1972625
2007-04-20,0.196195833
2007-04-21,0.2071875
2007-04-22,0.143916667
2007-04-23,0.534754167
2007-04-24,0.352708333
2007-04-25,0.815595833
2007-04-26,0.898325
2007-04-27,0.943504167
2007-04-28,0.860516667
2007-04-29,0.284170833
2007-04-30,0.377645833
2007-05-01,0.8365875
2007-05-02,0.280141667
2007-05-03,0.12875
2007-05-04,0.159125
2007-05-05,0.248625
2007-05-06,0.111983333
2007-05-07,0.231133333
2007-05-08,0.196820833
2007-05-09,0.527825
2007-05-10,0.5849875
2007-05-11,0.249083333
2007-05-12,0.397316667
2007-05-13,0.128629167
2007-05-14,0.570866667
2007-05-15,0.5214125
2007-05-16,0.938583333
2007-05-17,0.7727875
2007-05-18,0.1254375
2007-05-19,0.417070833
2007-05-20,0.873408333
2007-05-21,0.277895833
2007-05-22,0.3736125
2007-05-23,0.126683333
2007-05-24,0.138629167
2007-05-25,0.409941667
2007-05-26,0.7692625
2007-05-27,0.649066667
2007-05-28,0.134008333
2007-05-29,0.0217375
2007-05-30,0.174720833
2007-05-31,0.46085
2007-06-01,0.5318375
2007-06-02,0.3001125
2007-06-03,0.7245875
2007-06-04,0.8419625
2007-06-05,0.663620833
2007-06-06,0.541125
2007-06-07,0.391791667
2007-06-08,0.466295833
2007-06-09,0.0939625
2007-06-10,0.1220875
2007-06-11,0.109345833
2007-06-12,0.123204167
2007-06-13,0.273520833
2007-06-14,0.275158333
2007-06-15,0.375333333
2007-06-16,0.432175
2007-06-17,0.402670833
2007-06-18,0.192408333
2007-06-19,0.5846375
2007-06-20,0.219091667
2007-06-21,0.273904167
2007-06-22,0.170545833
2007-06-23,0.178754167
2007-06-24,0.220329167
2007-06-25,0.171541667
2007-06-26,0.142629167
2007-06-27,0.380416667
2007-06-28,0.678158333
2007-06-29,0.256629167
2007-06-30,0.248983333
2007-07-01,0.393758333
2007-07-02,0.347629167
2007-07-03,0.453658333
2007-07-04,0.815429167
2007-07-05,0.4895375
