Year,Month,Day,PRCP,SNOW,Total Precip (mm),,
1980,1,1,0,0,0,,
1980,1,2,0,1,1,,
1980,1,3,0,0,0,,
1980,1,4,0,0,0,,
1980,1,5,0,0,0,,
1980,1,6,0,0,0,,
1980,1,7,0,0,0,,
1980,1,8,0,0,0,,
1980,1,9,0,1,1,,
1980,1,10,1.4,0,1.4,,
1980,1,11,21,0,21,,
1980,1,12,0,0,0,,
1980,1,13,0.8,0,0.8,,
1980,1,14,0,0,0,,
1980,1,15,0,0,0,,
1980,1,16,0,0,0,,
1980,1,17,7,0,7,,
1980,1,18,0,0,0,,
1980,1,19,0,0,0,,
1980,1,20,0,0,0,,
1980,1,21,0,0,0,,
1980,1,22,0,0,0,,
1980,1,23,0,0,0,,
1980,1,24,0,0,0,,
1980,1,25,0,0.6,0.6,,
1980,1,26,0,0,0,,
1980,1,27,0,0.8,0.8,,
1980,1,28,0,0,0,,
1980,1,29,0,0,0,,
1980,1,30,0,0.8,0.8,,
1980,1,31,0,0.2,0.2,,
1980,2,1,0,0,0,,
1980,2,2,0,0,0,,
1980,2,3,0,1.4,1.4,,
1980,2,4,0,0,0,,
1980,2,5,0,0,0,,
1980,2,6,0,0,0,,
1980,2,7,0,0,0,,
1980,2,8,0,0,0,,
1980,2,9,0,0,0,,
1980,2,10,0,0,0,,
1980,2,11,0,1.9,1.9,,
1980,2,12,0,0,0,,
1980,2,13,0,1.6,1.6,,
1980,2,14,0,1.8,1.8,,
1980,2,15,0,13,13,,
1980,2,16,0,2.5,2.5,,
1980,2,17,0,3,3,,
1980,2,18,0,1.4,1.4,,
1980,2,19,0,0,0,,
1980,2,20,1.2,0,1.2,,
1980,2,21,0.8,0,0.8,,
1980,2,22,3.8,0,3.8,,
1980,2,23,0,0,0,,
1980,2,24,0,1.6,1.6,,
1980,2,25,0,1.8,1.8,,
1980,2,26,0,5.8,5.8,,
1980,2,27,0,5.7,5.7,,
1980,2,28,0,0,0,,
1980,2,29,0,0,0,,
1980,3,1,0,0,0,,
1980,3,2,0,0,0,,
1980,3,3,0,0,0,,
1980,3,4,0,1.2,1.2,,
1980,3,5,4.8,1,5.8,,
1980,3,6,0,0.4,0.4,,
1980,3,7,0,2.2,2.2,,
1980,3,8,6.6,0,6.6,,
1980,3,9,0,0,0,,
1980,3,10,3.8,0,3.8,,
1980,3,11,0,0.2,0.2,,
1980,3,12,0,0,0,,
1980,3,13,0,10,10,,
1980,3,14,0,1.2,1.2,,
1980,3,15,0,0,0,,
1980,3,16,0,0,0,,
1980,3,17,6.2,3,9.2,,
1980,3,18,0,0,0,,
1980,3,19,0,0,0,,
1980,3,20,16.4,0,16.4,,
1980,3,21,23.8,6,29.8,,
1980,3,22,0,1.2,1.2,,
1980,3,23,0,0,0,,
1980,3,24,5.6,0,5.6,,
1980,3,25,0,0,0,,
1980,3,26,0,0,0,,
1980,3,27,0,0,0,,
1980,3,28,2.8,0,2.8,,
1980,3,29,3.2,0,3.2,,
1980,3,30,9,0,9,,
