Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,1,1,538246.6201,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,2,464849.3537,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,3,420810.9939,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,4,362093.1808,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,5,303375.3677,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,6,220191.7991,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,7,207958.9214,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,8,183493.166,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,9,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,10,159027.4105,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,11,538246.6201,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,12,5088877.136,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,13,3229479.721,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,14,910126.1031,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,15,643449.3686,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,16,618983.6131,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,17,589624.7066,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,18,1113191.873,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,19,978630.2184,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,20,589624.7066,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,21,423257.5695,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,22,335180.8498,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,23,296035.6411,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,24,159027.4105,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,25,220191.7991,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,26,264230.159,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,27,195726.0437,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,28,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,29,159027.4105,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,30,146794.5328,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,31,134561.655,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,1,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,2,117435.6262,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,3,112542.4751,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,4,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
