Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,1,1,2450653.172,,56500,,,,,,,,,,,,,,,,,,,,,,
1980,1,2,1982541.718,,47000,,,,,,,,,,,,,,,,,,,,,,
1980,1,3,1669380.047,,42500,,,,,,,,,,,,,,,,,,,,,,
1980,1,4,1436139.846,,36500,,,,,,,,,,,,,,,,,,,,,,
1980,1,5,1269772.708,,34500,,,,,,,,,,,,,,,,,,,,,,
1980,1,6,1105036.622,,35000,,,,,,,,,,,,,,,,,,,,,,
1980,1,7,1004727.024,,25000,,,,,,,,,,,,,,,,,,,,,,
1980,1,8,919096.8801,,22500,,,,,,,,,,,,,,,,,,,,,,
1980,1,9,830204.6353,,23500,,,,,,,,,,,,,,,,,,,,,,
1980,1,10,755991.8437,,24000,,,,,,,,,,,,,,,,,,,,,,
1980,1,11,2833134.482,,433000,,,,,,,,,,,,,,,,,,,,,,
1980,1,12,3322449.591,,305000,,,,,,,,,,,,,,,,,,,,,,
1980,1,13,2303043.114,,89000,,,,,,,,,,,,,,,,,,,,,,
1980,1,14,2148908.855,,62000,,,,,,,,,,,,,,,,,,,,,,
1980,1,15,2157879.632,,53000,,,,,,,,,,,,,,,,,,,,,,
1980,1,16,2130151.776,,49000,,,,,,,,,,,,,,,,,,,,,,
1980,1,17,2064909.761,,52500,,,,,,,,,,,,,,,,,,,,,,
1980,1,18,1950736.235,,48500,,,,,,,,,,,,,,,,,,,,,,
1980,1,19,1715049.458,,38000,,,,,,,,,,,,,,,,,,,,,,
1980,1,20,1526663.141,,30000,,,,,,,,,,,,,,,,,,,,,,
1980,1,21,1352956.277,,27000,,,,,,,,,,,,,,,,,,,,,,
1980,1,22,1232258.55,,24500,,,,,,,,,,,,,,,,,,,,,,
1980,1,23,1112376.348,,20000,,,,,,,,,,,,,,,,,,,,,,
1980,1,24,941116.0601,,18500,,,,,,,,,,,,,,,,,,,,,,
1980,1,25,884029.2973,,16500,,,,,,,,,,,,,,,,,,,,,,
1980,1,26,866087.7434,,20000,,,,,,,,,,,,,,,,,,,,,,
1980,1,27,815525.182,,22500,,,,,,,,,,,,,,,,,,,,,,
1980,1,28,769855.7717,,20000,,,,,,,,,,,,,,,,,,,,,,
1980,1,29,742127.9158,,16000,,,,,,,,,,,,,,,,,,,,,,
1980,1,30,657313.2967,,17000,,,,,,,,,,,,,,,,,,,,,,
