Year,Month,Day,Inflow volume [m3 d-1], Inflow temperature [°C], *Suspended sediment concentration [mg m-3]," *Orthophosphate, water, filtered, as phosphorus [mg m-3]"," *Phosphorus, water, unfiltered, as phosphorus [mg m-3]"," *Phosphorus, water, filtered, as phosphorus [mg m-3]"," *Orthophosphate, water, filtered, as PO4 [mg m-3]", Inflow concentration of chlorophyll-a (Chla-P) [mg m-3], Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3], Inflow concentration of O2 [mg m-3], Inflow concentration of NH4 [mg m-3], Inflow concentration of NO3 [mg m-3], Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3], Inflow concentration of Ca2+ [mg m-3], Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3], Inflow concentration of aluminum (Al3+) [mg m-3], Inflow concentration of dissolved silica [mg m-3]," *Iron, suspended sediment, recoverable [mg m-3]"," *Iron, water, unfiltered, recoverable [mg m-3]"," *Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,1,1,589624.7066,,13000,,,,,,,,,,,,,,,,,,,,,,
1980,1,2,523567.1668,,11000,,,,,,,,,,,,,,,,,,,,,,
1980,1,3,462402.7782,,10000,,,,,,,,,,,,,,,,,,,,,,
1980,1,4,411024.6917,,10000,,,,,,,,,,,,,,,,,,,,,,
1980,1,5,384112.3607,,10000,,,,,,,,,,,,,,,,,,,,,,
1980,1,6,357200.0297,,10000,,,,,,,,,,,,,,,,,,,,,,
1980,1,7,354753.4542,,10000,,,,,,,,,,,,,,,,,,,,,,
1980,1,8,325394.5476,,10000,,,,,,,,,,,,,,,,,,,,,,
1980,1,9,354753.4542,,10000,,,,,,,,,,,,,,,,,,,,,,
1980,1,10,308268.5188,,10000,,,,,,,,,,,,,,,,,,,,,,
1980,1,11,2862493.389,,293000,,,,,,,,,,,,,,,,,,,,,,
1980,1,12,4159178.428,,408000,,,,,,,,,,,,,,,,,,,,,,
1980,1,13,1125424.751,,92000,,,,,,,,,,,,,,,,,,,,,,
1980,1,14,743758.966,,44000,,,,,,,,,,,,,,,,,,,,,,
1980,1,15,589624.7066,,16000,,,,,,,,,,,,,,,,,,,,,,
1980,1,16,523567.1668,,13000,,,,,,,,,,,,,,,,,,,,,,
1980,1,17,589624.7066,,13000,,,,,,,,,,,,,,,,,,,,,,
1980,1,18,707060.3328,,9000,,,,,,,,,,,,,,,,,,,,,,
1980,1,19,555372.6489,,9000,,,,,,,,,,,,,,,,,,,,,,
1980,1,20,437937.0227,,8000,,,,,,,,,,,,,,,,,,,,,,
1980,1,21,359646.6053,,8000,,,,,,,,,,,,,,,,,,,,,,
1980,1,22,342520.5764,,8000,,,,,,,,,,,,,,,,,,,,,,
1980,1,23,342520.5764,,7000,,,,,,,,,,,,,,,,,,,,,,
1980,1,24,391452.0874,,7000,,,,,,,,,,,,,,,,,,,,,,
1980,1,25,555372.6489,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,1,26,621430.1887,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,1,27,415917.8428,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,1,28,342520.5764,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,1,29,305821.9433,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,1,30,269123.3101,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,1,31,244657.5546,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,1,220191.7991,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,2,205512.3459,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,3,195726.0437,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,4,188386.317,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,5,183493.166,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,6,181046.5904,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,7,181046.5904,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,8,178600.0149,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,9,176153.4393,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,10,173706.8638,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,11,173706.8638,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,12,173706.8638,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,13,173706.8638,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,14,173706.8638,,5000,,,,,,,,,,,,,,,,,,,,,,
1980,2,15,171260.2882,,5000,,,,,,,,,,,,,,,,,,,,,,
