Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,1,1,628769.9153,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,2,565158.9511,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,3,503994.5625,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,4,467295.9293,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,5,415917.8428,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,6,391452.0874,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,7,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,8,342520.5764,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,9,342520.5764,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,10,611643.8865,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,11,1925454.955,,,,7.9,,,,,,5900,,,,,,,,,,,,,,313000
1980,1,12,4134712.673,,,,7.575,,,,,,5237.5,,,,,,,,,,,,,,361500
1980,1,13,1470391.903,,,,7.65,,,,,,5847.5,,,,,,,,,,,,,,95750
1980,1,14,1032454.88,,,,7.7,,,,,,6370,,,,,,,,,,,,,,81000
1980,1,15,699720.6062,,,,7.7,,,,,,6840,,,,,,,,,,,,,,27000
1980,1,16,658128.8219,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,17,836728.8367,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,18,785350.7503,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,19,641002.7931,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,20,540693.1957,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,21,494208.2603,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,22,486868.5337,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,23,433043.8716,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,24,1433693.27,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,25,1854504.264,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,26,1580487.803,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,27,1340723.399,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,28,1184142.564,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,29,990863.0961,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,30,856301.4411,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,31,733972.6638,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,1,660575.3974,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,2,587178.131,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,3,513780.8647,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,4,464849.3537,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,5,440383.5983,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,6,403684.9651,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,7,391452.0874,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,8,379219.2096,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,9,379219.2096,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,10,379219.2096,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,11,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,12,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,13,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,14,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,15,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,16,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,17,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,18,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,19,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,20,464849.3537,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,21,1700370.004,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,22,6067507.354,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,23,2715698.856,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,24,1343169.975,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,25,1052027.485,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,26,929698.7075,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,27,831835.6856,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,28,758438.4193,,,,8.25,,,,,,5760,,,,,,,,,,,,,,24000
1980,2,29,856301.4411,,,,8.275,,,,,,6167.5,,,,,,,,,,,,,,10250
