Year,Month,Day, Inflow volume [m3 d-1], Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as PO4 [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as phosphorus [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3], Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3], Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3], Inflow concentration of Ca2+ [mg m-3], Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3], Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]"," *Iron, water, unfiltered, recoverable [mg m-3]"," *Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,1,1,467295.9293,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,2,415917.8428,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,3,374326.0585,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,4,220191.7991,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,5,195726.0437,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,6,200619.1948,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,7,205512.3459,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,8,220191.7991,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,9,244657.5546,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,10,293589.0655,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,11,1957260.437,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,12,2446575.546,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,13,489315.1092,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,14,415917.8428,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,15,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,16,342520.5764,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,17,658128.8219,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,18,834282.2612,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,19,543139.7712,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,20,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,21,318054.821,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,22,269123.3101,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,23,244657.5546,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,24,229978.1013,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,25,220191.7991,,,,,,,,,,,,,,,,,,,,,,,,
