Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,5,8,,7,12000,,20,10,,,,,11200,,80,26000,,34000,8,,,,100,,,,
1980,6,3,,18,,,20,10,,,12000,,10000,,90,25000,,35000,7.8,,,,,170,170,,
1980,6,24,,16.5,7000,,20,10,,,,,8000,,60,23000,,36000,8,,,,200,,,,
1980,7,15,,21,,,30,10,,,400,,8600,,40,26000,,35000,7.9,,,,200,230,240,10,
1980,8,5,,27,2000,,20,10,,,,,8100,,30,26000,,,7.8,,,,400,,,,
1980,9,3,,23,3000,,20,10,,,4400,,9200,,,24000,,39000,7.9,,,,300,90,100,10,
1980,10,8,,16,6000,,40,30,,,,,,,60,26000,,34000,7.7,,,,300,,,,
1980,10,29,,9.5,26000,,40,10,,,3800,,9300,,40,26000,,36000,7.5,,,,200,1100,1100,10,
1981,5,6,,6.5,5000,,10,10,,,2200,,14000,,90,25000,,36000,7.5,,,,100,,110,10,
1981,6,9,,16.5,7000,,30,20,,,,,10300,,60,25000,,36000,7.7,,,,100,,,,
1981,6,29,,20,7000,,20,10,,,3700,,8800,,90,24000,,36000,7.8,,,,100,,200,10,
