Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]"," *Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3], Inflow concentration of O2 [mg m-3], Inflow concentration of NO3 [mg m-3], Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3], Inflow pH,Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1997,10,1,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,2,97863.02184,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,3,90523.2952,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,4,90523.2952,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,5,88076.71966,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,6,80736.99302,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,7,78290.41747,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,8,75843.84193,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,9,114989.0507,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,10,166367.1371,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,11,90523.2952,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,12,85630.14411,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,13,78290.41747,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,14,244657.5546,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,15,134561.655,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,16,88076.71966,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,17,83183.56856,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,18,75843.84193,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,19,63610.9642,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,20,66057.53974,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,21,66057.53974,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,22,68504.11529,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,23,58717.8131,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,24,73397.26638,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,25,70950.69083,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,26,195726.0437,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,27,538246.6201,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,28,318054.821,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,29,156580.8349,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,30,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1997,10,31,132115.0795,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,1,293589.0655,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,2,415917.8428,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,3,256890.4323,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,4,181046.5904,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,5,146794.5328,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,6,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,7,119882.2018,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,8,112542.4751,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,9,102756.1729,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,10,68504.11529,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,11,68504.11529,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,12,70950.69083,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,13,183493.166,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,14,161473.986,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,15,156580.8349,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,16,161473.986,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,17,132115.0795,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,18,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,19,110095.8996,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,20,95416.44629,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,21,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,22,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,23,137008.2306,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,24,132115.0795,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,25,114989.0507,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,26,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,27,117435.6262,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,28,110095.8996,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,29,129668.5039,,,,,,,,,,,,,,,,,,,,,,,,
1997,11,30,281356.1878,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,1,183493.166,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,2,141901.3817,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,3,151687.6839,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,4,269123.3101,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,5,195726.0437,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,6,156580.8349,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,7,154134.2594,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,8,154134.2594,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,9,154134.2594,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,10,190832.8926,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,11,244657.5546,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,12,210405.497,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,13,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,14,154134.2594,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,15,154134.2594,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,16,166367.1371,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,17,176153.4393,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,18,166367.1371,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,19,154134.2594,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,20,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,21,181046.5904,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,22,195726.0437,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,23,305821.9433,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,24,269123.3101,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,25,831835.6856,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,26,550479.4979,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,27,342520.5764,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,28,256890.4323,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,29,195726.0437,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,30,146794.5328,,,,,,,,,,,,,,,,,,,,,,,,
1997,12,31,141901.3817,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,134561.655,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,139454.8061,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,146794.5328,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,5,440383.5983,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,6,831835.6856,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,7,954164.4629,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,8,1419013.817,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,9,1149890.507,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,10,807369.9302,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,11,452616.476,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,12,269123.3101,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,13,229978.1013,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,14,215298.648,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,15,200619.1948,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,16,185939.7415,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,17,173706.8638,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,18,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,19,168813.7127,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,20,168813.7127,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,21,156580.8349,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,22,159027.4105,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,23,176153.4393,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,24,181046.5904,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,25,168813.7127,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,26,166367.1371,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,27,181046.5904,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,28,195726.0437,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,29,215298.648,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,30,225084.9502,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,31,205512.3459,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,1,185939.7415,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,2,210405.497,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,3,200619.1948,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,4,185939.7415,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,5,176153.4393,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,6,168813.7127,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,7,156580.8349,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,8,149241.1083,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,9,154134.2594,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,10,149241.1083,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,11,220191.7991,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,12,599411.0088,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,13,408578.1162,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,14,300928.7922,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,15,242210.9791,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,16,220191.7991,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,17,919912.4053,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,18,3400740.009,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,19,2495507.057,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,20,1308917.917,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,21,900339.8009,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,22,648342.5197,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,23,452616.476,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,24,393898.6629,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,25,354753.4542,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,26,330287.6987,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,27,354753.4542,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,28,391452.0874,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,1,330287.6987,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,2,310715.0943,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,3,281356.1878,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,4,293589.0655,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,5,293589.0655,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,6,271569.8856,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,7,266676.7345,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,8,354753.4542,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,9,1374975.457,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,10,1852057.688,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,11,834282.2612,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,12,560265.8,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,13,352306.8786,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,14,359646.6053,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,15,354753.4542,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,16,315608.2454,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,17,305821.9433,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,18,658128.8219,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,19,1130317.902,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,20,932145.283,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,21,856301.4411,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,22,782904.1747,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,23,709506.9083,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,24,660575.3974,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,25,611643.8865,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,26,587178.131,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,27,562712.3756,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,28,636109.642,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,29,685041.1529,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,30,437937.0227,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,31,359646.6053,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,1,530906.8935,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,2,513780.8647,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,3,376772.6341,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,4,318054.821,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,5,293589.0655,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,6,269123.3101,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,7,249550.7057,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,8,325394.5476,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,9,648342.5197,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,10,1387208.335,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,11,631216.4909,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,12,398791.814,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,13,320501.3965,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,14,391452.0874,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,15,423257.5695,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,16,320501.3965,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,17,283802.7633,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,18,249550.7057,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,19,239764.4035,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,20,259337.0079,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,21,225084.9502,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,22,215298.648,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,23,205512.3459,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,24,193279.4681,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,25,181046.5904,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,26,883213.7721,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,27,902786.3765,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,28,489315.1092,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,29,354753.4542,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,30,276463.0367,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,1,437937.0227,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,2,606750.7354,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,3,618983.6131,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,4,359646.6053,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,5,274016.4612,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,6,239764.4035,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,7,210405.497,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,8,239764.4035,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,9,269123.3101,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,10,212852.0725,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,11,176153.4393,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,12,159027.4105,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,13,151687.6839,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,14,144347.9572,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,15,137008.2306,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,16,132115.0795,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,17,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,18,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,19,117435.6262,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,20,112542.4751,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,21,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,22,102756.1729,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,23,100309.5974,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,24,110095.8996,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,25,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,26,110095.8996,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,27,100309.5974,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,28,95416.44629,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,29,92969.87075,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,30,90523.2952,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,31,618983.6131,,,,,,,,,,,,,,,,,,,,,,,,
1998,6,1,469742.5048,,,,,,,,,,,,,,,,,,,,,,,,
1998,6,2,200619.1948,,,,,,,,,,,,,,,,,,,,,,,,
1998,6,3,137008.2306,,,,,,,,,,,,,,,,,,,,,,,,
1998,6,4,114989.0507,,,,,,,,,,,,,,,,,,,,,,,,
1998,6,5,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
