Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,1,1,20710262,,57000,,,,,,,,,,,,,,,,,,,,,,
1980,1,2,16856905.51,,36000,,,,,,,,,,,,,,,,,,,,,,
1980,1,3,12930151.76,2,32000,,220,110,,,7700,,14100,,10,62000,,72000,7.7,,,,7400,2600,2600,40,
1980,1,4,10128822.76,,28000,,,,,,,,,,,,,,,,,,,,,,
1980,1,5,8159329.446,,31000,,,,,,,,,,,,,,,,,,,,,,
1980,1,6,7364192.394,,29000,,,,,,,,,,,,,,,,,,,,,,
1980,1,7,6825945.774,,26000,,,,,,,,,,,,,,,,,,,,,,
1980,1,8,4893151.092,,17000,,,,,,,,,,,,,,,,,,,,,,
1980,1,9,3315109.865,,19000,,,,,,,,,,,,,,,,,,,,,,
1980,1,10,2972589.289,,22000,,,,,,,,,,,,,,,,,,,,,,
1980,1,11,5027712.747,,26000,,,,,,,,,,,,,,,,,,,,,,
1980,1,12,13346069.61,,30000,,,,,,,,,,,,,,,,,,,,,,
1980,1,13,16526617.81,,26000,,,,,,,,,,,,,,,,,,,,,,
1980,1,14,18129124.8,,22000,,,,,,,,,,,,,,,,,,,,,,
1980,1,15,14973042.34,,34000,,,,,,,,,,,,,,,,,,,,,,
1980,1,16,11621233.85,,50000,,,,,,,,,,,,,,,,,,,,,,
1980,1,17,11437740.68,,53000,,,,,,,,,,,,,,,,,,,,,,
1980,1,18,13199275.07,,46000,,,,,,,,,,,,,,,,,,,,,,
1980,1,19,13517329.89,,42000,,,,,,,,,,,,,,,,,,,,,,
1980,1,20,13187042.2,,42000,,,,,,,,,,,,,,,,,,,,,,
1980,1,21,11596768.09,,37000,,,,,,,,,,,,,,,,,,,,,,
1980,1,22,9982028.23,,32000,,,,,,,,,,,,,,,,,,,,,,
1980,1,23,8611945.922,,39000,,,,,,,,,,,,,,,,,,,,,,
1980,1,24,5321301.813,,46000,,,,,,,,,,,,,,,,,,,,,,
1980,1,25,4513931.883,,75000,,,,,,,,,,,,,,,,,,,,,,
1980,1,26,4305972.961,,87000,,,,,,,,,,,,,,,,,,,,,,
1980,1,27,4183644.184,,23000,,,,,,,,,,,,,,,,,,,,,,
1980,1,28,4024616.773,,16000,,,,,,,,,,,,,,,,,,,,,,
1980,1,29,3706561.953,,17000,,,,,,,,,,,,,,,,,,,,,,
1980,1,30,3156082.454,,12000,,,,,,,,,,,,,,,,,,,,,,
1980,1,31,2813561.878,,7000,,,,,,,,,,,,,,,,,,,,,,
1980,2,1,2544438.568,,14000,,,,,,,,,,,,,,,,,,,,,,
1980,2,2,2324246.769,,32000,,,,,,,,,,,,,,,,,,,,,,
1980,2,3,2152986.481,,28000,,,,,,,,,,,,,,,,,,,,,,
1980,2,4,2006191.948,,11000,,,,,,,,,,,,,,,,,,,,,,
1980,2,5,1908328.926,0.5,11000,,190,140,,,,,15800,,500,110000,,95000,8.8,,,,7200,,,,
1980,2,6,1810465.904,,18000,,,,,,,,,,,,,,,,,,,,,,
1980,2,7,1737068.638,,25000,,,,,,,,,,,,,,,,,,,,,,
1980,2,8,1761534.393,,20000,,,,,,,,,,,,,,,,,,,,,,
1980,2,9,1761534.393,,14000,,,,,,,,,,,,,,,,,,,,,,
1980,2,10,1761534.393,,11000,,,,,,,,,,,,,,,,,,,,,,
1980,2,11,1733398.775,,18000,,,,,,,,,,,,,,,,,,,,,,
1980,2,12,1688137.127,,33000,,,,,,,,,,,,,,,,,,,,,,
1980,2,13,1634312.465,,55000,,,,,,,,,,,,,,,,,,,,,,
1980,2,14,1609846.709,,49000,,,,,,,,,,,,,,,,,,,,,,
1980,2,15,1609846.709,,37000,,,,,,,,,,,,,,,,,,,,,,
1980,2,16,1629419.314,,25000,,,,,,,,,,,,,,,,,,,,,,
1980,2,17,1590274.105,,18000,,,,,,,,,,,,,,,,,,,,,,
1980,2,18,1723612.472,,43000,,,,,,,,,,,,,,,,,,,,,,
1980,2,19,2283878.273,,25000,,,,,,,,,,,,,,,,,,,,,,
1980,2,20,1854504.264,,29000,,,,,,,,,,,,,,,,,,,,,,
1980,2,21,1878970.019,,31000,,,,,,,,,,,,,,,,,,,,,,
1980,2,22,8232726.71,,78000,,,,,,,,,,,,,,,,,,,,,,
1980,2,23,26912331.01,,241000,,417,,,,15900,,,,,110000,,,8.1,,,,,,,,101000
1980,2,24,37677263.41,,375000,,424,,,,8900,,,,,110000,,,8,,,,,,,,119000
1980,2,25,32661783.54,,288000,,607,,,,9900,,,,,84000,,,7.9,,,,,,,,227000
1980,2,26,25040700.72,,142000,,,,,,,,,,,,,,,,,,,,,,
1980,2,27,18288152.21,,60000,,,,,,,,,,,,,,,,,,,,,,
1980,2,28,14459261.48,,42000,,,,,,,,,,,,,,,,,,,,,,
1980,2,29,14031110.76,,40000,,,,,,,,,,,,,,,,,,,,,,
1980,3,1,10752699.52,,38000,,,,,,,,,,,,,,,,,,,,,,
1980,3,2,7559918.437,,37000,,,,,,,,,,,,,,,,,,,,,,
1980,3,3,6202069.009,0,34000,,290,170,,,,,14600,,890,58000,,60000,7.9,,,,5800,,,,
1980,3,4,5724986.778,,30000,,,,,,,,,,,,,,,,,,,,,,
1980,3,5,5969644.333,,25000,,285,,,,10700,,,,,76000,,,7.6,,,,,,,,35000
1980,3,6,6899343.04,,22000,,,,,,,,,,,,,,,,,,,,,,
1980,3,7,8440685.634,,26000,,,,,,,,,,,,,,,,,,,,,,
1980,3,8,17077097.31,,28000,,,,,,,,,,,,,,,,,,,,,,
1980,3,9,39022879.96,,220000,,,,,,,,,,,,,,,,,,,,,,
1980,3,10,60919731.1,,280000,,,,,,,,,,,,,,,,,,,,,,
1980,3,11,77311787.26,,558000,,,,,,,,,,,,,,,,,,,,,,
1980,3,12,51378086.47,,575000,,,,,,,,,,,,,,,,,,,,,,
1980,3,13,40123838.96,,305000,,,,,,,,,,,,,,,,,,,,,,
1980,3,14,28747262.67,,211000,,,,,,,,,,,,,,,,,,,,,,
