Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,1,1,283802.7633,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,2,244657.5546,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,3,210405.497,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,4,185939.7415,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,5,163920.5616,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,6,144347.9572,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,7,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,8,114989.0507,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,9,102756.1729,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,10,90523.2952,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,11,264230.159,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,12,464849.3537,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,13,386558.9363,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,14,274016.4612,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,15,193279.4681,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,16,168813.7127,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,17,185939.7415,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,18,244657.5546,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,19,251997.2812,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,20,220191.7991,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,21,181046.5904,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,22,181046.5904,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,23,173706.8638,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,24,159027.4105,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,25,151687.6839,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,26,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,27,100309.5974,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,28,83183.56856,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,29,73397.26638,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,30,66057.53974,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,31,61164.38865,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,1,56271.23756,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,2,51378.08647,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,3,46484.93537,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,4,44038.35983,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,5,41591.78428,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,6,39145.20874,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,7,36698.63319,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,8,34252.05764,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,9,31805.4821,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,10,31805.4821,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,11,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,12,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,13,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,14,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,15,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,16,26912.33101,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,17,26912.33101,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,18,26912.33101,,,,,,,,,,,,,,,,,,,,,,,,
