Year,Month,Day,Inflow volume [m3 d-1], Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]"," *Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]", Inflow concentration of chlorophyll-a (Chla-P) [mg m-3], Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3], Inflow concentration of O2 [mg m-3],Inflow concentration of NH4 [mg m-3], Inflow concentration of NO3 [mg m-3], Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3], Inflow concentration of Ca2+ [mg m-3], Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3], Inflow concentration of aluminum (Al3+) [mg m-3], Inflow concentration of dissolved silica [mg m-3]," *Iron, suspended sediment, recoverable [mg m-3]"," *Iron, water, unfiltered, recoverable [mg m-3]"," *Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
2010,10,6,,14.5,,,,,,,,,4900,,,,,,7.6,,,,,,,,
2015,4,5,,,14000,12,49,,36,,,,,93,,,,,,,,,,,,,
2015,4,10,,,225000,42,428,,128,,,,,311,,,,,,,,,,,,,
2015,4,11,,,98000,30,200,,93,,,,,126,,,,,,,,,,,,,
2015,4,16,,,50000,12,46,,38,,,,,47,,,,,,,,,,,,,
2015,4,21,,,20000,15,75,,45,,,,,252,,,,,,,,,,,,,
2015,4,23,,,36000,8,49,,23,,,,,14,,,,,,,,,,,,,
2015,4,29,,,26000,6,40,,19,,,,,14,,,,,,,,,,,,,
2015,5,13,,,20000,46,114,,141,,,,,486,,,,,,,,,,,,,
2015,5,14,,,23000,41,99,,126,,,,,111,,,,,,,,,,,,,
2015,6,2,,,88000,82,248,,251,,,,,741,,,,,,,,,,,,,
2015,6,3,,,52000,57,154,,175,,,,,398,,,,,,,,,,,,,
2015,6,5,,,43000,42,91,,129,,,,,94,,,,,,,,,,,,,
2015,6,11,,,74000,72,98,,221,,,,,831,,,,,,,,,,,,,
2015,6,14,,,80000,45,116,,137,,,,,69,,,,,,,,,,,,,
2015,6,15,,,99000,58,158,,178,,,,,39,,,,,,,,,,,,,
2015,6,16,,,154000,55,181,,168,,,,,233,,,,,,,,,,,,,
2015,6,17,,,150000,101,455,,310,,,,,102,,,,,,,,,,,,,
2015,6,18,,,110000,96,181,,296,,,,,86,,,,,,,,,,,,,
2015,6,19,,,67000,87,196,,266,,,,,217,,,,,,,,,,,,,
2015,6,20,,,69000,61,153,,186,,,,,198,,,,,,,,,,,,,
2015,6,27,,,25000,93,139,,285,,,,,412,,,,,,,,,,,,,
2015,6,28,,,79000,153,290,,470,,,,,643,,,,,,,,,,,,,
2015,6,29,,,102000,97,271,,296,,,,,149,,,,,,,,,,,,,
2015,7,1,,,26000,80,159,,246,,,,,44,,,,,,,,,,,,,
2015,7,2,,,32000,70,143,,214,,,,,41,,,,,,,,,,,,,
2015,7,3,,,30000,53,129,,164,,,,,59,,,,,,,,,,,,,
2015,7,13,,,69000,57,175,,174,,,,,115,,,,,,,,,,,,,
2015,7,22,,,66000,58,119,,177,,,,,86,,,,,,,,,,,,,
2015,7,31,,,146000,124,397,,382,,,,,54,,,,,,,,,,,,,
2015,8,2,,,30000,91,174,,280,,,,,110,,,,,,,,,,,,,
2015,8,5,,,26000,58,127,,178,,,,,24,,,,,,,,,,,,,
2015,8,13,,,18000,61,103,,188,,,,,113,,,,,,,,,,,,,
2015,8,18,,,28000,54,100,,165,,,,,130,,,,,,,,,,,,,
2015,8,20,,,26000,82,189,,250,,,,,2400,,,,,,,,,,,,,
2015,8,26,,,16000,57,95,,174,,,,,36,,,,,,,,,,,,,
2015,9,3,,,10000,44,93,,134,,,,,334,,,,,,,,,,,,,
2015,9,4,,,151000,51,232,,158,,,,,82,,,,,,,,,,,,,
2015,9,9,,,11000,83,127,,253,,,,,50,,,,,,,,,,,,,
2015,9,16,,,12000,63,98,,194,,,,,35,,,,,,,,,,,,,
2015,9,23,,,7000,63,99,,194,,,,,43,,,,,,,,,,,,,
2015,9,30,,,7000,62,96,,190,,,,,640,,,,,,,,,,,,,
2015,10,1,,,19000,54,96,,166,,,,,20,,,,,,,,,,,,,
2015,10,2,,,20000,53,90,,161,,,,,14,,,,,,,,,,,,,
2015,10,3,,,18000,52,90,,158,,,,,21,,,,,,,,,,,,,
2015,10,5,,,9000,64,109,,195,,,,,1020,,,,,,,,,,,,,
2015,10,7,,,10000,52,83,,159,,,,,66,,,,,,,,,,,,,
2015,10,15,,,24000,53,93,,162,,,,,19,,,,,,,,,,,,,
2015,10,21,,,8000,35,66,,106,,,,,1030,,,,,,,,,,,,,
2015,10,28,,,84000,64,158,,195,,,,,18,,,,,,,,,,,,,
2015,10,29,,,24000,218,307,,667,,,,,541,,,,,,,,,,,,,
2015,11,1,,,8000,74,112,,227,,,,,24,,,,,,,,,,,,,
2015,11,11,,,3000,56,82,,172,,,,,19,,,,,,,,,,,,,
2015,11,17,,,24000,31,66,,96,,,,,15,,,,,,,,,,,,,
2015,11,30,,,11000,27,64,,83,,,,,61,,,,,,,,,,,,,
2015,12,1,,,10000,22,49,,66,,,,,34,,,,,,,,,,,,,
2015,12,8,,,23000,7,31,,20,,,,,130,,,,,,,,,,,,,
2015,12,15,,,13000,4,31,,13,,,,,189,,,,,,,,,,,,,
2015,12,21,,,18000,8,44,,26,,,,,14,,,,,,,,,,,,,
2015,12,27,,,40000,65,153,,199,,,,,555,,,,,,,,,,,,,
2015,12,28,,,151000,73,353,,225,,,,,625,,,,,,,,,,,,,
2016,1,1,,,66000,47,172,,144,,,,,61,,,,,,,,,,,,,
2016,1,5,,,47000,21,53,,64,,,,,132,,,,,,,,,,,,,
2016,2,23,,,26000,8,36,,24,,,,,61,,,,,,,,,,,,,
2016,2,24,,,64000,81,257,,247,,,,,1220,,,,,,,,,,,,,
2016,3,1,,,47000,13,74,,41,,,,,169,,,,,,,,,,,,,
2016,3,10,,,36000,10,74,,30,,,,,128,,,,,,,,,,,,,
2016,3,12,,,60000,10,81,,30,,,,,45,,,,,,,,,,,,,
2016,3,13,,,44000,19,89,,58,,,,,424,,,,,,,,,,,,,
2016,3,16,,,79000,23,161,,71,,,,,141,,,,,,,,,,,,,
2016,3,16,,,80000,21,158,,65,,,,,135,,,,,,,,,,,,,
2016,3,25,,,164000,45,302,,137,,,,,226,,,,,,,,,,,,,
2016,3,29,,,188000,43,363,,132,,,,,102,,,,,,,,,,,,,
2016,4,5,,,42000,24,107,,73,,,,,62,,,,,,,,,,,,,
2016,4,11,,,69000,22,124,,67,,,,,244,,,,,,,,,,,,,
2016,4,18,,,51000,11,67,,33,,,,,18,,,,,,,,,,,,,
2016,4,27,,,94000,12,156,,36,,,,,383,,,,,,,,,,,,,
2016,5,2,,,82000,17,169,,53,,,,,311,,,,,,,,,,,,,
2016,5,3,,,113000,37,235,,112,,,,,156,,,,,,,,,,,,,
2016,5,8,,,63000,16,74,,49,,,,,20,,,,,,,,,,,,,
2016,5,13,,,32000,13,78,,40,,,,,141,,,,,,,,,,,,,
2016,5,16,,,30000,17,82,,52,,,,,13,,,,,,,,,,,,,
2016,5,26,,,19000,15,58,,45,,,,,38,,,,,,,,,,,,,
2016,6,9,,,26000,57,125,,175,,,,,23,,,,,,,,,,,,,
2016,6,14,,,40000,52,137,,160,,,,,13,,,,,,,,,,,,,
2016,6,20,,,41000,86,141,,263,,,,,56,,,,,,,,,,,,,
2016,6,21,,,18000,86,136,,264,,,,,73,,,,,,,,,,,,,
2016,6,29,,,14000,93,143,,285,,,,,2310,,,,,,,,,,,,,
2016,7,13,,,13000,94,158,,289,,,,,38,,,,,,,,,,,,,
2016,7,20,,,12000,71,193,,218,,,,,1320,,,,,,,,,,,,,
2016,7,26,,,10000,96,148,,295,,,,,111,,,,,,,,,,,,,
2016,8,2,,,14000,158,253,,485,,,,,4230,,,,,,,,,,,,,
2016,8,11,,,7000,98,155,,301,,,,,2090,,,,,,,,,,,,,
2016,8,15,,,22000,122,188,,374,,,,,908,,,,,,,,,,,,,
2016,8,16,,,62000,130,273,,397,,,,,3140,,,,,,,,,,,,,
2016,8,18,,,20000,96,158,,294,,,,,122,,,,,,,,,,,,,
2016,8,24,,,18000,95,150,,291,,,,,68,,,,,,,,,,,,,
2016,8,25,,,43000,109,227,,333,,,,,1020,,,,,,,,,,,,,
