Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,
"1","2016","April    ","Spring","Erie","ER1611","E009M16","ER09","49.2","42.538317","-79.538317","2016/04/06 16:18","GMT","24.6","Middle Depth","surface water","INSITU_MEAS","lab duplicate","16GE17C83","P-ortho as P","Phosphorus, Orthophosphorus as P","4.15","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"2","2016","April    ","Spring","Erie","ER1611","E15MM16","ER15M","64","42.516883","-79.892717","2016/04/06 13:13","GMT","10","Ten Meter","surface water","INSITU_MEAS","field duplicate","16GE17D43","P-ortho as P","Phosphorus, Orthophosphorus as P","5.63","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"3","2016","April    ","Spring","Erie","ER1611","E15MM16","ER15M","64","42.516883","-79.892717","2016/04/06 13:13","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE17I52","P-ortho as P","Phosphorus, Orthophosphorus as P","5.24","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"4","2016","April    ","Spring","Erie","ER1611","E063M16","ER63","46","42.416717","-79.799867","2016/04/06 14:49","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE17I72","P-ortho as P","Phosphorus, Orthophosphorus as P","4.75","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"5","2016","April    ","Spring","Erie","ER1611","E009M16","ER09","49.2","42.538317","-79.538317","2016/04/06 16:18","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE17I92","P-ortho as P","Phosphorus, Orthophosphorus as P","5","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"6","2016","April    ","Spring","Erie","ER1611","E15MM16","ER15M","64","42.516883","-79.892717","2016/04/06 13:13","GMT","2.1","Surface","surface water","INSITU_MEAS","routine field sample","16GE17S41","P-ortho as P","Phosphorus, Orthophosphorus as P","6.04","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"7","2016","April    ","Spring","Erie","ER1611","E15MM16","ER15M","64","42.516883","-79.892717","2016/04/06 13:13","GMT","5","Five Meter","surface water","INSITU_MEAS","routine field sample","16GE17S42","P-ortho as P","Phosphorus, Orthophosphorus as P","6.4","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"8","2016","April    ","Spring","Erie","ER1611","E15MM16","ER15M","64","42.516883","-79.892717","2016/04/06 13:13","GMT","10","Ten Meter","surface water","INSITU_MEAS","routine field sample","16GE17S43","P-ortho as P","Phosphorus, Orthophosphorus as P","5.84","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"9","2016","April    ","Spring","Erie","ER1611","E15MM16","ER15M","64","42.516883","-79.892717","2016/04/06 13:13","GMT","20","Twenty Meter","surface water","INSITU_MEAS","routine field sample","16GE17S44","P-ortho as P","Phosphorus, Orthophosphorus as P","5.22","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"10","2016","April    ","Spring","Erie","ER1611","E15MM16","ER15M","64","42.516883","-79.892717","2016/04/06 13:13","GMT","30","Thirty Meter","surface water","INSITU_MEAS","routine field sample","16GE17S45","P-ortho as P","Phosphorus, Orthophosphorus as P","5.92","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"11","2016","April    ","Spring","Erie","ER1611","E15MM16","ER15M","64","42.516883","-79.892717","2016/04/06 13:13","GMT","40.1","Forty Meter","surface water","INSITU_MEAS","routine field sample","16GE17S46","P-ortho as P","Phosphorus, Orthophosphorus as P","4.71","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"12","2016","April    ","Spring","Erie","ER1611","E15MM16","ER15M","64","42.516883","-79.892717","2016/04/06 13:13","GMT","53","Bottom Minus 10","surface water","INSITU_MEAS","routine field sample","16GE17S50","P-ortho as P","Phosphorus, Orthophosphorus as P","3.92","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"13","2016","April    ","Spring","Erie","ER1611","E15MM16","ER15M","64","42.516883","-79.892717","2016/04/06 13:13","GMT","62","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE17S51","P-ortho as P","Phosphorus, Orthophosphorus as P","3.62","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"14","2016","April    ","Spring","Erie","ER1611","E063M16","ER63","46","42.416717","-79.799867","2016/04/06 14:49","GMT","2.1","Surface","surface water","INSITU_MEAS","routine field sample","16GE17S61","P-ortho as P","Phosphorus, Orthophosphorus as P","4.16","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"15","2016","April    ","Spring","Erie","ER1611","E063M16","ER63","46","42.416717","-79.799867","2016/04/06 14:49","GMT","23","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE17S63","P-ortho as P","Phosphorus, Orthophosphorus as P","4.21","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"16","2016","April    ","Spring","Erie","ER1611","E063M16","ER63","46","42.416717","-79.799867","2016/04/06 14:49","GMT","35.9","Bottom Minus 10","surface water","INSITU_MEAS","routine field sample","16GE17S70","P-ortho as P","Phosphorus, Orthophosphorus as P","5.03","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"17","2016","April    ","Spring","Erie","ER1611","E063M16","ER63","46","42.416717","-79.799867","2016/04/06 14:49","GMT","44.9","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE17S71","P-ortho as P","Phosphorus, Orthophosphorus as P","4.46","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"18","2016","April    ","Spring","Erie","ER1611","E009M16","ER09","49.2","42.538317","-79.538317","2016/04/06 16:18","GMT","2","Surface","surface water","INSITU_MEAS","routine field sample","16GE17S81","P-ortho as P","Phosphorus, Orthophosphorus as P","4.16","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"19","2016","April    ","Spring","Erie","ER1611","E009M16","ER09","49.2","42.538317","-79.538317","2016/04/06 16:18","GMT","24.6","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE17S83","P-ortho as P","Phosphorus, Orthophosphorus as P","4.08","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"20","2016","April    ","Spring","Erie","ER1611","E009M16","ER09","49.2","42.538317","-79.538317","2016/04/06 16:18","GMT","39.7","Bottom Minus 10","surface water","INSITU_MEAS","routine field sample","16GE17S90","P-ortho as P","Phosphorus, Orthophosphorus as P","5.2","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"21","2016","April    ","Spring","Erie","ER1611","E009M16","ER09","49.2","42.538317","-79.538317","2016/04/06 16:18","GMT","48.2","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE17S91","P-ortho as P","Phosphorus, Orthophosphorus as P","5.2","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"22","2016","April    ","Spring","Erie","ER1611","E010M16","ER10","33.1","42.679733","-79.691567","2016/04/06 17:36","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE18I12","P-ortho as P","Phosphorus, Orthophosphorus as P","1.11","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"23","2016","April    ","Spring","Erie","ER1611","E042M16","ER42","22","41.964217","-82.04115","2016/04/05 14:01","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE18I32","P-ortho as P","Phosphorus, Orthophosphorus as P","1.33","ug/l","Filtrate","LG215","","","","","","","","",
"24","2016","April    ","Spring","Erie","ER1611","E043M16","ER43","22.5","41.788517","-81.944183","2016/04/05 15:55","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE18I52","P-ortho as P","Phosphorus, Orthophosphorus as P","0.884","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"25","2016","April    ","Spring","Erie","ER1611","E073M16","ER73","24.5","41.977717","-81.7572","2016/04/05 18:12","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE18I72","P-ortho as P","Phosphorus, Orthophosphorus as P","1.58","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"26","2016","April    ","Spring","Erie","ER1611","E036M16","ER36","23.5","41.93495","-81.47845","2016/04/05 20:04","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","16GE18I92","P-ortho as P","Phosphorus, Orthophosphorus as P","1.12","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"27","2016","April    ","Spring","Erie","ER1611","E010M16","ER10","33.1","42.679733","-79.691567","2016/04/06 17:36","GMT","","Synthetic Sample","surface water","INSITU_MEAS","field blank","16GE18R00","P-ortho as P","Phosphorus, Orthophosphorus as P","-0.238","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"28","2016","April    ","Spring","Erie","ER1611","E010M16","ER10","33.1","42.679733","-79.691567","2016/04/06 17:36","GMT","2.1","Surface","surface water","INSITU_MEAS","routine field sample","16GE18S01","P-ortho as P","Phosphorus, Orthophosphorus as P","1.12","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"29","2016","April    ","Spring","Erie","ER1611","E010M16","ER10","33.1","42.679733","-79.691567","2016/04/06 17:36","GMT","16.5","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE18S03","P-ortho as P","Phosphorus, Orthophosphorus as P","0.829","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
