Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,
"1","2000","April    ","Spring","Erie","SP2000","E058A00","ER58","9.3","41.684917","-82.933833","2000/04/15 13:57","EDT","4","","surface water","Individual QC","lab duplicate","00GC10C63","Cond","Conductivity","261","umho/cm","Total/Bulk","LG500","Quality Control incomplete","","","","","","","",
"2","2000","April    ","Spring","Erie","SP2000","E059A00","ER59","7.9","41.727317","-83.15005","2000/04/15 12:35","EDT","4","","surface water","Individual QC","field duplicate","00GC10D43","Cond","Conductivity","281","umho/cm","Total/Bulk","LG500","Quality Control incomplete","","","","","","","",
"3","2000","April    ","Spring","Erie","SP2000","E061A00","ER61","9.1","41.94655","-83.0451","2000/04/15 08:43","EDT","0","","surface water","Individual QC","field blank","00GC10R00","Cond","Conductivity","0.96","umho/cm","Total/Bulk","LG500","Quality Control incomplete","","","","","","","",
"4","2000","April    ","Spring","Erie","SP2000","E091A00","ER91M","10.4","41.840033","-82.9167","2000/04/15 15:16","EDT","0","","surface water","Individual QC","field blank","00GC10R80","Cond","Conductivity","3","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed; Quality Control incomplete; Quality Control incomplete","","","","","","","",
"5","2000","April    ","Spring","Erie","SP2000","E061A00","ER61","9.1","41.94655","-83.0451","2000/04/15 08:43","EDT","2","Surface","surface water","Individual","routine field sample","00GC10S01","Cond","Conductivity","295","umho/cm","Total/Bulk","LG500","Quality Control incomplete; Field Reagent Blank, failed; Field Reagent Blank, failed","","","","","","","",
"6","2000","April    ","Spring","Erie","SP2000","E061A00","ER61","9.1","41.94655","-83.0451","2000/04/15 08:43","EDT","3","Middle Depth","surface water","Individual","routine field sample","00GC10S03","Cond","Conductivity","296","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed; Quality Control incomplete; Quality Control incomplete","","","","","","","",
"7","2000","April    ","Spring","Erie","SP2000","E061A00","ER61","9.1","41.94655","-83.0451","2000/04/15 08:43","EDT","6","Bottom Minus","surface water","Individual","routine field sample","00GC10S11","Cond","Conductivity","296","umho/cm","Total/Bulk","LG500","Quality Control incomplete; Field Reagent Blank, failed; Field Reagent Blank, failed","","","","","","","",
"8","2000","April    ","Spring","Erie","SP2000","E060A00","ER60","8.3","41.891233","-83.197167","2000/04/15 11:11","EDT","2","Surface","surface water","Individual","routine field sample","00GC10S21","Cond","Conductivity","261","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed","","","","","","","",
"9","2000","April    ","Spring","Erie","SP2000","E060A00","ER60","8.3","41.891233","-83.197167","2000/04/15 11:11","EDT","4","Middle Depth","surface water","Individual","routine field sample","00GC10S23","Cond","Conductivity","260","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed","","","","","","","",
"10","2000","April    ","Spring","Erie","SP2000","E060A00","ER60","8.3","41.891233","-83.197167","2000/04/15 11:11","EDT","6","Bottom Minus","surface water","Individual","routine field sample","00GC10S31","Cond","Conductivity","261","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed","","","","","","","",
"11","2000","April    ","Spring","Erie","SP2000","E059A00","ER59","7.9","41.727317","-83.15005","2000/04/15 12:35","EDT","2","Surface","surface water","Individual","routine field sample","00GC10S41","Cond","Conductivity","281","umho/cm","Total/Bulk","LG500","Quality Control incomplete; Field Reagent Blank, failed; Field Reagent Blank, failed","","","","","","","",
"12","2000","April    ","Spring","Erie","SP2000","E059A00","ER59","7.9","41.727317","-83.15005","2000/04/15 12:35","EDT","4","Middle Depth","surface water","Individual","routine field sample","00GC10S43","Cond","Conductivity","281","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed; Quality Control incomplete; Quality Control incomplete","","","","","","","",
"13","2000","April    ","Spring","Erie","SP2000","E059A00","ER59","7.9","41.727317","-83.15005","2000/04/15 12:35","EDT","6","Bottom Minus","surface water","Individual","routine field sample","00GC10S51","Cond","Conductivity","282","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed; Quality Control incomplete; Quality Control incomplete","","","","","","","",
"14","2000","April    ","Spring","Erie","SP2000","E058A00","ER58","9.3","41.684917","-82.933833","2000/04/15 13:57","EDT","2","Surface","surface water","Individual","routine field sample","00GC10S61","Cond","Conductivity","260","umho/cm","Total/Bulk","LG500","Quality Control incomplete; Field Reagent Blank, failed; Field Reagent Blank, failed","","","","","","","",
"15","2000","April    ","Spring","Erie","SP2000","E058A00","ER58","9.3","41.684917","-82.933833","2000/04/15 13:57","EDT","4","Middle Depth","surface water","Individual","routine field sample","00GC10S63","Cond","Conductivity","260","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed; Quality Control incomplete; Quality Control incomplete","","","","","","","",
"16","2000","April    ","Spring","Erie","SP2000","E058A00","ER58","9.3","41.684917","-82.933833","2000/04/15 13:57","EDT","7","Bottom Minus","surface water","Individual","routine field sample","00GC10S71","Cond","Conductivity","261","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed; Quality Control incomplete; Quality Control incomplete","","","","","","","",
"17","2000","April    ","Spring","Erie","SP2000","E091A00","ER91M","10.4","41.840033","-82.9167","2000/04/15 15:16","EDT","2","Surface","surface water","Individual","routine field sample","00GC10S81","Cond","Conductivity","238","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed; Quality Control incomplete; Quality Control incomplete","","","","","","","",
"18","2000","April    ","Spring","Erie","SP2000","E091A00","ER91M","10.4","41.840033","-82.9167","2000/04/15 15:16","EDT","5","Middle Depth","surface water","Individual","routine field sample","00GC10S82","Cond","Conductivity","236","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed; Quality Control incomplete; Quality Control incomplete","","","","","","","",
"19","2000","April    ","Spring","Erie","SP2000","E091A00","ER91M","10.4","41.840033","-82.9167","2000/04/15 15:16","EDT","9","Bottom Minus","surface water","Individual","routine field sample","00GC10S91","Cond","Conductivity","237","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed; Quality Control incomplete; Quality Control incomplete","","","","","","","",
"20","2000","April    ","Spring","Erie","SP2000","E092A00","ER92","11.1","41.949967","-82.686733","2000/04/15 17:30","EDT","9","","surface water","Individual","lab duplicate","00GC11C11","Cond","Conductivity","244","umho/cm","Total/Bulk","LG500","","","","","","","","",
"21","2000","April    ","Spring","Erie","SP2000","E073A00","ER73","25","41.9777","-81.75755","2000/04/16 00:13","EDT","21","","surface water","Individual QC","lab duplicate","00GC11C71","Cond","Conductivity","271","umho/cm","Total/Bulk","LG500","Quality Control incomplete","","","","","","","",
"22","2000","April    ","Spring","Erie","SP2000","E042A00","ER42","23","41.964533","-82.042033","2000/04/15 22:35","EDT","10","","surface water","Individual QC","field duplicate","00GC11D43","Cond","Conductivity","272","umho/cm","Total/Bulk","LG500","Quality Control incomplete","","","","","","","",
"23","2000","April    ","Spring","Erie","SP2000","E092A00","ER92","11.1","41.949967","-82.686733","2000/04/15 17:30","EDT","2","Surface","surface water","Individual","routine field sample","00GC11S01","Cond","Conductivity","245","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed","","","","","","","",
"24","2000","April    ","Spring","Erie","SP2000","E092A00","ER92","11.1","41.949967","-82.686733","2000/04/15 17:30","EDT","5","Middle Depth","surface water","Individual","routine field sample","00GC11S03","Cond","Conductivity","244","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed","","","","","","","",
