Row,YEAR,MONTH,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,
"1","2010","April    ","Michigan","MI1011","M011M10","MI11","132","42.383583","-86.999933","2010/04/02 00:49","EDT","125","Bottom Minus","surface water","Individual QC","field duplicate","10GA10D31","O2diss","Oxygen, Dissolved","-3.68083","mg/l","Total/Bulk","LG301","",
"2","2010","April    ","Michigan","MI1011","M017M10","MI17","102.2","42.733783","-87.417017","2010/04/01 21:13","EDT","1.2","Surface","surface water","Individual","routine field sample","10GA10S01","O2diss","Oxygen, Dissolved","-3.6828","mg/l","Total/Bulk","LG301","",
"3","2010","April    ","Michigan","MI1011","M017M10","MI17","102.2","42.733783","-87.417017","2010/04/01 21:13","EDT","49.4","Middle Depth","surface water","Individual","routine field sample","10GA10S03","O2diss","Oxygen, Dissolved","-3.70893","mg/l","Total/Bulk","LG301","",
"4","2010","April    ","Michigan","MI1011","M017M10","MI17","102.2","42.733783","-87.417017","2010/04/01 21:13","EDT","4.7","Five Meter","surface water","Individual","routine field sample","10GA10S0A","O2diss","Oxygen, Dissolved","-3.68724","mg/l","Total/Bulk","LG301","",
"5","2010","April    ","Michigan","MI1011","M017M10","MI17","102.2","42.733783","-87.417017","2010/04/01 21:13","EDT","10.2","Ten Meter","surface water","Individual","routine field sample","10GA10S0B","O2diss","Oxygen, Dissolved","-3.69015","mg/l","Total/Bulk","LG301","",
"6","2010","April    ","Michigan","MI1011","M017M10","MI17","102.2","42.733783","-87.417017","2010/04/01 21:13","EDT","20","Twenty Meter","surface water","Individual","routine field sample","10GA10S0C","O2diss","Oxygen, Dissolved","-3.72706","mg/l","Total/Bulk","LG301","",
"7","2010","April    ","Michigan","MI1011","M017M10","MI17","102.2","42.733783","-87.417017","2010/04/01 21:13","EDT","89.4","Bottom Minus 10","surface water","Individual","routine field sample","10GA10S10","O2diss","Oxygen, Dissolved","-3.72758","mg/l","Total/Bulk","LG301","",
"8","2010","April    ","Michigan","MI1011","M017M10","MI17","102.2","42.733783","-87.417017","2010/04/01 21:13","EDT","97.1","Bottom Minus","surface water","Individual","routine field sample","10GA10S11","O2diss","Oxygen, Dissolved","-3.73179","mg/l","Total/Bulk","LG301","",
"9","2010","April    ","Michigan","MI1011","M011M10","MI11","132","42.383583","-86.999933","2010/04/02 00:49","EDT","2.1","Surface","surface water","Individual","routine field sample","10GA10S21","O2diss","Oxygen, Dissolved","-3.6223","mg/l","Total/Bulk","LG301","",
"10","2010","April    ","Michigan","MI1011","M011M10","MI11","132","42.383583","-86.999933","2010/04/02 00:49","EDT","63.6","Middle Depth","surface water","Individual","routine field sample","10GA10S23","O2diss","Oxygen, Dissolved","-3.65108","mg/l","Total/Bulk","LG301","",
"11","2010","April    ","Michigan","MI1011","M011M10","MI11","132","42.383583","-86.999933","2010/04/02 00:49","EDT","5","Five Meter","surface water","Individual","routine field sample","10GA10S2A","O2diss","Oxygen, Dissolved","-3.62398","mg/l","Total/Bulk","LG301","",
"12","2010","April    ","Michigan","MI1011","M011M10","MI11","132","42.383583","-86.999933","2010/04/02 00:49","EDT","9.9","Ten Meter","surface water","Individual","routine field sample","10GA10S2B","O2diss","Oxygen, Dissolved","-3.62625","mg/l","Total/Bulk","LG301","",
"13","2010","April    ","Michigan","MI1011","M011M10","MI11","132","42.383583","-86.999933","2010/04/02 00:49","EDT","20.1","Twenty Meter","surface water","Individual","routine field sample","10GA10S2C","O2diss","Oxygen, Dissolved","-3.63106","mg/l","Total/Bulk","LG301","",
"14","2010","April    ","Michigan","MI1011","M011M10","MI11","132","42.383583","-86.999933","2010/04/02 00:49","EDT","117.8","Bottom Minus 10","surface water","Individual","routine field sample","10GA10S30","O2diss","Oxygen, Dissolved","-3.68086","mg/l","Total/Bulk","LG301","",
