YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 10 01 00 999 99.0 99.0 99.00 99.00 99.00 999 1019.3 999.0 999.0 999.0 99.0 99.00
2004 10 01 01 999 99.0 99.0 99.00 99.00 99.00 999 1019.7 999.0 999.0 999.0 99.0 99.00
2004 10 01 02 999 99.0 99.0 99.00 99.00 99.00 999 1019.9 999.0 999.0 999.0 99.0 99.00
2004 10 01 03 999 99.0 99.0 99.00 99.00 99.00 999 1020.2 999.0 999.0 999.0 99.0 99.00
2004 10 01 04 999 99.0 99.0 99.00 99.00 99.00 999 1020.5 999.0 999.0 999.0 99.0 99.00
2004 10 01 05 999 99.0 99.0 99.00 99.00 99.00 999 1020.6 999.0 999.0 999.0 99.0 99.00
2004 10 01 06 999 99.0 99.0 99.00 99.00 99.00 999 1020.6 999.0 999.0 999.0 99.0 99.00
2004 10 01 07 999 99.0 99.0 99.00 99.00 99.00 999 1020.8 999.0 999.0 999.0 99.0 99.00
2004 10 01 08 999 99.0 99.0 99.00 99.00 99.00 999 1020.7 999.0 999.0 999.0 99.0 99.00
2004 10 01 09 999 99.0 99.0 99.00 99.00 99.00 999 1020.7 999.0 999.0 999.0 99.0 99.00
2004 10 01 10 999 99.0 99.0 99.00 99.00 99.00 999 1020.7 999.0 999.0 999.0 99.0 99.00
2004 10 01 11 999 99.0 99.0 99.00 99.00 99.00 999 1020.9 999.0 999.0 999.0 99.0 99.00
2004 10 01 12 999 99.0 99.0 99.00 99.00 99.00 999 1020.9 999.0 999.0 999.0 99.0 99.00
2004 10 01 13 999 99.0 99.0 99.00 99.00 99.00 999 1021.1 999.0 999.0 999.0 99.0 99.00
2004 10 01 14 999 99.0 99.0 99.00 99.00 99.00 999 1021.0 999.0 999.0 999.0 99.0 99.00
2004 10 01 15 999 99.0 99.0 99.00 99.00 99.00 999 1020.8 999.0 999.0 999.0 99.0 99.00
2004 10 01 16 999 99.0 99.0 99.00 99.00 99.00 999 1020.6 999.0 999.0 999.0 99.0 99.00
2004 10 01 17 999 99.0 99.0 99.00 99.00 99.00 999 1019.7 999.0 999.0 999.0 99.0 99.00
2004 10 01 18 999 99.0 99.0 99.00 99.00 99.00 999 1019.0 999.0 999.0 999.0 99.0 99.00
2004 10 01 19 999 99.0 99.0 99.00 99.00 99.00 999 1017.9 999.0 999.0 999.0 99.0 99.00
2004 10 01 20 999 99.0 99.0 99.00 99.00 99.00 999 1016.9 999.0 999.0 999.0 99.0 99.00
2004 10 01 21 999 99.0 99.0 99.00 99.00 99.00 999 1016.4 999.0 999.0 999.0 99.0 99.00
