YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 04 08 08 147  5.1  5.6 99.00 99.00 99.00 999 9999.0   2.2 999.0 999.0 99.0 99.00
2004 04 08 09 153  5.8  6.8 99.00 99.00 99.00 999 9999.0   2.0 999.0 999.0 99.0 99.00
2004 04 08 11 139  4.6  5.3  0.24  2.70  2.76 999 1004.9   2.0   1.7 999.0 99.0 99.00
2004 04 08 12 106  4.9  5.8  0.30  2.78  2.83 999 1005.1   2.7   1.5 999.0 99.0 99.00
2004 04 08 13 142  6.3  7.2  0.32  2.78  2.80 999 1004.7   2.7   1.4 999.0 99.0 99.00
2004 04 08 14  11  1.5  3.7  0.37  3.03  2.92 999 1005.7   2.5   1.4 999.0 99.0 99.00
2004 04 08 15  65  4.3  5.0  0.25  2.94  2.91 999 1005.8   1.4   1.5 999.0 99.0 99.00
2004 04 08 16  75  3.2  4.5 99.00 99.00 99.00 999 9999.0   1.6 999.0 999.0 99.0 99.00
2004 04 08 17  30  3.1  3.9  0.26  2.86  2.86 999 1005.9   1.4   1.4 999.0 99.0 99.00
2004 04 08 18  30  4.1  4.6  0.24  2.94  3.03 999 1005.9   1.2   1.5 999.0 99.0 99.00
2004 04 08 19  25  5.9  6.7  0.31  3.23  3.15 999 1005.9   1.1   1.5 999.0 99.0 99.00
2004 04 08 20  25  5.6  6.4  0.38  3.33  3.15 999 1006.0   1.4   1.3 999.0 99.0 99.00
2004 04 08 21   3  5.1  5.8  0.39  3.57  3.18 999 1006.5   1.3   1.1 999.0 99.0 99.00
2004 04 08 22 339  3.9  4.3  0.36  3.57  3.29 999 1007.2   1.4   1.0 999.0 99.0 99.00
2004 04 08 23 337  4.7  5.4  0.38  3.57  3.39 999 1007.9   1.4   1.0 999.0 99.0 99.00
2004 04 09 00 337  4.2  4.8  0.33  3.57  3.36 999 1008.5   1.4   0.9 999.0 99.0 99.00
2004 04 09 01   1  1.8  2.3  0.26  3.45  3.23 999 1008.7   1.3   0.9 999.0 99.0 99.00
2004 04 09 02  23  1.6  1.7  0.23  3.45  3.13 999 1009.6   1.2   0.8 999.0 99.0 99.00
2004 04 09 03 270  4.3  5.8  0.22  3.33  3.13 999 1010.0   2.0   0.8 999.0 99.0 99.00
2004 04 09 04 274  4.3  5.1  0.17  2.94  2.97 999 1010.4   1.5   0.7 999.0 99.0 99.00
2004 04 09 05 287  5.0  5.9  0.17  2.56  2.80 999 1010.5   2.0   0.7 999.0 99.0 99.00
2004 04 09 06 297  7.3  8.6  0.28  2.70  2.80 999 1010.5   2.5   0.7 999.0 99.0 99.00
2004 04 09 07 307  6.6  8.0  0.41  3.03  2.94 999 1010.5   2.0   0.7 999.0 99.0 99.00
2004 04 09 08 305  8.0  9.4  0.58  3.33  3.19 999 1010.7   1.8   0.7 999.0 99.0 99.00
2004 04 09 09 313  7.7  9.1  0.67  4.00  3.46 999 1011.3   1.5   0.7 999.0 99.0 99.00
2004 04 09 10 335  6.9  8.1  0.89  4.76  3.94 999 1012.1   1.5   0.7 999.0 99.0 99.00
2004 04 09 11 352  5.6  6.5  0.99  4.76  4.28 999 1013.1   1.4   0.7 999.0 99.0 99.00
2004 04 09 12 329  4.3  4.8  0.85  5.00  4.19 999 1014.2   1.3   0.7 999.0 99.0 99.00
2004 04 09 13 310  3.0  3.5  0.70  5.00  4.02 999 1015.0   1.2   0.7 999.0 99.0 99.00
2004 04 09 14 331  2.4  2.7  0.69  5.00  4.03 999 1015.3   1.1   0.7 999.0 99.0 99.00
