YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 10 01 00 202  2.0  2.6 99.00 99.00 99.00 999 1017.9  14.6  17.4 999.0 99.0 99.00
2004 10 01 01 202  3.0  3.7 99.00 99.00 99.00 999 1018.1  13.7  17.6 999.0 99.0 99.00
2004 10 01 02 215  4.5  5.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2004 10 01 03 223  4.1  4.9 99.00 99.00 99.00 999 1018.3  13.0  17.6 999.0 99.0 99.00
2004 10 01 04 221  2.6  3.1 99.00 99.00 99.00 999 1018.5  12.0  17.6 999.0 99.0 99.00
2004 10 01 05 227  2.5  3.1 99.00 99.00 99.00 999 1018.5  11.1  17.6 999.0 99.0 99.00
2004 10 01 06 231  3.0  3.4 99.00 99.00 99.00 999 1018.7  11.5  17.4 999.0 99.0 99.00
2004 10 01 07 213  3.6  4.3 99.00 99.00 99.00 999 1018.8  12.8  17.3 999.0 99.0 99.00
2004 10 01 08 220  3.1  3.5 99.00 99.00 99.00 999 1018.9  10.9  17.3 999.0 99.0 99.00
2004 10 01 09 222  3.5  4.2 99.00 99.00 99.00 999 1018.7  10.7  17.2 999.0 99.0 99.00
2004 10 01 10 230  3.8  4.6 99.00 99.00 99.00 999 1018.8  11.1  17.2 999.0 99.0 99.00
2004 10 01 11 230  5.2  6.3 99.00 99.00 99.00 999 1018.8  10.7  17.1 999.0 99.0 99.00
2004 10 01 12 231  4.6  5.6 99.00 99.00 99.00 999 1019.1  10.2  17.0 999.0 99.0 99.00
2004 10 01 13 225  3.9  4.6 99.00 99.00 99.00 999 1019.0  13.0  16.9 999.0 99.0 99.00
2004 10 01 14 205  3.9  4.7 99.00 99.00 99.00 999 1019.1  15.9  16.9 999.0 99.0 99.00
2004 10 01 15 206  4.5  6.7 99.00 99.00 99.00 999 1019.0  17.9  16.9 999.0 99.0 99.00
2004 10 01 16 214  5.9  8.2 99.00 99.00 99.00 999 1018.8  19.4  17.0 999.0 99.0 99.00
2004 10 01 17 158  7.1  7.9 99.00 99.00 99.00 999 1017.9  17.2  17.0 999.0 99.0 99.00
2004 10 01 18 160  8.5  9.4 99.00 99.00 99.00 999 1017.4  17.2  17.2 999.0 99.0 99.00
2004 10 01 19 158  8.1  9.9 99.00 99.00 99.00 999 1016.1  17.8  17.6 999.0 99.0 99.00
