#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 10 15 13 00 310  5.1 11.3 99.00 99.00 99.00 999 9999.0   4.5 999.0 999.0 99.0 99.00
2012 10 15 14 00 310  6.2 10.8 99.00 99.00 99.00 999 9999.0   4.0 999.0 999.0 99.0 99.00
2012 10 15 15 00 320  5.1 11.3 99.00 99.00 99.00 999 9999.0   4.0 999.0 999.0 99.0 99.00
2012 10 15 16 00 320  5.7 11.8 99.00 99.00 99.00 999 9999.0   4.8 999.0 999.0 99.0 99.00
2012 10 15 17 00 320  5.1 11.3 99.00 99.00 99.00 999 9999.0   5.6 999.0 999.0 99.0 99.00
2012 10 15 18 00 330  4.1 11.3 99.00 99.00 99.00 999 9999.0   5.6 999.0 999.0 99.0 99.00
2012 10 15 19 00 320  4.6  9.3 99.00 99.00 99.00 999 9999.0   6.6 999.0 999.0 99.0 99.00
2012 10 15 20 00 310  4.1  7.7 99.00 99.00 99.00 999 9999.0   6.8 999.0 999.0 99.0 99.00
2012 10 15 21 00 310  5.1  8.8 99.00 99.00 99.00 999 9999.0   6.9 999.0 999.0 99.0 99.00
2012 10 15 22 00 320  4.6  9.3 99.00 99.00 99.00 999 9999.0   6.8 999.0 999.0 99.0 99.00
2012 10 15 23 15 310  3.1  6.2 99.00 99.00 99.00 999 9999.0   6.5 999.0 999.0 99.0 99.00
2012 10 16 00 00 300  3.6  7.2 99.00 99.00 99.00 999 9999.0   6.3 999.0 999.0 99.0 99.00
2012 10 16 01 00 290  4.1  6.7 99.00 99.00 99.00 999 9999.0   6.2 999.0 999.0 99.0 99.00
2012 10 16 02 00 290  4.1  6.7 99.00 99.00 99.00 999 9999.0   6.1 999.0 999.0 99.0 99.00
2012 10 16 03 00 300  3.6  5.7 99.00 99.00 99.00 999 9999.0   6.1 999.0 999.0 99.0 99.00
2012 10 16 04 00  20  5.1  8.8 99.00 99.00 99.00 999 9999.0   6.8 999.0 999.0 99.0 99.00
2012 10 16 05 00 340  3.1  6.2 99.00 99.00 99.00 999 9999.0   6.5 999.0 999.0 99.0 99.00
2012 10 16 06 00 300  2.6  4.6 99.00 99.00 99.00 999 9999.0   5.5 999.0 999.0 99.0 99.00
2012 10 16 07 00 310  3.1  5.1 99.00 99.00 99.00 999 9999.0   5.3 999.0 999.0 99.0 99.00
2012 10 16 08 00 300  2.1  3.6 99.00 99.00 99.00 999 9999.0   5.2 999.0 999.0 99.0 99.00
2012 10 16 09 00 290  2.6  5.1 99.00 99.00 99.00 999 9999.0   5.1 999.0 999.0 99.0 99.00
2012 10 16 10 00 300  3.1  4.6 99.00 99.00 99.00 999 9999.0   5.1 999.0 999.0 99.0 99.00
2012 10 16 11 00 280  4.1  6.2 99.00 99.00 99.00 999 9999.0   5.3 999.0 999.0 99.0 99.00
2012 10 16 12 00 290  3.6  5.7 99.00 99.00 99.00 999 9999.0   4.6 999.0 999.0 99.0 99.00
