Date Time, Water Level, I, L 
1999-10-01 00:00,176.114,0,0
1999-10-02 00:00,176.074,0,0
1999-10-03 00:00,176.093,0,0
1999-10-04 00:00,176.040,0,0
1999-10-05 00:00,176.002,0,0
1999-10-06 00:00,176.112,0,0
1999-10-07 00:00,175.936,0,0
1999-10-08 00:00,175.865,0,0
1999-10-09 00:00,175.988,0,0
1999-10-10 00:00,176.003,0,0
1999-10-11 00:00,176.022,0,0
1999-10-12 00:00,175.920,0,0
1999-10-13 00:00,176.080,0,0
1999-10-14 00:00,176.007,0,0
1999-10-15 00:00,175.912,0,0
1999-10-16 00:00,175.912,0,0
1999-10-17 00:00,176.030,0,0
1999-10-18 00:00,176.007,0,0
1999-10-19 00:00,175.929,0,0
1999-10-20 00:00,175.960,0,0
1999-10-21 00:00,175.884,0,0
1999-10-22 00:00,175.983,0,0
1999-10-23 00:00,176.155,0,0
1999-10-24 00:00,176.025,0,0
1999-10-25 00:00,175.919,0,0
1999-10-26 00:00,175.997,0,0
1999-10-27 00:00,175.920,0,0
1999-10-28 00:00,175.855,0,0
1999-10-29 00:00,175.888,0,0
1999-10-30 00:00,175.837,0,0
1999-10-31 00:00,175.923,0,0
1999-11-01 00:00,175.865,0,0
1999-11-02 00:00,176.104,0,0
1999-11-03 00:00,176.076,0,0
1999-11-04 00:00,175.962,0,0
1999-11-05 00:00,175.877,0,0
1999-11-06 00:00,175.973,0,0
1999-11-07 00:00,175.948,0,0
1999-11-08 00:00,175.834,0,0
1999-11-09 00:00,175.863,0,0
1999-11-10 00:00,175.964,0,0
1999-11-11 00:00,175.857,0,0
1999-11-12 00:00,175.867,0,0
1999-11-13 00:00,175.838,0,0
1999-11-14 00:00,176.029,0,0
1999-11-15 00:00,176.017,0,0
1999-11-16 00:00,175.989,0,0
1999-11-17 00:00,175.873,0,0
1999-11-18 00:00,175.812,0,0
1999-11-19 00:00,175.744,0,0
1999-11-20 00:00,175.836,0,0
1999-11-21 00:00,175.833,0,0
1999-11-22 00:00,175.810,0,0
1999-11-23 00:00,175.801,0,0
1999-11-24 00:00,175.799,0,0
1999-11-25 00:00,175.856,0,0
1999-11-26 00:00,175.831,0,0
1999-11-27 00:00,175.838,0,0
1999-11-28 00:00,175.920,0,0
1999-11-29 00:00,175.945,0,0
1999-11-30 00:00,175.847,0,0
1999-12-01 00:00,175.760,0,0
1999-12-02 00:00,175.785,0,0
1999-12-03 00:00,175.736,0,0
1999-12-04 00:00,175.815,0,0
1999-12-05 00:00,175.891,0,0
1999-12-06 00:00,175.944,0,0
1999-12-07 00:00,175.820,0,0
1999-12-08 00:00,175.794,0,0
1999-12-09 00:00,175.793,0,0
1999-12-10 00:00,175.895,0,0
1999-12-11 00:00,175.892,0,0
1999-12-12 00:00,175.803,0,0
1999-12-13 00:00,175.847,0,0
1999-12-14 00:00,175.815,0,0
1999-12-15 00:00,175.648,0,0
1999-12-16 00:00,175.826,0,0
1999-12-17 00:00,175.890,0,0
1999-12-18 00:00,175.839,0,0
1999-12-19 00:00,175.776,0,0
1999-12-20 00:00,175.694,0,0
1999-12-21 00:00,175.878,0,0
1999-12-22 00:00,175.830,0,0
1999-12-23 00:00,175.842,0,0
1999-12-24 00:00,175.854,0,0
1999-12-25 00:00,175.734,0,0
1999-12-26 00:00,175.962,0,0
1999-12-27 00:00,175.915,0,0
1999-12-28 00:00,175.824,0,0
1999-12-29 00:00,175.824,0,0
1999-12-30 00:00,175.871,0,0
1999-12-31 00:00,175.740,0,0
2000-01-01 00:00,175.757,0,0
2000-01-02 00:00,175.719,0,0
2000-01-03 00:00,175.804,0,0
2000-01-04 00:00,175.742,0,0
2000-01-05 00:00,175.789,0,0
2000-01-06 00:00,175.684,0,0
2000-01-07 00:00,175.848,0,0
2000-01-08 00:00,175.703,0,0
2000-01-09 00:00,175.759,0,0
2000-01-10 00:00,175.671,0,0
2000-01-11 00:00,175.794,0,0
2000-01-12 00:00,175.864,0,0
2000-01-13 00:00,175.892,0,0
2000-01-14 00:00,175.828,0,0
2000-01-15 00:00,175.834,0,0
2000-01-16 00:00,175.984,0,0
2000-01-17 00:00,175.783,0,0
2000-01-18 00:00,175.729,0,0
2000-01-19 00:00,175.790,0,0
2000-01-20 00:00,175.913,0,0
2000-01-21 00:00,175.886,0,0
2000-01-22 00:00,175.845,0,0
2000-01-23 00:00,175.721,0,0
2000-01-24 00:00,175.815,0,0
2000-01-25 00:00,175.857,0,0
2000-01-26 00:00,175.981,0,0
2000-01-27 00:00,175.971,0,0
2000-01-28 00:00,175.908,0,0
2000-01-29 00:00,175.834,0,1
2000-02-02 00:00,175.771,0,1
2000-02-03 00:00,175.792,0,0
2000-02-04 00:00,175.840,0,0
2000-02-05 00:00,175.824,0,0
2000-02-06 00:00,175.770,0,0
