year	Total outflow cms
1947.867	6344.66
1948.986	5662.227
1950.112	5991.098
1951.002	6475.006
1951.946	6833.46
1952.915	6493.84
1954.004	6298.526
1954.897	6342.512
1956.099	6297.508
1957.025	6047.316
1957.985	5462.581
1959.032	5467.868
1959.886	6053.83
1961.101	6195.771
1962.007	5419.535
1962.84	5154.635
1964.003	4983.137
1964.936	5186.741
1965.972	5662.379
1967.047	5762.486
1967.967	6168.968
1969.047	6768.619
1970.016	6271.455
1971.124	6330.368
1971.994	6839.734
1973.08	7414.545
1974.015	7161.87
1975.002	6982.901
1976.007	7058.156
1976.93	6530.348
1977.979	6551.369
1979.03	6758.089
1980.021	7021.112
1980.962	6708.608
1982.041	6561.324
1983.025	6915.645
1984.021	6852.815
1984.99	7125.567
1985.867	7531.217
1987.131	7005.929
1987.932	6120.788
1989.044	6371.402
1990.034	6312.301
1990.987	6265.614
1991.942	6447.273
1993.037	6676.15
1994.087	6574.614
1995.1	6231.065
1996.156	6731.551
1996.999	7435.103
1998.075	6891.37
1998.98	5763.815
1999.991	5817.748
2001.017	5453.085
2002.136	5866.626
2003.022	5765.695
2004.013	6063.29
2005.042	5871.077
