Year, TP load(tonnes/y)
1967, 23456.752
1968, 27950.846
1969, 26958.547
1970, 23760.684
1971, 18081.711
1972, 22260.527
1973, 20511.760
1974, 19474.770
1975, 12974.784
1976, 15036.352
1977, 14195.127
1978, 19052.736
1979, 11583.857
1980, 14504.737
1981, 10064.546
1982, 12004.113
1983, 9495.691
1984, 12439.976
1985, 10790.510
1986, 10796.183
1987, 8023.194
1988, 7291.911
1989, 7939.499
1990, 12296.698
1991, 10539.422
1992, 7363.550
1993, 11556.193
1994, 7121.325
1995, 7127.708
1996, 11024.577
1997, 16302.799
1998, 12225.060
1999, 5930.773
2000, 7854.027
2001, 6719.510
2002, 9109.123
2003, 7962.194
2004, 8863.707
2005, 9252.403
2006, 8846.331
2007, 11875.732
2008, 10740.504
2009, 8447.707
2010, 5802.746
2011, 8530.341
