YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 04 12 00 337  2.7  2.9  0.03  4.35  3.32 999 1012.2   3.5   0.2 999.0 99.0 99.00
2003 04 12 01 348  6.9  8.0  0.04 33.33  7.37 999 1012.0   4.1   0.2 999.0 99.0 99.00
2003 04 12 02 338  6.5  7.3  0.25  2.50  2.68 999 1012.2   3.3   0.2 999.0 99.0 99.00
2003 04 12 03 323  8.0  9.0  0.45  3.03  2.97 999 1011.6   3.4   0.2 999.0 99.0 99.00
2003 04 12 04 315  7.5  9.2 99.00  0.00 99.00 999 1011.3   3.2   0.2 999.0 99.0 99.00
2003 04 12 05 310  8.0  8.8  0.92  4.76  3.95 999 1010.7   2.8   0.1 999.0 99.0 99.00
2003 04 12 06 315  8.2  9.2  0.96  4.76  4.02 999 1010.4   2.7   0.1 999.0 99.0 99.00
2003 04 12 07 332  9.0 10.5  1.17  5.26  4.29 999 1010.4   2.7   0.1 999.0 99.0 99.00
2003 04 12 08 358  8.5  9.5  1.23  5.88  4.32 999 1010.4   2.7   0.1 999.0 99.0 99.00
2003 04 12 09   1  7.3  8.4  1.12  5.88  4.37 999 1011.1   2.0   0.1 999.0 99.0 99.00
2003 04 12 10 352  7.6  8.7  1.03  5.26  4.21 999 1012.0   1.8   0.1 999.0 99.0 99.00
2003 04 12 11   2  9.7 11.3 99.00  0.00 99.00 999 1012.6   1.9   0.1 999.0 99.0 99.00
2003 04 12 12 359  8.9 10.4  1.05  5.00  3.93 999 1013.7   1.7   0.1 999.0 99.0 99.00
2003 04 12 13 359  9.3 11.0  1.06  4.76  3.85 999 1014.4   1.6   0.1 999.0 99.0 99.00
2003 04 12 14 350  8.5  9.7  1.19  4.55  4.11 999 1015.5   1.3   0.1 999.0 99.0 99.00
2003 04 12 15 348  9.7 11.7  1.46  5.00  4.38 999 1016.2   1.2   0.1 999.0 99.0 99.00
2003 04 12 16 343  9.4 11.7  1.38  5.00  4.29 999 1017.2   1.3   0.1 999.0 99.0 99.00
2003 04 12 17 341  8.2  9.5  1.20  4.76  4.19 999 1017.8   1.2   0.1 999.0 99.0 99.00
2003 04 12 18 350  8.1  9.6  1.13  4.76  4.15 999 1018.3   1.3   0.1 999.0 99.0 99.00
2003 04 12 19 352  6.3  7.3  1.10  5.00  4.20 999 1019.0   1.2   0.1 999.0 99.0 99.00
