#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 07 04 50 164  4.9  5.5  0.08 99.00  4.42 999 1009.3   4.8   2.9 999.0 99.0 99.00
2009 05 07 05 50 175  4.7  5.3  0.14 99.00  3.30 999 1009.1   5.2   2.7 999.0 99.0 99.00
2009 05 07 06 50 173  4.9  5.3  0.18 99.00  3.33 999 1008.3   5.3   2.7 999.0 99.0 99.00
2009 05 07 07 50 161  4.0  4.3  0.15 99.00  3.24 999 1007.7   4.6   2.6 999.0 99.0 99.00
2009 05 07 08 50 168  4.7  5.2  0.13 99.00  3.09 999 1007.4   4.3   2.6 999.0 99.0 99.00
2009 05 07 09 50 172  5.3  6.0  0.15 99.00  3.30 999 1007.4   4.6   2.6 999.0 99.0 99.00
2009 05 07 10 50 175  5.3  5.8  0.20 99.00  3.21 999 1007.5   4.5   2.6 999.0 99.0 99.00
2009 05 07 11 50 169  5.5  6.0  0.21 99.00  3.12 999 1007.9   4.4   2.6 999.0 99.0 99.00
2009 05 07 12 50 172  5.5  6.1  0.23 99.00  3.43 999 1008.0   4.4   2.6 999.0 99.0 99.00
2009 05 07 13 50 172  5.0  5.6  0.21 99.00  3.28 999 1007.8   4.8   2.6 999.0 99.0 99.00
2009 05 07 14 50 163  4.6  5.3  0.20 99.00  3.88 999 1007.3   4.7   2.6 999.0 99.0 99.00
2009 05 07 15 50 166  5.0  5.6  0.20 99.00  3.23 999 1007.4   4.9   2.6 999.0 99.0 99.00
2009 05 07 16 50 168  4.5  5.0  0.16 99.00  4.14 999 1007.2   5.0   2.6 999.0 99.0 99.00
2009 05 07 17 50 180  6.0  6.6  0.18 99.00  3.12 999 1006.9   5.9   2.6 999.0 99.0 99.00
2009 05 07 18 50 188  4.8  5.3  0.18 99.00  3.11 999 1007.2   5.1   2.6 999.0 99.0 99.00
