Station_Name,GODERICH, ONTARIO
Station_Number,11860,
Latitude_Decimal_Degrees,43.745354,
Longitude_Decimal_Degrees,81.727796,
Datum,IGLD85,
Time_Zone,EST,
SLEV=Observed Water Level,,
Obs_date,SLEV(metres),
1999-10-01,176.326,
1999-10-02,176.245,
1999-10-03,176.237,
1999-10-04,176.181,
1999-10-05,176.198,
1999-10-06,176.269,
1999-10-07,176.124,
1999-10-08,176.091,
1999-10-09,176.18,
1999-10-10,176.165,
1999-10-11,176.186,
1999-10-12,176.107,
1999-10-13,176.229,
1999-10-14,176.149,
1999-10-15,176.113,
1999-10-16,176.1,
1999-10-17,176.182,
1999-10-18,176.141,
1999-10-19,176.105,
1999-10-20,176.175,
1999-10-21,176.132,
1999-10-22,176.224,
1999-10-23,176.327,
1999-10-24,176.195,
1999-10-25,176.165,
1999-10-26,176.199,
1999-10-27,176.107,
1999-10-28,176.04,
1999-10-29,176.056,
1999-10-30,176.016,
1999-10-31,176.111,
1999-11-01,176.053,
1999-11-02,176.208,
1999-11-03,176.29,
1999-11-04,176.2,
1999-11-05,176.11,
1999-11-06,176.166,
1999-11-07,176.118,
1999-11-08,176.034,
1999-11-09,176.075,
1999-11-10,176.118,
1999-11-11,175.993,
1999-11-12,176.056,
1999-11-13,176.039,
1999-11-14,176.195,
1999-11-15,176.176,
1999-11-16,176.108,
1999-11-17,176.044,
1999-11-18,176.027,
1999-11-19,175.949,
1999-11-20,176.041,
1999-11-21,176.012,
1999-11-22,175.988,
1999-11-23,175.982,
1999-11-24,176.022,
1999-11-25,176.056,
1999-11-26,176.001,
1999-11-27,176.063,
1999-11-28,176.143,
1999-11-29,176.114,
1999-11-30,176.011,
1999-12-01,175.97,
1999-12-02,175.993,
1999-12-03,175.942,
1999-12-04,176.007,
1999-12-05,176.048,
1999-12-06,176.075,
1999-12-07,176.011,
1999-12-08,176,
1999-12-09,175.989,
1999-12-10,176.091,
1999-12-11,176.071,
1999-12-12,175.971,
1999-12-13,176.01,
1999-12-14,175.923,
1999-12-15,175.865,
1999-12-16,176.069,
1999-12-17,176.102,
1999-12-18,176.013,
1999-12-19,175.954,
1999-12-20,175.939,
1999-12-21,176.113,
1999-12-22,176.058,
1999-12-23,176.068,
1999-12-24,176.042,
1999-12-25,175.988,
1999-12-26,176.223,
1999-12-27,176.113,
1999-12-28,176.033,
1999-12-29,175.972,
1999-12-30,176.058,
1999-12-31,175.937,
2000-01-01,175.945,
2000-01-02,175.891,
2000-01-03,175.939,
2000-01-04,175.941,
2000-01-05,175.98,
2000-01-06,175.924,
2000-01-07,176.057,
2000-01-08,175.969,
2000-01-09,175.951,
2000-01-10,175.875,
2000-01-11,176.027,
2000-01-12,176.056,
2000-01-13,175.984,
2000-01-14,175.971,
2000-01-15,175.878,
2000-01-16,176.071,
2000-01-17,175.904,
2000-01-18,175.864,
2000-01-19,175.982,
2000-01-20,175.987,
2000-01-21,175.964,
2000-01-22,175.932,
2000-01-23,175.894,
2000-01-24,175.952,
2000-01-25,175.965,
2000-01-26,175.951,
2000-01-27,175.965,
2000-01-28,175.967,
2000-01-29,175.912,
2000-01-30,175.88,
2000-01-31,175.919,
2000-02-01,176.025,
2000-02-02,175.925,
2000-02-03,175.899,
2000-02-04,175.888,
2000-02-05,175.949,
2000-02-06,175.92,
2000-02-07,175.983,
2000-02-08,175.845,
2000-02-09,175.915,
2000-02-10,175.875,
2000-02-11,175.891,
2000-02-12,175.876,
2000-02-13,175.87,
2000-02-14,175.88,
2000-02-15,175.842,
2000-02-16,175.934,
2000-02-17,175.901,
2000-02-18,175.857,
2000-02-19,175.861,
2000-02-20,175.908,
2000-02-21,175.879,
2000-02-22,175.808,
2000-02-23,175.844,
2000-02-24,175.836,
2000-02-25,175.854,
2000-02-26,175.81,
2000-02-27,175.867,
2000-02-28,175.951,
2000-02-29,175.862,
2000-03-01,175.863,
2000-03-02,176.032,
2000-03-03,175.926,
2000-03-04,175.912,
2000-03-05,175.93,
2000-03-06,175.87,
2000-03-07,175.864,
2000-03-08,175.882,
2000-03-09,175.923,
2000-03-10,175.89,
2000-03-11,175.926,
2000-03-12,175.953,
2000-03-13,175.904,
2000-03-14,175.905,
2000-03-15,175.894,
2000-03-16,175.932,
2000-03-17,175.905,
2000-03-18,175.854,
2000-03-19,175.857,
2000-03-20,175.825,
2000-03-21,175.857,
2000-03-22,175.888,
2000-03-23,175.902,
2000-03-24,175.862,
2000-03-25,175.873,
2000-03-26,175.964,
2000-03-27,175.909,
2000-03-28,175.938,
2000-03-29,176,
2000-03-30,175.961,
2000-03-31,175.924,
2000-04-01,175.904,
2000-04-02,175.916,
2000-04-03,175.886,
2000-04-04,175.971,
2000-04-05,175.992,
2000-04-06,175.911,
2000-04-07,175.955,
2000-04-08,175.967,
2000-04-09,175.946,
2000-04-10,176.012,
2000-04-11,175.93,
2000-04-12,175.909,
2000-04-13,175.893,
2000-04-14,175.846,
2000-04-15,175.91,
2000-04-16,175.897,
2000-04-17,175.87,
2000-04-18,175.893,
2000-04-19,175.92,
2000-04-20,175.91,
2000-04-21,175.911,
2000-04-22,175.963,
2000-04-23,175.969,
2000-04-24,175.977,
2000-04-25,175.963,
2000-04-26,175.961,
2000-04-27,175.944,
2000-04-28,175.94,
2000-04-29,175.957,
2000-04-30,175.934,
2000-05-01,175.948,
2000-05-02,175.959,
2000-05-03,175.913,
2000-05-04,175.931,
2000-05-05,175.957,
2000-05-06,175.937,
2000-05-07,175.951,
2000-05-08,175.957,
2000-05-09,175.952,
2000-05-10,176.018,
2000-05-11,175.989,
2000-05-12,175.949,
2000-05-13,176.032,
2000-05-14,176.071,
2000-05-15,176.032,
2000-05-16,176.001,
2000-05-17,176.006,
2000-05-18,176.031,
2000-05-19,176.011,
2000-05-20,176.03,
2000-05-21,176.032,
2000-05-22,176.016,
2000-05-23,176.022,
2000-05-24,176.06,
2000-05-25,176.096,
2000-05-26,176.077,
2000-05-27,176.04,
2000-05-28,176.047,
2000-05-29,176.065,
2000-05-30,176.035,
2000-05-31,176.061,
2000-06-01,176.071,
2000-06-02,176.051,
2000-06-03,176.098,
2000-06-04,176.083,
2000-06-05,176.069,
2000-06-06,176.088,
2000-06-07,176.082,
2000-06-08,176.068,
2000-06-09,176.111,
2000-06-10,176.036,
2000-06-11,176.116,
2000-06-12,176.091,
2000-06-13,176.093,
2000-06-14,176.048,
2000-06-15,176.107,
2000-06-16,176.121,
2000-06-17,176.15,
2000-06-18,176.114,
2000-06-19,176.12,
2000-06-20,176.076,
2000-06-21,176.083,
2000-06-22,176.153,
2000-06-23,176.123,
2000-06-24,176.091,
2000-06-25,176.132,
2000-06-26,176.123,
2000-06-27,176.153,
2000-06-28,176.129,
2000-06-29,176.145,
2000-06-30,176.139,
2000-07-01,176.142,
2000-07-02,176.169,
2000-07-03,176.162,
2000-07-04,176.14,
2000-07-05,176.144,
2000-07-06,176.111,
2000-07-07,176.111,
2000-07-08,176.104,
2000-07-09,176.143,
2000-07-10,176.158,
2000-07-11,176.129,
2000-07-12,176.126,
2000-07-13,176.123,
2000-07-14,176.17,
2000-07-15,176.188,
2000-07-16,176.17,
