#,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
"# US Geological Survey, Water Resources Data",,,,,,,,,,,,,,,,,,,,,,
# retrieved: 2018-11-29 08:19:36 EST      (sdww02),,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# This file contains USGS Surface-Water Daily Statistics,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.,,,,,,,,,,,,,,,,,,,,,,
# The user is responsible for assessment and use of statistics from this site.,,,,,,,,,,,,,,,,,,,,,,
"# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# ** No Incomplete data have been used for statistical calculation,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# This file includes the following columns:,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# agency_cd  agency code,,,,,,,,,,,,,,,,,,,,,,
# site_no    USGS site number,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# Sites in this file include:,,,,,,,,,,,,,,,,,,,,,,
# USGS 04216000 NIAGARA RIVER AT BUFFALO NY,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data ,,,,,,,,,,,,,,,,,,,,,,
# parameter_cd,Parameter Name,,,,,ts_id,Location Name,,,,,,,,,,,,,,,
# 00060,,"Discharge, cubic feet per second",,217733,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# Data heading explanations.,,,,,,,,,,,,,,,,,,,,,,
# begin_yr_dt ... First complete year of data of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# end_yr_dt   ... Last complete year of data of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# max_va      ... Maximum of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# min_va      ... Minimum of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# mean_va     ... Mean of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# p05_va      ... 05 percentile of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# p10_va      ... 10 percentile of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# p20_va      ... 20 percentile of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# p25_va      ... 25 percentile of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# p50_va      ... 50 percentile (median) of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# p75_va      ... 75 percentile of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# p80_va      ... 80 percentile of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# p90_va      ... 90 percentile of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
# p95_va      ... 95 percentile of daily mean values for this day.,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
5s,15s,5s,11n,3n,3n,6n,6n,8n,5n,12s,5n,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s
USGS,4216000,60,217733,1,1,1926,2017,92,1973,283000,1964,140000,201000,156000,163000,174000,181000,199000,220000,226000,243000,251000
USGS,4216000,60,217733,1,2,1926,2017,92,2012,261000,1936,144000,201000,155000,164000,176000,178000,201000,220000,229000,235000,244000
USGS,4216000,60,217733,1,3,1926,2017,92,1987,261000,1934,134000,200000,152000,167000,179000,183000,200000,220000,226000,234000,238000
USGS,4216000,60,217733,1,4,1926,2017,92,1973,284000,1934,126000,202000,155000,170000,181000,185000,200000,223000,226000,239000,250000
USGS,4216000,60,217733,1,5,1926,2017,92,1973,267000,1935,144000,201000,159000,171000,176000,182000,196000,219000,226000,237000,254000
USGS,4216000,60,217733,1,6,1926,2017,92,1997,279000,1945,136000,199000,144000,163000,176000,180000,196000,222000,225000,235000,248000
USGS,4216000,60,217733,1,7,1926,2017,92,1980,272000,1945,134000,199000,144000,154000,177000,183000,198000,219000,227000,232000,246000
USGS,4216000,60,217733,1,8,1926,2017,92,1987,265000,1926,126000,197000,144000,160000,173000,181000,195000,217000,226000,235000,241000
USGS,4216000,60,217733,1,9,1926,2017,92,1998,267000,1926,130000,198000,147000,162000,174000,180000,195000,215000,220000,232000,247000
USGS,4216000,60,217733,1,10,1926,2017,92,1998,291000,1926,142000,198000,155000,164000,176000,179000,197000,214000,218000,229000,260000
USGS,4216000,60,217733,1,11,1926,2017,92,1997,287000,1938,138000,198000,150000,163000,176000,179000,196000,214000,217000,235000,261000
USGS,4216000,60,217733,1,12,1926,2017,92,1980,284000,1964,101000,198000,151000,166000,177000,180000,198000,216000,222000,232000,255000
USGS,4216000,60,217733,1,13,1926,2017,92,2012,278000,1964,90000,195000,143000,161000,171000,176000,192000,215000,220000,236000,248000
USGS,4216000,60,217733,1,14,1926,2017,92,1987,260000,1964,121000,194000,148000,157000,173000,177000,191000,212000,220000,234000,242000
USGS,4216000,60,217733,1,15,1926,2017,92,1930,266000,1964,126000,196000,151000,159000,172000,179000,195000,211000,215000,232000,247000
USGS,4216000,60,217733,1,16,1926,2017,92,1997,256000,1965,119000,195000,140000,161000,174000,177000,192000,216000,220000,230000,245000
USGS,4216000,60,217733,1,17,1926,2017,92,1997,255000,1964,134000,196000,143000,153000,173000,177000,196000,215000,222000,233000,242000
USGS,4216000,60,217733,1,18,1926,2017,92,1991,261000,1938,121000,197000,142000,152000,172000,178000,198000,216000,224000,237000,244000
USGS,4216000,60,217733,1,19,1926,2017,92,1985,253000,1936,125000,197000,140000,152000,176000,180000,199000,216000,222000,238000,244000
USGS,4216000,60,217733,1,20,1926,2017,92,1985,277000,1936,137000,196000,149000,157000,173000,177000,194000,214000,217000,233000,245000
USGS,4216000,60,217733,1,21,1926,2017,92,1985,281000,1934,131000,195000,148000,160000,174000,179000,194000,212000,219000,230000,238000
USGS,4216000,60,217733,1,22,1926,2017,92,1995,259000,1964,134000,195000,150000,161000,173000,178000,196000,210000,217000,230000,241000
USGS,4216000,60,217733,1,23,1926,2017,92,1987,273000,1965,111000,196000,148000,163000,176000,181000,192000,213000,218000,241000,248000
USGS,4216000,60,217733,1,24,1926,2017,92,2012,265000,1964,135000,194000,146000,160000,172000,176000,191000,215000,219000,232000,247000
USGS,4216000,60,217733,1,25,1926,2017,92,1972,276000,1936,110000,196000,149000,162000,173000,177000,193000,214000,219000,234000,248000
USGS,4216000,60,217733,1,26,1926,2017,92,1975,274000,1936,111000,194000,145000,159000,170000,174000,194000,214000,225000,236000,240000
