#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2014,10,1,59.91919192,4.721212121,5.515151515,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,2,146.9066667,2.730530973,4.042035398,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,3,177.2887029,4.607949791,8.607112971,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,4,230.7958333,5.13625,8.849166667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,5,212.3208333,4.474583333,8.108333333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,6,189.6166667,3.977083333,7.435416667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,7,201.2791667,3.550416667,6.5775,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,8,240.9240506,6.023628692,9.573839662,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,9,255.0375,6.113333333,8.582083333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,10,134.0436681,2.295196507,3.19650655,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,11,113.7878788,4.030735931,5.222510823,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,12,112.3875,3.8025,4.865416667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,13,176.15,2.871666667,5.447916667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,14,167.8333333,4.942916667,9.475833333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,15,171.7958333,3.0625,5.0225,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,16,200.1046025,2.410416667,3.8575,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,17,221.6375,3.575833333,6.365833333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,18,291.2893617,9.72,12.2812766,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,19,311.0239234,6.437320574,8.696172249,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,20,199.958159,3.085355649,5.431380753,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,21,267.4978166,5.495633188,6.800436681,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,22,39.4625,8.714583333,10.47125,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,23,133.425,5.21375,6.447916667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,24,299.1458333,4.463333333,5.724166667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,25,221.0375,3.97,6.418333333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,26,291.9083333,8.656666667,10.89041667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,27,170.3529412,2.590336134,3.858823529,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,28,211.8242678,4.711297071,8.247280335,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,29,241.875,5.486637931,8.535775862,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,30,318.1709402,5.311538462,6.737179487,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,10,31,195.6939655,2.138362069,3.628017241,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,1,78.62711864,8.509745763,10.51737288,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
