,Year,Month,Value
0,2000,4,14.70120699734195
1,2000,8,14.658619300243316
2,2001,4,14.65667864575265
3,2001,8,15.087740839485255
4,2002,4,15.289635036303231
5,2002,8,
6,2003,4,15.129566117835518
7,2003,8,15.667919147751423
8,2004,4,15.810414212795434
9,2004,8,16.606966905977277
10,2005,4,15.990767305205578
11,2005,8,16.87509334283223
12,2006,4,16.047456270759426
13,2006,8,16.79469196394097
14,2007,4,15.802882358980957
15,2007,8,16.120623393932263
16,2008,4,16.039253131966895
17,2008,8,17.454593522171532
18,2009,4,16.024971288585633
19,2009,8,14.962608028597156
20,2010,4,14.44355701576593
21,2010,8,15.831398473599439
22,2011,4,15.836863385268254
23,2011,8,16.36493682839284
24,2012,4,16.99394516885084
25,2012,8,16.823838619701554
26,2013,4,16.911284792461093
27,2013,8,16.282898967533256
28,2014,4,16.250026086299975
29,2014,8,17.23142901013213
30,2015,4,17.370216475024
31,2015,8,16.507774757529184
32,2016,4,16.72835336025068
33,2016,8,16.157807479245992
34,2017,4,15.910231789812585
35,1983,4,
36,1983,5,
37,1983,8,
38,1983,10,
39,1984,4,
40,1984,5,
41,1984,8,
42,1984,12,
43,1985,4,
44,1985,8,
45,1985,11,
46,1986,4,
47,1986,8,
48,1987,4,
49,1987,7,
50,1987,8,
51,1988,4,
52,1988,8,
53,1989,8,
54,1990,4,
55,1990,8,
56,1991,4,
57,1991,8,
58,1992,4,
59,1993,4,
60,1996,4,13.93771282964914
61,1996,8,14.443226009498266
62,1997,4,13.46860298594086
63,1997,8,12.725697039502379
64,1998,4,13.512271770753486
65,1998,8,14.160612910864987
66,1999,3,14.861389488804686
67,1999,8,14.528820916462092
