,Year,Month,mean
0,1983,4,15.507692307692308
1,1983,5,15.299999999999997
2,1983,8,14.468518518518518
3,1983,10,14.799999999999994
4,1984,4,14.415999999999995
5,1984,5,15.053846153846154
6,1984,8,15.044642857142858
7,1984,12,14.86944444444444
8,1985,4,14.68146666666666
9,1985,8,14.631151079136693
10,1985,11,14.656029411764703
11,1986,4,14.847031249999993
12,1986,8,14.15616666666667
13,1987,4,14.035000000000014
14,1987,7,14.256140350877196
15,1987,8,14.01186440677966
16,1988,4,13.870491803278691
17,1988,8,14.574137931034482
18,1989,8,13.82100840336134
19,1990,4,14.138709677419358
20,1990,8,14.232758620689653
21,1991,4,14.83225806451613
22,1991,8,14.446610169491533
23,1992,4,14.412903225806456
24,1993,4,14.650000000000002
25,1996,4,14.022061855670097
26,1996,8,14.076364864864862
27,1997,4,13.79389130434783
28,1997,8,13.812808823529409
29,1998,4,13.714562500000001
30,1998,8,14.164864864864866
31,1999,3,14.228571428571435
32,1999,8,14.550726190476185
33,2000,4,15.070208333333333
34,2000,8,14.722435897435899
35,2001,4,15.039595104166667
36,2001,8,15.796345337349404
37,2002,4,15.426570156249996
38,2002,8,15.137744646153847
39,2003,4,14.761716250000005
40,2003,8,15.530192636363637
41,2004,4,15.55543204651163
42,2004,8,16.01665641176471
43,2005,4,16.420062921875004
44,2005,8,16.480491228070175
45,2006,4,16.848166666666668
46,2006,8,16.593016949152545
47,2007,4,16.516458333333333
48,2007,8,15.817784313725488
49,2008,4,15.645312500000003
50,2008,8,17.140736842105262
51,2009,4,16.043897959183674
52,2009,8,15.702944444444446
53,2010,4,15.362604166666662
54,2010,8,15.482561403508768
55,2011,4,15.79681818181818
56,2011,8,16.157839285714285
57,2012,4,17.02315909090909
58,2012,8,16.427872340425527
59,2013,4,16.91425
60,2013,8,16.093326086956527
61,2014,4,16.328295454545454
62,2014,8,17.080735849056598
63,2015,4,17.365181818181814
64,2015,8,17.221127272727266
65,2016,4,16.566863636363628
66,2016,8,16.29868085106383
67,2017,4,16.10872727272727
