,Year,Month,mean
0,1983,4,17.124999999999996
1,1983,5,16.175
2,1983,8,15.592105263157901
3,1983,10,15.780769230769234
4,1984,4,15.100000000000001
5,1984,5,15.616666666666665
6,1984,8,17.418604651162784
7,1984,12,15.016666666666664
8,1985,4,14.935500000000001
9,1985,8,14.923620689655168
10,1985,11,14.610000000000005
11,1986,4,15.202972972972972
12,1986,8,14.932641509433964
13,1987,4,14.576666666666675
14,1987,8,14.724528301886801
15,1988,4,14.514999999999997
16,1988,8,14.774137931034481
17,1989,8,14.153571428571436
18,1990,4,14.868421052631579
19,1990,8,14.565517241379311
20,1991,4,14.847368421052636
21,1991,8,14.505357142857141
22,1992,4,14.797368421052633
23,1993,4,15.094736842105258
24,1996,4,13.990075471698109
25,1996,8,14.604882352941175
26,1997,4,14.67513461538462
27,1997,8,14.45767741935484
28,1998,4,14.95359259259259
29,1998,8,14.833333333333337
30,1999,3,14.914814814814815
31,1999,8,15.105859999999998
32,2000,4,15.229629629629631
33,2000,8,15.069999999999997
34,2001,4,15.504615666666668
35,2001,8,16.728264545454543
36,2002,4,15.696492759259261
37,2002,8,15.94198234375
38,2003,4,15.952060574074073
39,2003,8,16.084151821428573
40,2004,4,16.476534320000003
41,2004,8,17.39145767857143
42,2005,4,16.861627452380958
43,2005,8,15.998750000000001
44,2006,4,17.73070370370371
45,2006,8,17.5032
46,2007,4,18.291846153846155
47,2007,8,17.119172413793102
48,2008,4,16.55037037037037
49,2008,8,18.227071428571428
50,2009,4,16.994846153846154
51,2009,8,18.145464285714286
52,2010,4,16.524703703703704
53,2010,8,16.398064516129036
54,2011,4,6.741884615384616
55,2011,8,16.61192857142857
56,2012,4,17.479777777777777
57,2012,8,17.05061538461539
58,2013,4,17.791592592592593
59,2013,8,17.060827586206898
60,2014,4,17.60044444444444
61,2014,8,17.37911111111111
62,2015,4,17.38677777777778
63,2015,8,17.218724137931034
64,2016,4,17.293703703703702
65,2016,8,17.430733333333333
66,2017,4,17.495851851851857
