"","day","month","year","flow","hyear","baseflow"
"1",1,1,1996,20,1996,NA
"2",2,1,1996,20,1996,NA
"3",3,1,1996,19,1996,NA
"4",4,1,1996,19,1996,NA
"5",5,1,1996,19,1996,NA
"6",6,1,1996,19,1996,NA
"7",7,1,1996,19,1996,NA
"8",8,1,1996,18,1996,NA
"9",9,1,1996,16,1996,NA
"10",10,1,1996,15,1996,15
"11",11,1,1996,15,1996,15
"12",12,1,1996,15,1996,15
"13",13,1,1996,15,1996,15
"14",14,1,1996,15,1996,15
"15",15,1,1996,15,1996,15
"16",16,1,1996,15,1996,15
"17",17,1,1996,30,1996,15.1363636363636
"18",18,1,1996,60,1996,15.2727272727273
"19",19,1,1996,120,1996,15.4090909090909
"20",20,1,1996,250,1996,15.5454545454545
"21",21,1,1996,160,1996,15.6818181818182
"22",22,1,1996,110,1996,15.8181818181818
"23",23,1,1996,80,1996,15.9545454545455
"24",24,1,1996,50,1996,16.0909090909091
"25",25,1,1996,35,1996,16.2272727272727
"26",26,1,1996,32,1996,16.3636363636364
"27",27,1,1996,58,1996,16.5
"28",28,1,1996,94,1996,16.6363636363636
"29",29,1,1996,60,1996,16.7727272727273
"30",30,1,1996,46,1996,16.9090909090909
"31",31,1,1996,37,1996,17.0454545454545
"32",1,2,1996,32,1996,17.1818181818182
"33",2,2,1996,28,1996,17.3181818181818
"34",3,2,1996,26,1996,17.4545454545455
"35",4,2,1996,23,1996,17.5909090909091
"36",5,2,1996,21,1996,17.7272727272727
"37",6,2,1996,19,1996,17.8636363636364
"38",7,2,1996,18,1996,18
"39",8,2,1996,62,1996,17.8333333333333
"40",9,2,1996,218,1996,17.6666666666667
"41",10,2,1996,255,1996,17.5
"42",11,2,1996,206,1996,17.3333333333333
"43",12,2,1996,142,1996,17.1666666666667
"44",13,2,1996,87,1996,17
"45",14,2,1996,50,1996,16.8333333333333
"46",15,2,1996,35,1996,16.6666666666667
"47",16,2,1996,25,1996,16.5
"48",17,2,1996,21,1996,16.3333333333333
"49",18,2,1996,18,1996,16.1666666666667
"50",19,2,1996,16,1996,16
"51",20,2,1996,30,1996,16.15
"52",21,2,1996,70,1996,16.3
"53",22,2,1996,130,1996,16.45
"54",23,2,1996,211,1996,16.6
"55",24,2,1996,486,1996,16.75
