"","day","month","year","flow","hyear","baseflow"
"1",1,1,1996,204,1996,NA
"2",2,1,1996,198,1996,NA
"3",3,1,1996,189,1996,NA
"4",4,1,1996,190,1996,NA
"5",5,1,1996,216,1996,NA
"6",6,1,1996,240,1996,NA
"7",7,1,1996,228,1996,NA
"8",8,1,1996,220,1996,NA
"9",9,1,1996,211,1996,NA
"10",10,1,1996,206,1996,206
"11",11,1,1996,204,1996,203
"12",12,1,1996,199,1996,199
"13",13,1,1996,197,1996,197
"14",14,1,1996,194,1996,194
"15",15,1,1996,230,1996,194.666666666667
"16",16,1,1996,511,1996,195.333333333333
"17",17,1,1996,2863,1996,196
"18",18,1,1996,6940,1996,196.666666666667
"19",19,1,1996,15110,1996,197.333333333333
"20",20,1,1996,2725,1996,198
"21",21,1,1996,1220,1996,198.666666666667
"22",22,1,1996,838,1996,199.333333333333
"23",23,1,1996,779,1996,200
"24",24,1,1996,4200,1996,200.666666666667
"25",25,1,1996,2007,1996,201.333333333333
"26",26,1,1996,1028,1996,202
"27",27,1,1996,1614,1996,202.666666666667
"28",28,1,1996,1107,1996,203.333333333333
"29",29,1,1996,703,1996,204
"30",30,1,1996,524,1996,204.666666666667
"31",31,1,1996,330,1996,205.333333333333
"32",1,2,1996,252,1996,206
"33",2,2,1996,234,1996,206.666666666667
"34",3,2,1996,223,1996,207.333333333333
"35",4,2,1996,208,1996,208
"36",5,2,1996,204,1996,203.5
"37",6,2,1996,199,1996,199
"38",7,2,1996,212,1996,205
"39",8,2,1996,457,1996,211
"40",9,2,1996,1641,1996,217
"41",10,2,1996,917,1996,223
"42",11,2,1996,800,1996,229
"43",12,2,1996,620,1996,235
"44",13,2,1996,506,1996,241
"45",14,2,1996,416,1996,247
"46",15,2,1996,364,1996,253
"47",16,2,1996,316,1996,259
"48",17,2,1996,290,1996,265
"49",18,2,1996,271,1996,271
"50",19,2,1996,434,1996,272.285714285714
"51",20,2,1996,2740,1996,273.571428571429
"52",21,2,1996,5700,1996,274.857142857143
"53",22,2,1996,2745,1996,276.142857142857
"54",23,2,1996,1458,1996,277.428571428571
"55",24,2,1996,1213,1996,278.714285714286
"56",25,2,1996,778,1996,280
"57",26,2,1996,637,1996,281.285714285714
"58",27,2,1996,595,1996,282.571428571429
"59",28,2,1996,1766,1996,283.857142857143
"60",29,2,1996,815,1996,285.142857142857
"61",1,3,1996,528,1996,286.428571428571
"62",2,3,1996,437,1996,287.714285714286
"63",3,3,1996,344,1996,289
"64",4,3,1996,336,1996,290.285714285714
"65",5,3,1996,382,1996,291.571428571429
"66",6,3,1996,358,1996,292.857142857143
"67",7,3,1996,336,1996,294.142857142857
"68",8,3,1996,324,1996,295.428571428571
"69",9,3,1996,305,1996,296.714285714286
"70",10,3,1996,298,1996,298
"71",11,3,1996,286,1996,286
"72",12,3,1996,337,1996,306.153846153846
"73",13,3,1996,587,1996,326.307692307692
"74",14,3,1996,1858,1996,346.461538461538
"75",15,3,1996,2951,1996,366.615384615385
"76",16,3,1996,1423,1996,386.769230769231
"77",17,3,1996,819,1996,406.923076923077
"78",18,3,1996,677,1996,427.076923076923
"79",19,3,1996,799,1996,447.230769230769
"80",20,3,1996,1230,1996,467.384615384615
"81",21,3,1996,1174,1996,487.538461538462
"82",22,3,1996,740,1996,507.692307692308
"83",23,3,1996,625,1996,527.846153846154
"84",24,3,1996,548,1996,548
"85",25,3,1996,1890,1996,532.9
"86",26,3,1996,2408,1996,517.8
"87",27,3,1996,732,1996,502.7
"88",28,3,1996,570,1996,487.6
"89",29,3,1996,584,1996,472.5
"90",30,3,1996,539,1996,457.4
"91",31,3,1996,493,1996,442.3
"92",1,4,1996,492,1996,427.2
"93",2,4,1996,451,1996,412.1
"94",3,4,1996,397,1996,397
"95",4,4,1996,521,1996,397.5
"96",5,4,1996,602,1996,398
"97",6,4,1996,573,1996,398.5
"98",7,4,1996,465,1996,399
"99",8,4,1996,482,1996,399.5
"100",9,4,1996,400,1996,400
"101",10,4,1996,391,1996,391
"102",11,4,1996,471,1996,401.473684210526
"103",12,4,1996,997,1996,411.947368421053
"104",13,4,1996,11740,1996,422.421052631579
"105",14,4,1996,4550,1996,432.894736842105
"106",15,4,1996,1423,1996,443.368421052632
"107",16,4,1996,1202,1996,453.842105263158
"108",17,4,1996,917,1996,464.315789473684
"109",18,4,1996,791,1996,474.789473684211
"110",19,4,1996,629,1996,485.263157894737
"111",20,4,1996,1141,1996,495.736842105263
"112",21,4,1996,969,1996,506.210526315789
"113",22,4,1996,1246,1996,516.684210526316
"114",23,4,1996,8090,1996,527.157894736842
"115",24,4,1996,5510,1996,537.631578947368
"116",25,4,1996,2067,1996,548.105263157895
"117",26,4,1996,1137,1996,558.578947368421
"118",27,4,1996,909,1996,569.052631578947
"119",28,4,1996,650,1996,579.526315789474
"120",29,4,1996,590,1996,590
"121",30,4,1996,1168,1996,572.777777777778
"122",1,5,1996,1467,1996,555.555555555556
"123",2,5,1996,1092,1996,538.333333333333
"124",3,5,1996,651,1996,521.111111111111
"125",4,5,1996,646,1996,503.888888888889
"126",5,5,1996,811,1996,486.666666666667
"127",6,5,1996,707,1996,469.444444444444
"128",7,5,1996,550,1996,452.222222222222
"129",8,5,1996,435,1996,435
"130",9,5,1996,605,1996,422.88
"131",10,5,1996,4620,1996,410.76
"132",11,5,1996,6200,1996,398.64
"133",12,5,1996,5760,1996,386.52
"134",13,5,1996,1673,1996,374.4
"135",14,5,1996,971,1996,362.28
"136",15,5,1996,698,1996,350.16
"137",16,5,1996,560,1996,338.04
"138",17,5,1996,493,1996,325.92
"139",18,5,1996,430,1996,313.8
"140",19,5,1996,373,1996,301.68
"141",20,5,1996,312,1996,289.56
"142",21,5,1996,3070,1996,277.44
"143",22,5,1996,1030,1996,265.32
"144",23,5,1996,529,1996,253.2
"145",24,5,1996,508,1996,241.08
"146",25,5,1996,358,1996,228.96
"147",26,5,1996,283,1996,216.84
"148",27,5,1996,250,1996,204.72
"149",28,5,1996,218,1996,192.6
"150",29,5,1996,194,1996,180.48
"151",30,5,1996,173,1996,168.36
"152",31,5,1996,159,1996,156.24
"153",1,6,1996,145,1996,144.12
"154",2,6,1996,132,1996,132
"155",3,6,1996,163,1996,135.733333333333
"156",4,6,1996,479,1996,139.466666666667
"157",5,6,1996,302,1996,143.2
"158",6,6,1996,210,1996,146.933333333333
"159",7,6,1996,1695,1996,150.666666666667
"160",8,6,1996,1748,1996,154.4
"161",9,6,1996,578,1996,158.133333333333
"162",10,6,1996,351,1996,161.866666666667
"163",11,6,1996,3154,1996,165.6
"164",12,6,1996,1484,1996,169.333333333333
"165",13,6,1996,618,1996,173.066666666667
"166",14,6,1996,624,1996,176.8
"167",15,6,1996,396,1996,180.533333333333
"168",16,6,1996,247,1996,184.266666666667
"169",17,6,1996,188,1996,188
"170",18,6,1996,197,1996,182.830769230769
"171",19,6,1996,492,1996,177.661538461538
"172",20,6,1996,757,1996,172.492307692308
"173",21,6,1996,767,1996,167.323076923077
"174",22,6,1996,353,1996,162.153846153846
"175",23,6,1996,238,1996,156.984615384615
"176",24,6,1996,263,1996,151.815384615385
"177",25,6,1996,376,1996,146.646153846154
"178",26,6,1996,229,1996,141.476923076923
"179",27,6,1996,161,1996,136.307692307692
"180",28,6,1996,129,1996,129
"181",29,6,1996,117,1996,117
"182",30,6,1996,247,1996,120.8
"183",1,7,1996,182,1996,115.630769230769
"184",2,7,1996,117,1996,110.461538461538
"185",3,7,1996,101,1996,101
"186",4,7,1996,136,1996,100.123076923077
"187",5,7,1996,116,1996,94.9538461538462
"188",6,7,1996,91,1996,89.7846153846154
"189",7,7,1996,77,1996,77
"190",8,7,1996,76,1996,76
"191",9,7,1996,67,1996,67
"192",10,7,1996,65,1996,65
"193",11,7,1996,62,1996,62
"194",12,7,1996,57.6,1996,57.6
"195",13,7,1996,53.6,1996,53.6
"196",14,7,1996,50.7,1996,50.7
"197",15,7,1996,146,1996,51.0666666666667
"198",16,7,1996,151,1996,51.4333333333333
"199",17,7,1996,86,1996,51.8
"200",18,7,1996,64,1996,52.1666666666667
"201",19,7,1996,179,1996,52.5333333333333
"202",20,7,1996,193,1996,52.9
"203",21,7,1996,97,1996,53.2666666666667
"204",22,7,1996,67,1996,53.6333333333333
"205",23,7,1996,54,1996,54
"206",24,7,1996,53.3,1996,52.9666666666667
"207",25,7,1996,53.6,1996,51.9333333333333
"208",26,7,1996,78.5,1996,50.9
"209",27,7,1996,82,1996,49.8666666666667
"210",28,7,1996,57.6,1996,48.8333333333333
"211",29,7,1996,47.8,1996,47.8
"212",30,7,1996,102,1996,47.5777777777778
"213",31,7,1996,481,1996,47.3555555555556
"214",1,8,1996,246,1996,47.1333333333333
"215",2,8,1996,126,1996,46.9111111111111
"216",3,8,1996,94,1996,46.6888888888889
"217",4,8,1996,80,1996,46.4666666666667
"218",5,8,1996,62,1996,46.2444444444444
"219",6,8,1996,51.1,1996,46.0222222222222
"220",7,8,1996,45.8,1996,45.8
"221",8,8,1996,52.5,1996,44.84
"222",9,8,1996,411,1996,43.88
"223",10,8,1996,190,1996,42.92
"224",11,8,1996,90.6,1996,41.96
"225",12,8,1996,64.6,1996,41
"226",13,8,1996,52.6,1996,40.04
"227",14,8,1996,47.2,1996,39.08
"228",15,8,1996,42.7,1996,38.12
"229",16,8,1996,55.8,1996,37.16
"230",17,8,1996,53.8,1996,36.2
"231",18,8,1996,46.5,1996,35.24
"232",19,8,1996,40.1,1996,34.28
"233",20,8,1996,36.5,1996,33.32
"234",21,8,1996,34.5,1996,32.36
"235",22,8,1996,32.2,1996,31.4
"236",23,8,1996,35.2,1996,30.44
"237",24,8,1996,38,1996,29.48
"238",25,8,1996,35.1,1996,28.52
"239",26,8,1996,30.4,1996,27.56
"240",27,8,1996,27.6,1996,26.6
"241",28,8,1996,26.6,1996,25.64
"242",29,8,1996,25.3,1996,24.68
"243",30,8,1996,23.7,1996,23.7
"244",31,8,1996,23.1,1996,22.76
"245",1,9,1996,21.8,1996,21.8
"246",2,9,1996,21.1,1996,21.1
"247",3,9,1996,20.9,1996,20.9
"248",4,9,1996,21.2,1996,21.2
"249",5,9,1996,22,1996,22
"250",6,9,1996,22.2,1996,22.2
"251",7,9,1996,31.2,1996,31.2
"252",8,9,1996,60.1,1996,34.3473684210526
"253",9,9,1996,69,1996,37.0368421052632
"254",10,9,1996,52.2,1996,39.7263157894737
"255",11,9,1996,38.5,1996,38.5
"256",12,9,1996,48.1,1996,45.1052631578947
"257",13,9,1996,106,1996,47.7947368421053
"258",14,9,1996,228,1996,50.4842105263158
"259",15,9,1996,335,1996,53.1736842105263
"260",16,9,1996,334,1996,55.8631578947368
"261",17,9,1996,155,1996,58.5526315789474
"262",18,9,1996,563,1996,61.2421052631579
"263",19,9,1996,240,1996,63.9315789473684
"264",20,9,1996,114,1996,66.6210526315789
"265",21,9,1996,79,1996,69.3105263157895
"266",22,9,1996,72,1996,72
"267",23,9,1996,78,1996,71.75
"268",24,9,1996,82,1996,71.5
"269",25,9,1996,112,1996,71.25
"270",26,9,1996,117,1996,71
"271",27,9,1996,116,1996,70.75
"272",28,9,1996,1866,1996,70.5
"273",29,9,1996,1596,1996,70.25
"274",30,9,1996,401,1996,70
"275",1,10,1996,205,1996,69.75
"276",2,10,1996,140,1996,69.5
"277",3,10,1996,110,1996,69.25
"278",4,10,1996,96,1996,69
"279",5,10,1996,85,1996,68.75
"280",6,10,1996,77,1996,68.5
"281",7,10,1996,73,1996,68.25
"282",8,10,1996,68,1996,68
"283",9,10,1996,69,1996,69
"284",10,10,1996,265,1996,70.6666666666667
"285",11,10,1996,369,1996,72
"286",12,10,1996,186,1996,73.3333333333333
"287",13,10,1996,131,1996,74.6666666666667
"288",14,10,1996,105,1996,76
"289",15,10,1996,95,1996,77.3333333333333
"290",16,10,1996,86,1996,78.6666666666667
"291",17,10,1996,80,1996,80
"292",18,10,1996,94,1996,94
"293",19,10,1996,3281,1996,124.4
"294",20,10,1996,4750,1996,146.6
"295",21,10,1996,1831,1996,168.8
"296",22,10,1996,1251,1996,191
"297",23,10,1996,730,1996,213.2
"298",24,10,1996,634,1996,235.4
"299",25,10,1996,622,1996,257.6
"300",26,10,1996,398,1996,279.8
"301",27,10,1996,302,1996,302
"302",28,10,1996,308,1996,299.090909090909
"303",29,10,1996,365,1996,296.181818181818
"304",30,10,1996,686,1996,293.272727272727
"305",31,10,1996,703,1996,290.363636363636
"306",1,11,1996,429,1996,287.454545454545
"307",2,11,1996,458,1996,284.545454545455
"308",3,11,1996,404,1996,281.636363636364
"309",4,11,1996,324,1996,278.727272727273
"310",5,11,1996,369,1996,275.818181818182
"311",6,11,1996,312,1996,272.909090909091
"312",7,11,1996,270,1996,270
"313",8,11,1996,5210,1996,271.882352941176
"314",9,11,1996,4130,1996,273.764705882353
"315",10,11,1996,1732,1996,275.647058823529
"316",11,11,1996,1385,1996,277.529411764706
"317",12,11,1996,903,1996,279.411764705882
"318",13,11,1996,677,1996,281.294117647059
"319",14,11,1996,605,1996,283.176470588235
"320",15,11,1996,503,1996,285.058823529412
"321",16,11,1996,459,1996,286.941176470588
"322",17,11,1996,473,1996,288.823529411765
"323",18,11,1996,963,1996,290.705882352941
"324",19,11,1996,859,1996,292.588235294118
"325",20,11,1996,563,1996,294.470588235294
"326",21,11,1996,433,1996,296.352941176471
"327",22,11,1996,362,1996,298.235294117647
"328",23,11,1996,313,1996,300.117647058824
"329",24,11,1996,302,1996,302
"330",25,11,1996,305,1996,305
"331",26,11,1996,1145,1996,328.375
"332",27,11,1996,743,1996,341.5625
"333",28,11,1996,458,1996,354.75
"334",29,11,1996,475,1996,367.9375
"335",30,11,1996,497,1996,381.125
"336",1,12,1996,3591,1996,394.3125
"337",2,12,1996,2982,1996,407.5
"338",3,12,1996,1125,1996,420.6875
"339",4,12,1996,1840,1996,433.875
"340",5,12,1996,1290,1996,447.0625
"341",6,12,1996,934,1996,460.25
"342",7,12,1996,798,1996,473.4375
"343",8,12,1996,683,1996,486.625
"344",9,12,1996,607,1996,499.8125
"345",10,12,1996,513,1996,513
"346",11,12,1996,509,1996,484.3
"347",12,12,1996,904,1996,455.6
"348",13,12,1996,1017,1996,426.9
"349",14,12,1996,802,1996,398.2
"350",15,12,1996,530,1996,369.5
"351",16,12,1996,460,1996,340.8
"352",17,12,1996,638,1996,312.1
"353",18,12,1996,531,1996,283.4
"354",19,12,1996,406,1996,254.7
"355",20,12,1996,226,1996,226
"356",21,12,1996,329,1996,225.321428571429
"357",22,12,1996,532,1996,224.642857142857
"358",23,12,1996,615,1996,223.964285714286
"359",24,12,1996,6360,1996,223.285714285714
"360",25,12,1996,1497,1996,222.607142857143
"361",26,12,1996,810,1996,221.928571428571
"362",27,12,1996,713,1996,221.25
"363",28,12,1996,1287,1996,220.571428571429
"364",29,12,1996,2175,1996,219.892857142857
"365",30,12,1996,1219,1996,219.214285714286
"366",31,12,1996,700,1996,218.535714285714
"367",1,1,1997,450,1997,217.857142857143
"368",2,1,1997,894,1997,217.178571428571
"369",3,1,1997,1853,1997,216.5
"370",4,1,1997,904,1997,215.821428571429
"371",5,1,1997,1781,1997,215.142857142857
"372",6,1,1997,1591,1997,214.464285714286
"373",7,1,1997,605,1997,213.785714285714
"374",8,1,1997,430,1997,213.107142857143
"375",9,1,1997,345,1997,212.428571428571
