"","day","month","year","flow","hyear","baseflow"
"1",1,1,1996,160,1996,NA
"2",2,1,1996,240,1996,NA
"3",3,1,1996,200,1996,NA
"4",4,1,1996,160,1996,NA
"5",5,1,1996,150,1996,NA
"6",6,1,1996,140,1996,NA
"7",7,1,1996,140,1996,NA
"8",8,1,1996,130,1996,NA
"9",9,1,1996,130,1996,NA
"10",10,1,1996,120,1996,NA
"11",11,1,1996,120,1996,NA
"12",12,1,1996,115,1996,NA
"13",13,1,1996,110,1996,NA
"14",14,1,1996,105,1996,105
"15",15,1,1996,105,1996,102.5
"16",16,1,1996,100,1996,100
"17",17,1,1996,1100,1996,101.818181818182
"18",18,1,1996,2500,1996,103.636363636364
"19",19,1,1996,5200,1996,105.454545454545
"20",20,1,1996,2400,1996,107.272727272727
"21",21,1,1996,1000,1996,109.090909090909
"22",22,1,1996,300,1996,110.909090909091
"23",23,1,1996,450,1996,112.727272727273
"24",24,1,1996,1260,1996,114.545454545455
"25",25,1,1996,649,1996,116.363636363636
"26",26,1,1996,443,1996,118.181818181818
"27",27,1,1996,1540,1996,120
"28",28,1,1996,611,1996,121.818181818182
"29",29,1,1996,402,1996,123.636363636364
"30",30,1,1996,312,1996,125.454545454545
"31",31,1,1996,270,1996,127.272727272727
"32",1,2,1996,230,1996,129.090909090909
"33",2,2,1996,200,1996,130.909090909091
"34",3,2,1996,180,1996,132.727272727273
"35",4,2,1996,170,1996,134.545454545455
"36",5,2,1996,160,1996,136.363636363636
"37",6,2,1996,150,1996,138.181818181818
"38",7,2,1996,140,1996,140
"39",8,2,1996,350,1996,137.5
"40",9,2,1996,592,1996,135
"41",10,2,1996,411,1996,132.5
"42",11,2,1996,443,1996,130
"43",12,2,1996,281,1996,127.5
"44",13,2,1996,165,1996,125
"45",14,2,1996,150,1996,122.5
"46",15,2,1996,140,1996,120
"47",16,2,1996,130,1996,117.5
"48",17,2,1996,120,1996,115
"49",18,2,1996,115,1996,112.5
"50",19,2,1996,110,1996,110
"51",20,2,1996,300,1996,135.714285714286
"52",21,2,1996,1150,1996,161.428571428571
"53",22,2,1996,922,1996,187.142857142857
"54",23,2,1996,555,1996,212.857142857143
"55",24,2,1996,468,1996,238.571428571429
"56",25,2,1996,339,1996,264.285714285714
"57",26,2,1996,290,1996,290
"58",27,2,1996,1150,1996,296.769230769231
"59",28,2,1996,2410,1996,303.538461538462
"60",29,2,1996,731,1996,310.307692307692
"61",1,3,1996,529,1996,317.076923076923
"62",2,3,1996,479,1996,323.846153846154
"63",3,3,1996,438,1996,330.615384615385
"64",4,3,1996,425,1996,337.384615384615
"65",5,3,1996,1170,1996,344.153846153846
"66",6,3,1996,1500,1996,350.923076923077
"67",7,3,1996,559,1996,357.692307692308
