"","day","month","year","flow","hyear","baseflow"
"1",1,1,1996,740,1996,NA
"2",2,1,1996,1000,1996,NA
"3",3,1,1996,900,1996,NA
"4",4,1,1996,820,1996,NA
"5",5,1,1996,760,1996,NA
"6",6,1,1996,710,1996,NA
"7",7,1,1996,680,1996,NA
"8",8,1,1996,640,1996,NA
"9",9,1,1996,620,1996,NA
"10",10,1,1996,600,1996,NA
"11",11,1,1996,580,1996,NA
"12",12,1,1996,560,1996,NA
"13",13,1,1996,540,1996,NA
"14",14,1,1996,520,1996,NA
"15",15,1,1996,500,1996,500
"16",16,1,1996,1400,1996,508.695652173913
"17",17,1,1996,3500,1996,517.391304347826
"18",18,1,1996,6400,1996,526.086956521739
"19",19,1,1996,8500,1996,534.782608695652
"20",20,1,1996,6000,1996,543.478260869565
"21",21,1,1996,4500,1996,552.173913043478
"22",22,1,1996,4200,1996,560.869565217391
"23",23,1,1996,4000,1996,569.565217391304
"24",24,1,1996,5400,1996,578.260869565217
"25",25,1,1996,4200,1996,586.95652173913
"26",26,1,1996,3500,1996,595.652173913043
"27",27,1,1996,5200,1996,604.347826086957
"28",28,1,1996,4000,1996,613.04347826087
"29",29,1,1996,3100,1996,621.739130434783
"30",30,1,1996,2400,1996,630.434782608696
"31",31,1,1996,1800,1996,639.130434782609
"32",1,2,1996,1500,1996,647.826086956522
"33",2,2,1996,1200,1996,656.521739130435
"34",3,2,1996,1000,1996,665.217391304348
"35",4,2,1996,900,1996,673.913043478261
"36",5,2,1996,760,1996,682.608695652174
"37",6,2,1996,720,1996,691.304347826087
"38",7,2,1996,700,1996,700
"39",8,2,1996,1000,1996,700
"40",9,2,1996,1500,1996,700
"41",10,2,1996,1100,1996,700
"42",11,2,1996,1300,1996,700
"43",12,2,1996,1500,1996,700
"44",13,2,1996,1200,1996,700
"45",14,2,1996,1000,1996,700
"46",15,2,1996,920,1996,700
"47",16,2,1996,850,1996,700
"48",17,2,1996,780,1996,700
"49",18,2,1996,720,1996,700
"50",19,2,1996,700,1996,700
"51",20,2,1996,1200,1996,721.666666666667
"52",21,2,1996,3700,1996,743.333333333333
"53",22,2,1996,3300,1996,765
"54",23,2,1996,3000,1996,786.666666666667
"55",24,2,1996,2800,1996,808.333333333333
"56",25,2,1996,2600,1996,830
"57",26,2,1996,2500,1996,851.666666666667
"58",27,2,1996,3500,1996,873.333333333333
"59",28,2,1996,5000,1996,895
"60",29,2,1996,8000,1996,916.666666666667
"61",1,3,1996,5600,1996,938.333333333333
"62",2,3,1996,4000,1996,960
"63",3,3,1996,3300,1996,981.666666666667
"64",4,3,1996,3000,1996,1003.33333333333
"65",5,3,1996,5000,1996,1025
"66",6,3,1996,6400,1996,1046.66666666667
"67",7,3,1996,4500,1996,1068.33333333333
"68",8,3,1996,2500,1996,1090
"69",9,3,1996,1720,1996,1111.66666666667
"70",10,3,1996,1600,1996,1133.33333333333
"71",11,3,1996,1650,1996,1155
"72",12,3,1996,1540,1996,1176.66666666667
"73",13,3,1996,1410,1996,1198.33333333333
"74",14,3,1996,1220,1996,1220
"75",15,3,1996,1560,1996,1230
