"","day","month","year","flow","hyear","baseflow"
"1",1,1,1996,NA,1996,NA
"2",2,1,1996,62.8571425,1996,NA
"3",3,1,1996,61.4285725,1996,NA
"4",4,1,1996,59.9999982142857,1996,NA
"5",5,1,1996,58.9285707142857,1996,NA
"6",6,1,1996,57.5000003571429,1996,NA
"7",7,1,1996,56.0714303571429,1996,NA
"8",8,1,1996,54.9999985714286,1996,54.9999985714286
"9",9,1,1996,56.7857153571429,1996,55.1428555714286
"10",10,1,1996,57.5000003571429,1996,55.2857125714286
"11",11,1,1996,56.4285728571429,1996,55.4285695714286
"12",12,1,1996,56.0714303571429,1996,55.5714265714286
"13",13,1,1996,55.7142835714286,1996,55.7142835714286
"14",14,1,1996,56.7857153571429,1996,56.7857153571429
"15",15,1,1996,56.4285728571429,1996,56.4285728571429
"16",16,1,1996,64.2857125,1996,61.2662321590909
"17",17,1,1996,367.85715,1996,63.1168816883117
"18",18,1,1996,276.785714285714,1996,64.9675312175325
"19",19,1,1996,421.428578571429,1996,66.8181807467532
"20",20,1,1996,357.142857142857,1996,68.668830275974
"21",21,1,1996,241.071428571429,1996,70.5194798051948
"22",22,1,1996,142.857142857143,1996,72.3701293344156
"23",23,1,1996,178.571428571429,1996,74.2207788636364
"24",24,1,1996,241.071428571429,1996,76.0714283928571
"25",25,1,1996,207.142863928571,1996,77.9220779220779
"26",26,1,1996,157.142860714286,1996,79.7727274512987
"27",27,1,1996,232.142857142857,1996,81.6233769805195
"28",28,1,1996,210.714289285714,1996,83.4740265097402
"29",29,1,1996,178.571428571429,1996,85.324676038961
"30",30,1,1996,149.999993214286,1996,87.1753255681818
"31",31,1,1996,128.571425,1996,89.0259750974026
"32",1,2,1996,117.857141071429,1996,90.8766246266234
"33",2,2,1996,107.142857142857,1996,92.7272741558441
"34",3,2,1996,99.9999982142857,1996,94.5779236850649
"35",4,2,1996,96.4285732142857,1996,96.4285732142857
"36",5,2,1996,92.8571392857143,1996,92.8571392857143
"37",6,2,1996,92.1428542857143,1996,92.1428542857143
"38",7,2,1996,92.8571392857143,1996,90.1373600549451
"39",8,2,1996,135.714283928571,1996,88.1318658241758
"40",9,2,1996,199.999996428571,1996,86.1263715934066
"41",10,2,1996,285.714285714286,1996,84.1208773626374
"42",11,2,1996,139.285717857143,1996,82.1153831318681
"43",12,2,1996,107.142857142857,1996,80.1098889010989
"44",13,2,1996,95.0000032142857,1996,78.1043946703297
"45",14,2,1996,87.5000017857143,1996,76.0989004395605
"46",15,2,1996,82.1428553571429,1996,74.0934062087912
"47",16,2,1996,76.7857178571429,1996,72.087911978022
"48",17,2,1996,72.1428564285714,1996,70.0824177472527
"49",18,2,1996,69.6428589285714,1996,68.0769235164835
"50",19,2,1996,66.0714292857143,1996,66.0714292857143
"51",20,2,1996,107.142857142857,1996,64.6904768095238
"52",21,2,1996,250,1996,63.3095243333333
"53",22,2,1996,207.142863928571,1996,61.9285718571429
"54",23,2,1996,171.428578214286,1996,60.5476193809524
"55",24,2,1996,164.285710714286,1996,59.1666669047619
"56",25,2,1996,128.571425,1996,57.7857144285714
"57",26,2,1996,118.571426071429,1996,56.404761952381
"58",27,2,1996,114.285716071429,1996,55.0238094761905
"59",28,2,1996,142.857142857143,1996,53.642857
"60",29,2,1996,125,1996,52.2619045238095
"61",1,3,1996,103.571432142857,1996,50.880952047619
"62",2,3,1996,93.5714246428571,1996,49.4999995714286
"63",3,3,1996,89.2857142857143,1996,48.1190470952381
"64",4,3,1996,60.7142875,1996,46.7380946190476
"65",5,3,1996,45.3571421428571,1996,45.3571421428571
"66",6,3,1996,42.1428553571429,1996,42.1428553571429
"67",7,3,1996,49.9999992857143,1996,42.579363343254
"68",8,3,1996,107.142857142857,1996,43.0158713293651
"69",9,3,1996,64.2857125,1996,43.4523793154762
"70",10,3,1996,55.3571410714286,1996,43.8888873015873
"71",11,3,1996,57.8571428571429,1996,44.3253952876984
"72",12,3,1996,54.2857135714286,1996,44.7619032738095
