"","day","month","year","flow","hyear","baseflow"
"1",1,1,1996,275,1996,NA
"2",2,1,1996,270,1996,NA
"3",3,1,1996,270,1996,NA
"4",4,1,1996,265,1996,NA
"5",5,1,1996,265,1996,NA
"6",6,1,1996,260,1996,NA
"7",7,1,1996,260,1996,NA
"8",8,1,1996,255,1996,255
"9",9,1,1996,255,1996,252.857142857143
"10",10,1,1996,255,1996,250.714285714286
"11",11,1,1996,255,1996,248.571428571429
"12",12,1,1996,250,1996,246.428571428571
"13",13,1,1996,250,1996,244.285714285714
"14",14,1,1996,245,1996,242.142857142857
"15",15,1,1996,240,1996,240
"16",16,1,1996,270,1996,242.5
"17",17,1,1996,340,1996,245
"18",18,1,1996,660,1996,247.5
"19",19,1,1996,1680,1996,250
"20",20,1,1996,1750,1996,252.5
"21",21,1,1996,1700,1996,255
"22",22,1,1996,1650,1996,257.5
"23",23,1,1996,1420,1996,260
"24",24,1,1996,1570,1996,262.5
"25",25,1,1996,1500,1996,265
"26",26,1,1996,1420,1996,267.5
"27",27,1,1996,1440,1996,270
"28",28,1,1996,1300,1996,272.5
"29",29,1,1996,1100,1996,275
"30",30,1,1996,950,1996,277.5
"31",31,1,1996,820,1996,280
"32",1,2,1996,730,1996,282.5
"33",2,2,1996,630,1996,285
"34",3,2,1996,540,1996,287.5
"35",4,2,1996,470,1996,290
"36",5,2,1996,400,1996,292.5
"37",6,2,1996,350,1996,295
"38",7,2,1996,320,1996,297.5
"39",8,2,1996,300,1996,300
"40",9,2,1996,310,1996,310
"41",10,2,1996,330,1996,330
"42",11,2,1996,500,1996,326.666666666667
"43",12,2,1996,580,1996,323.333333333333
"44",13,2,1996,550,1996,320
"45",14,2,1996,450,1996,316.666666666667
"46",15,2,1996,400,1996,313.333333333333
"47",16,2,1996,370,1996,310
"48",17,2,1996,340,1996,306.666666666667
"49",18,2,1996,320,1996,303.333333333333
"50",19,2,1996,300,1996,300
"51",20,2,1996,293,1996,293
"52",21,2,1996,358,1996,305.473684210526
"53",22,2,1996,490,1996,317.947368421053
"54",23,2,1996,546,1996,330.421052631579
"55",24,2,1996,602,1996,342.894736842105
"56",25,2,1996,627,1996,355.368421052632
"57",26,2,1996,659,1996,367.842105263158
"58",27,2,1996,1360,1996,380.315789473684
"59",28,2,1996,2890,1996,392.789473684211
"60",29,2,1996,2430,1996,405.263157894737
"61",1,3,1996,2360,1996,417.736842105263
"62",2,3,1996,2060,1996,430.210526315789
"63",3,3,1996,1300,1996,442.684210526316
"64",4,3,1996,800,1996,455.157894736842
"65",5,3,1996,750,1996,467.631578947368
