"","day","month","year","flow","hyear","baseflow"
"1",1,1,1996,110,1996,NA
"2",2,1,1996,150,1996,NA
"3",3,1,1996,190,1996,NA
"4",4,1,1996,250,1996,NA
"5",5,1,1996,200,1996,NA
"6",6,1,1996,160,1996,NA
"7",7,1,1996,150,1996,NA
"8",8,1,1996,130,1996,NA
"9",9,1,1996,120,1996,NA
"10",10,1,1996,115,1996,NA
"11",11,1,1996,105,1996,NA
"12",12,1,1996,100,1996,NA
"13",13,1,1996,94,1996,NA
"14",14,1,1996,88,1996,NA
"15",15,1,1996,84,1996,84
"16",16,1,1996,90,1996,90
"17",17,1,1996,500,1996,94.5454545454545
"18",18,1,1996,3000,1996,99.0909090909091
"19",19,1,1996,15700,1996,103.636363636364
"20",20,1,1996,13000,1996,108.181818181818
"21",21,1,1996,11000,1996,112.727272727273
"22",22,1,1996,9650,1996,117.272727272727
"23",23,1,1996,4430,1996,121.818181818182
"24",24,1,1996,4780,1996,126.363636363636
"25",25,1,1996,5600,1996,130.909090909091
"26",26,1,1996,4300,1996,135.454545454545
"27",27,1,1996,2600,1996,140
"28",28,1,1996,1900,1996,144.545454545455
"29",29,1,1996,1400,1996,149.090909090909
"30",30,1,1996,1000,1996,153.636363636364
"31",31,1,1996,700,1996,158.181818181818
"32",1,2,1996,560,1996,162.727272727273
"33",2,2,1996,450,1996,167.272727272727
"34",3,2,1996,370,1996,171.818181818182
"35",4,2,1996,300,1996,176.363636363636
"36",5,2,1996,250,1996,180.909090909091
"37",6,2,1996,220,1996,185.454545454545
"38",7,2,1996,190,1996,190
"39",8,2,1996,350,1996,197.5
"40",9,2,1996,560,1996,205
"41",10,2,1996,640,1996,212.5
"42",11,2,1996,740,1996,220
"43",12,2,1996,880,1996,227.5
"44",13,2,1996,700,1996,235
"45",14,2,1996,510,1996,242.5
"46",15,2,1996,400,1996,250
"47",16,2,1996,350,1996,257.5
"48",17,2,1996,320,1996,265
"49",18,2,1996,300,1996,272.5
"50",19,2,1996,280,1996,280
"51",20,2,1996,270,1996,270
"52",21,2,1996,260,1996,260
"53",22,2,1996,500,1996,308.538461538462
"54",23,2,1996,1380,1996,357.076923076923
"55",24,2,1996,1220,1996,405.615384615385
"56",25,2,1996,1270,1996,454.153846153846
"57",26,2,1996,1190,1996,502.692307692308
"58",27,2,1996,4210,1996,551.230769230769
"59",28,2,1996,14300,1996,599.769230769231
"60",29,2,1996,11100,1996,648.307692307692
"61",1,3,1996,8130,1996,696.846153846154
"62",2,3,1996,4420,1996,745.384615384615
"63",3,3,1996,1740,1996,793.923076923077
"64",4,3,1996,1070,1996,842.461538461538
"65",5,3,1996,891,1996,891
"66",6,3,1996,2030,1996,858.25
"67",7,3,1996,2300,1996,825.5
"68",8,3,1996,2000,1996,792.75
"69",9,3,1996,1300,1996,760
"70",10,3,1996,920,1996,727.25
"71",11,3,1996,750,1996,694.5
"72",12,3,1996,660,1996,660
"73",13,3,1996,629,1996,629
"74",14,3,1996,687,1996,623.125
"75",15,3,1996,1010,1996,617.25
"76",16,3,1996,1300,1996,611.375
"77",17,3,1996,1160,1996,605.5
"78",18,3,1996,931,1996,599.625
"79",19,3,1996,825,1996,593.75
"80",20,3,1996,5680,1996,587.875
"81",21,3,1996,7000,1996,582
"82",22,3,1996,5560,1996,576.125
"83",23,3,1996,4090,1996,570.25
"84",24,3,1996,3920,1996,564.375
"85",25,3,1996,5200,1996,558.5
"86",26,3,1996,3680,1996,552.625
"87",27,3,1996,2260,1996,546.75
"88",28,3,1996,1430,1996,540.875
"89",29,3,1996,1060,1996,535
"90",30,3,1996,894,1996,529.125
"91",31,3,1996,803,1996,523.25
"92",1,4,1996,878,1996,517.375
"93",2,4,1996,1620,1996,511.5
"94",3,4,1996,3120,1996,505.625
"95",4,4,1996,2230,1996,499.75
"96",5,4,1996,1470,1996,493.875
"97",6,4,1996,1040,1996,488
"98",7,4,1996,859,1996,482.125
"99",8,4,1996,738,1996,476.25
"100",9,4,1996,641,1996,470.375
"101",10,4,1996,566,1996,464.5
"102",11,4,1996,503,1996,458.625
"103",12,4,1996,468,1996,452.75
"104",13,4,1996,449,1996,446.875
"105",14,4,1996,441,1996,441
"106",15,4,1996,434,1996,434
"107",16,4,1996,442,1996,442
"108",17,4,1996,462,1996,462
"109",18,4,1996,506,1996,506
"110",19,4,1996,557,1996,557
"111",20,4,1996,587,1996,587
"112",21,4,1996,722,1996,722
"113",22,4,1996,962,1996,962
"114",23,4,1996,4170,1996,1140.4
"115",24,4,1996,11700,1996,1228.7
"116",25,4,1996,9560,1996,1317
"117",26,4,1996,8570,1996,1405.3
"118",27,4,1996,5170,1996,1493.6
"119",28,4,1996,2290,1996,1581.9
"120",29,4,1996,1660,1996,1660
"121",30,4,1996,6560,1996,1758.5
"122",1,5,1996,9550,1996,1846.8
"123",2,5,1996,8320,1996,1935.1
"124",3,5,1996,5920,1996,2023.4
"125",4,5,1996,3010,1996,2111.7
"126",5,5,1996,2200,1996,2200
"127",6,5,1996,2250,1996,2115.47368421053
"128",7,5,1996,2570,1996,2030.94736842105
"129",8,5,1996,2270,1996,1946.42105263158
"130",9,5,1996,2410,1996,1861.89473684211
"131",10,5,1996,6200,1996,1777.36842105263
"132",11,5,1996,11300,1996,1692.84210526316
"133",12,5,1996,10200,1996,1608.31578947368
"134",13,5,1996,6770,1996,1523.78947368421
"135",14,5,1996,3880,1996,1439.26315789474
"136",15,5,1996,2100,1996,1354.73684210526
"137",16,5,1996,1690,1996,1270.21052631579
"138",17,5,1996,4280,1996,1185.68421052632
"139",18,5,1996,4030,1996,1101.15789473684
"140",19,5,1996,2460,1996,1016.63157894737
"141",20,5,1996,1540,1996,932.105263157895
"142",21,5,1996,1100,1996,847.578947368421
"143",22,5,1996,840,1996,763.052631578947
"144",23,5,1996,688,1996,678.526315789474
"145",24,5,1996,594,1996,594
"146",25,5,1996,540,1996,540
"147",26,5,1996,544,1996,544
"148",27,5,1996,892,1996,550.888888888889
"149",28,5,1996,958,1996,556.333333333333
"150",29,5,1996,1590,1996,561.777777777778
"151",30,5,1996,2210,1996,567.222222222222
"152",31,5,1996,2110,1996,572.666666666667
"153",1,6,1996,1200,1996,578.111111111111
"154",2,6,1996,726,1996,583.555555555556
"155",3,6,1996,589,1996,589
"156",4,6,1996,653,1996,653
"157",5,6,1996,2130,1996,645.923076923077
"158",6,6,1996,2730,1996,638.846153846154
"159",7,6,1996,4900,1996,631.769230769231
"160",8,6,1996,7310,1996,624.692307692308
"161",9,6,1996,5210,1996,617.615384615385
"162",10,6,1996,3530,1996,610.538461538462
"163",11,6,1996,2290,1996,603.461538461538
"164",12,6,1996,1640,1996,596.384615384615
"165",13,6,1996,1280,1996,589.307692307692
"166",14,6,1996,1110,1996,582.230769230769
"167",15,6,1996,947,1996,575.153846153846
"168",16,6,1996,689,1996,568.076923076923
"169",17,6,1996,561,1996,561
"170",18,6,1996,756,1996,542.961538461538
"171",19,6,1996,1200,1996,524.923076923077
"172",20,6,1996,1040,1996,506.884615384615
