,Date,"Flow, CFS"
0,1996-01-01,204.0
1,1996-01-02,198.0
2,1996-01-03,189.0
3,1996-01-04,190.0
4,1996-01-05,216.0
5,1996-01-06,240.0
6,1996-01-07,228.0
7,1996-01-08,220.0
8,1996-01-09,211.0
9,1996-01-10,206.0
10,1996-01-11,204.0
11,1996-01-12,199.0
12,1996-01-13,197.0
13,1996-01-14,194.0
14,1996-01-15,230.0
15,1996-01-16,511.0
16,1996-01-17,2863.0
17,1996-01-18,6940.0
18,1996-01-19,15110.0
19,1996-01-20,2725.0
20,1996-01-21,1220.0
21,1996-01-22,838.0
22,1996-01-23,779.0
23,1996-01-24,4200.0
24,1996-01-25,2007.0
25,1996-01-26,1028.0
26,1996-01-27,1614.0
27,1996-01-28,1107.0
28,1996-01-29,703.0
29,1996-01-30,524.0
30,1996-01-31,330.0
31,1996-02-01,252.0
32,1996-02-02,234.0
33,1996-02-03,223.0
34,1996-02-04,208.0
35,1996-02-05,204.0
36,1996-02-06,199.0
37,1996-02-07,212.0
38,1996-02-08,457.0
39,1996-02-09,1641.0
40,1996-02-10,917.0
41,1996-02-11,800.0
42,1996-02-12,620.0
43,1996-02-13,506.0
44,1996-02-14,416.0
45,1996-02-15,364.0
46,1996-02-16,316.0
47,1996-02-17,290.0
48,1996-02-18,271.0
49,1996-02-19,434.0
50,1996-02-20,2740.0
51,1996-02-21,5700.0
52,1996-02-22,2745.0
53,1996-02-23,1458.0
54,1996-02-24,1213.0
55,1996-02-25,778.0
56,1996-02-26,637.0
57,1996-02-27,595.0
58,1996-02-28,1766.0
59,1996-02-29,815.0
60,1996-03-01,528.0
61,1996-03-02,437.0
62,1996-03-03,344.0
63,1996-03-04,336.0
64,1996-03-05,382.0
65,1996-03-06,358.0
66,1996-03-07,336.0
67,1996-03-08,324.0
68,1996-03-09,305.0
69,1996-03-10,298.0
70,1996-03-11,286.0
71,1996-03-12,337.0
72,1996-03-13,587.0
73,1996-03-14,1858.0
74,1996-03-15,2951.0
75,1996-03-16,1423.0
76,1996-03-17,819.0
77,1996-03-18,677.0
78,1996-03-19,799.0
79,1996-03-20,1230.0
80,1996-03-21,1174.0
81,1996-03-22,740.0
82,1996-03-23,625.0
83,1996-03-24,548.0
84,1996-03-25,1890.0
85,1996-03-26,2408.0
86,1996-03-27,732.0
87,1996-03-28,570.0
88,1996-03-29,584.0
89,1996-03-30,539.0
90,1996-03-31,493.0
91,1996-04-01,492.0
92,1996-04-02,451.0
93,1996-04-03,397.0
94,1996-04-04,521.0
95,1996-04-05,602.0
96,1996-04-06,573.0
97,1996-04-07,465.0
98,1996-04-08,482.0
99,1996-04-09,400.0
100,1996-04-10,391.0
101,1996-04-11,471.0
102,1996-04-12,997.0
103,1996-04-13,11740.0
104,1996-04-14,4550.0
105,1996-04-15,1423.0
106,1996-04-16,1202.0
107,1996-04-17,917.0
108,1996-04-18,791.0
109,1996-04-19,629.0
110,1996-04-20,1141.0
111,1996-04-21,969.0
112,1996-04-22,1246.0
113,1996-04-23,8090.0
114,1996-04-24,5510.0
115,1996-04-25,2067.0
116,1996-04-26,1137.0
117,1996-04-27,909.0
118,1996-04-28,650.0
119,1996-04-29,590.0
120,1996-04-30,1168.0
121,1996-05-01,1467.0
122,1996-05-02,1092.0
123,1996-05-03,651.0
124,1996-05-04,646.0
125,1996-05-05,811.0
126,1996-05-06,707.0
127,1996-05-07,550.0
128,1996-05-08,435.0
129,1996-05-09,605.0
130,1996-05-10,4620.0
131,1996-05-11,6200.0
132,1996-05-12,5760.0
133,1996-05-13,1673.0
134,1996-05-14,971.0
135,1996-05-15,698.0
136,1996-05-16,560.0
137,1996-05-17,493.0
138,1996-05-18,430.0
139,1996-05-19,373.0
140,1996-05-20,312.0
141,1996-05-21,3070.0
142,1996-05-22,1030.0
143,1996-05-23,529.0
144,1996-05-24,508.0
145,1996-05-25,358.0
146,1996-05-26,283.0
147,1996-05-27,250.0
148,1996-05-28,218.0
149,1996-05-29,194.0
150,1996-05-30,173.0
151,1996-05-31,159.0
152,1996-06-01,145.0
153,1996-06-02,132.0
154,1996-06-03,163.0
155,1996-06-04,479.0
156,1996-06-05,302.0
157,1996-06-06,210.0
158,1996-06-07,1695.0
159,1996-06-08,1748.0
160,1996-06-09,578.0
161,1996-06-10,351.0
162,1996-06-11,3154.0
163,1996-06-12,1484.0
164,1996-06-13,618.0
165,1996-06-14,624.0
166,1996-06-15,396.0
167,1996-06-16,247.0
168,1996-06-17,188.0
169,1996-06-18,197.0
170,1996-06-19,492.0
171,1996-06-20,757.0
172,1996-06-21,767.0
173,1996-06-22,353.0
174,1996-06-23,238.0
175,1996-06-24,263.0
176,1996-06-25,376.0
177,1996-06-26,229.0
178,1996-06-27,161.0
179,1996-06-28,129.0
180,1996-06-29,117.0
181,1996-06-30,247.0
