,Date,"Flow, CFS"
0,1996-01-01,110.0
1,1996-01-02,150.0
2,1996-01-03,190.0
3,1996-01-04,250.0
4,1996-01-05,200.0
5,1996-01-06,160.0
6,1996-01-07,150.0
7,1996-01-08,130.0
8,1996-01-09,120.0
9,1996-01-10,115.0
10,1996-01-11,105.0
11,1996-01-12,100.0
12,1996-01-13,94.0
13,1996-01-14,88.0
14,1996-01-15,84.0
15,1996-01-16,90.0
16,1996-01-17,500.0
17,1996-01-18,3000.0
18,1996-01-19,15700.0
19,1996-01-20,13000.0
20,1996-01-21,11000.0
21,1996-01-22,9650.0
22,1996-01-23,4430.0
23,1996-01-24,4780.0
24,1996-01-25,5600.0
25,1996-01-26,4300.0
26,1996-01-27,2600.0
27,1996-01-28,1900.0
28,1996-01-29,1400.0
29,1996-01-30,1000.0
30,1996-01-31,700.0
31,1996-02-01,560.0
32,1996-02-02,450.0
33,1996-02-03,370.0
34,1996-02-04,300.0
35,1996-02-05,250.0
36,1996-02-06,220.0
37,1996-02-07,190.0
38,1996-02-08,350.0
39,1996-02-09,560.0
40,1996-02-10,640.0
41,1996-02-11,740.0
42,1996-02-12,880.0
43,1996-02-13,700.0
44,1996-02-14,510.0
45,1996-02-15,400.0
46,1996-02-16,350.0
47,1996-02-17,320.0
48,1996-02-18,300.0
49,1996-02-19,280.0
50,1996-02-20,270.0
51,1996-02-21,260.0
52,1996-02-22,500.0
53,1996-02-23,1380.0
54,1996-02-24,1220.0
55,1996-02-25,1270.0
56,1996-02-26,1190.0
57,1996-02-27,4210.0
58,1996-02-28,14300.0
59,1996-02-29,11100.0
60,1996-03-01,8130.0
61,1996-03-02,4420.0
62,1996-03-03,1740.0
63,1996-03-04,1070.0
64,1996-03-05,891.0
65,1996-03-06,2030.0
66,1996-03-07,2300.0
67,1996-03-08,2000.0
68,1996-03-09,1300.0
69,1996-03-10,920.0
70,1996-03-11,750.0
71,1996-03-12,660.0
72,1996-03-13,629.0
73,1996-03-14,687.0
74,1996-03-15,1010.0
75,1996-03-16,1300.0
76,1996-03-17,1160.0
77,1996-03-18,931.0
78,1996-03-19,825.0
79,1996-03-20,5680.0
80,1996-03-21,7000.0
81,1996-03-22,5560.0
82,1996-03-23,4090.0
83,1996-03-24,3920.0
84,1996-03-25,5200.0
85,1996-03-26,3680.0
86,1996-03-27,2260.0
87,1996-03-28,1430.0
88,1996-03-29,1060.0
89,1996-03-30,894.0
90,1996-03-31,803.0
91,1996-04-01,878.0
92,1996-04-02,1620.0
93,1996-04-03,3120.0
94,1996-04-04,2230.0
95,1996-04-05,1470.0
96,1996-04-06,1040.0
97,1996-04-07,859.0
98,1996-04-08,738.0
99,1996-04-09,641.0
100,1996-04-10,566.0
101,1996-04-11,503.0
102,1996-04-12,468.0
103,1996-04-13,449.0
104,1996-04-14,441.0
105,1996-04-15,434.0
106,1996-04-16,442.0
107,1996-04-17,462.0
108,1996-04-18,506.0
109,1996-04-19,557.0
110,1996-04-20,587.0
111,1996-04-21,722.0
112,1996-04-22,962.0
113,1996-04-23,4170.0
114,1996-04-24,11700.0
115,1996-04-25,9560.0
116,1996-04-26,8570.0
117,1996-04-27,5170.0
118,1996-04-28,2290.0
119,1996-04-29,1660.0
120,1996-04-30,6560.0
121,1996-05-01,9550.0
122,1996-05-02,8320.0
123,1996-05-03,5920.0
124,1996-05-04,3010.0
125,1996-05-05,2200.0
126,1996-05-06,2250.0
127,1996-05-07,2570.0
128,1996-05-08,2270.0
129,1996-05-09,2410.0
130,1996-05-10,6200.0
131,1996-05-11,11300.0
132,1996-05-12,10200.0
133,1996-05-13,6770.0
134,1996-05-14,3880.0
135,1996-05-15,2100.0
136,1996-05-16,1690.0
137,1996-05-17,4280.0
138,1996-05-18,4030.0
139,1996-05-19,2460.0
140,1996-05-20,1540.0
141,1996-05-21,1100.0
142,1996-05-22,840.0
143,1996-05-23,688.0
144,1996-05-24,594.0
145,1996-05-25,540.0
146,1996-05-26,544.0
147,1996-05-27,892.0
148,1996-05-28,958.0
149,1996-05-29,1590.0
150,1996-05-30,2210.0
151,1996-05-31,2110.0
152,1996-06-01,1200.0
153,1996-06-02,726.0
154,1996-06-03,589.0
155,1996-06-04,653.0
156,1996-06-05,2130.0
157,1996-06-06,2730.0
158,1996-06-07,4900.0
159,1996-06-08,7310.0
160,1996-06-09,5210.0
161,1996-06-10,3530.0
162,1996-06-11,2290.0
163,1996-06-12,1640.0
164,1996-06-13,1280.0
165,1996-06-14,1110.0
166,1996-06-15,947.0
167,1996-06-16,689.0
