,Year,Month,mean
0,1983,4,15.50769230769231
1,1983,5,15.299999999999997
2,1983,8,14.46851851851852
3,1983,10,14.799999999999999
4,1984,4,14.415999999999999
5,1984,5,15.05384615384615
6,1984,8,15.044642857142858
7,1984,12,14.869444444444447
8,1985,4,14.681466666666669
9,1985,8,14.63115107913669
10,1985,11,14.65602941176471
11,1986,4,14.847031249999999
12,1986,8,14.156166666666667
13,1987,4,14.035
14,1987,7,14.256140350877194
15,1987,8,14.011864406779662
16,1988,4,13.87049180327869
17,1988,8,14.574137931034484
18,1989,8,13.821008403361347
19,1990,4,14.138709677419357
20,1990,8,14.232758620689655
21,1991,4,14.83225806451613
22,1991,8,14.446610169491526
23,1992,4,14.412903225806453
24,1993,4,14.65
25,1996,4,14.622860215053763
26,1996,8,14.465388888888889
27,1997,4,14.582724137931036
28,1997,8,14.440876923076923
29,1998,4,14.306434782608695
30,1998,8,14.556944444444444
31,1999,3,14.834042553191491
32,1999,8,14.906278048780486
33,2000,4,15.723478260869564
34,2000,8,15.10986842105263
35,2001,4,15.694421260869564
36,2001,8,16.387870225
37,2002,4,16.09753804347826
38,2002,8,15.859921451612903
39,2003,4,15.03866227272727
40,2003,8,16.014014578125
41,2004,4,16.313738073170732
42,2004,8,16.66970412244898
43,2005,4,16.94901617741936
44,2005,8,17.07501818181818
45,2006,4,17.964333333333332
46,2006,8,17.16943859649123
47,2007,4,17.22936956521739
48,2007,8,16.803520833333334
49,2008,4,16.68108888888889
50,2008,8,17.76441818181818
51,2009,4,17.08076086956522
52,2009,8,16.6178431372549
53,2010,4,16.025586956521735
54,2010,8,16.043490909090906
55,2011,4,16.16206976744186
56,2011,8,16.450836363636363
57,2012,4,17.418023255813953
58,2012,8,16.783717391304346
59,2013,4,17.302976744186047
60,2013,8,16.450644444444446
61,2014,4,16.70644186046512
62,2014,8,17.407192307692306
63,2015,4,17.767906976744182
64,2015,8,17.538907407407407
65,2016,4,16.950139534883714
66,2016,8,16.652000000000005
67,2017,4,16.482953488372093
