year,month,count,mean,std,min,25%,50%,75%,max
1986,5,19.0,0.04448947368421053,0.06683628334916464,0.006,0.01385,0.0211,0.0264,0.262
1994,4,80.0,0.015131249999999995,0.029931967559150285,0.0002,0.004050000000000001,0.00885,0.0129,0.205
1994,7,210.0,0.007834761904761907,0.004500205331889183,0.0002,0.0054,0.0066,0.009125,0.0336
1994,10,94.0,0.012139361702127658,0.01419510151830823,0.0002,0.0041,0.007350000000000001,0.01705,0.1118
1995,4,81.0,0.009848148148148148,0.008046445039753752,0.0002,0.0067,0.0094,0.0108,0.0452
1995,8,217.0,0.0072506912442396295,0.004653215931100852,0.0002,0.0048,0.0062,0.0084,0.0336
1995,10,153.0,0.016873202614379083,0.011540706026792087,0.0002,0.0064,0.018,0.0241,0.0552
1998,4,83.0,0.018213253012048184,0.027111809015064832,0.0002,0.00635,0.0135,0.0185,0.1521
1998,7,218.0,0.008959174311926608,0.006781781861259984,0.0002,0.0051,0.0071,0.010275,0.0413
2000,4,63.0,0.01097301587301587,0.011594592821366878,0.0002,0.00425,0.0072,0.0155,0.0615
2000,9,189.0,0.013737566137566137,0.014954541628595662,0.0002,0.0072,0.0101,0.0147,0.102
2002,4,83.0,0.018528915662650604,0.024016973317769648,0.0002,0.01035,0.0135,0.0201,0.132
2002,8,218.0,0.010005045871559638,0.006117250839387534,0.0002,0.0068,0.00865,0.0115,0.0346
2004,4,68.0,0.011880882352941172,0.009564240884014013,0.0005,0.0085,0.01185,0.014025000000000001,0.0498
2004,8,167.0,0.011082634730538927,0.008572145856356034,0.0005,0.0066,0.0078,0.01295,0.0605
2006,4,88.0,0.00992159090909091,0.007960396929738923,0.0005,0.004425,0.0094,0.012875000000000001,0.035
2006,8,116.0,0.011683620689655172,0.00951775406431505,0.0005,0.0071,0.0091,0.01195,0.0634
2007,4,86.0,0.014574418604651156,0.012772647116548904,0.0005,0.009225,0.0116,0.015075,0.0814
2009,4,85.0,0.01875058823529411,0.030357303285125644,0.0005,0.0012,0.0097,0.0162,0.162
2009,7,135.0,0.009537777777777784,0.005931170716616723,0.0005,0.0059,0.0083,0.0115,0.0312
2010,7,105.0,0.011272380952380949,0.012182265603659087,0.0005,0.007,0.0084,0.0123,0.114
2012,5,172.0,0.012107558139534876,0.0105648153158216,0.0005,0.0074,0.00975,0.0126,0.059
2012,7,115.0,0.012457391304347826,0.009999228574364118,0.0005,0.0075,0.0096,0.0125,0.0512
