year,month,count,mean,std,min,25%,50%,75%,max
2004,4,12.0,11.000833333333333,8.140991070260464,0.02,0.03,15.9,16.025,18.1
2004,8,24.0,16.458333416666665,0.36584217908878086,16.0,16.200001,16.4,16.7250005,17.200001
2006,4,15.0,12.272,7.651572387424691,0.02,8.11,16.6,16.9,17.2
2006,8,17.0,16.38235294117647,0.9036283072409024,15.3,15.7,15.9,17.3,17.5
2007,4,8.0,14.254999999999999,9.04449793283977,0.02,12.155,17.45,19.725,22.0
2009,4,12.0,11.340000000000003,8.363092077151196,0.02,0.02,16.85,17.0,17.3
2009,7,13.0,15.600769230769227,4.871944275711805,0.11,16.8,17.2,17.8,18.1
2010,7,15.0,14.950000000000001,4.145608692167102,0.05,15.7,15.8,16.2,16.9
2012,5,18.0,13.119999999999997,7.507298409665404,0.01,15.55,16.3,16.5,25.1
2012,7,15.0,14.955333333333336,4.155555432476019,0.03,15.75,16.0,16.4,16.8
2013,4,16.0,13.838750000000003,5.446002662503941,0.01,15.375,15.7,15.8,18.3
2013,8,24.0,11.709999999999999,6.915882162599108,0.01,10.89,15.4,15.6,17.0
2014,5,11.0,17.136363636363637,3.0578661603388486,14.9,15.2,15.5,18.9,21.9
2014,8,49.0,14.826122448979593,4.53996458150948,0.01,15.5,15.7,16.6,18.3
2015,5,20.0,12.757000000000001,6.557957881760707,0.01,15.274999999999999,16.0,16.224999999999998,16.3
2015,7,17.0,15.84705882352941,1.1827497870739736,12.7,15.7,16.1,16.5,17.6
