year,month,count,mean,std,min,25%,50%,75%,max
1994,4,10.0,0.00787,0.003960373158624772,0.0007,0.00775,0.0092,0.0106,0.0113
1994,7,39.0,0.006569230769230769,0.005037812487168458,0.0008,0.005,0.0056,0.00645,0.0336
1994,10,26.0,0.009653846153846153,0.0209603860798265,0.0002,0.0044,0.005849999999999999,0.006275,0.1118
1995,4,14.0,0.006692857142857144,0.004147374384561187,0.0002,0.003025,0.008,0.010100000000000001,0.0108
1995,8,39.0,0.0063512820512820495,0.004746237944823236,0.0002,0.00475,0.0054,0.00675,0.0336
1995,10,31.0,0.009506451612903224,0.0077738851498192745,0.0002,0.0058,0.0069,0.011550000000000001,0.0387
1998,4,8.0,0.0108,0.0033949542391193267,0.0068,0.008650000000000001,0.00965,0.012924999999999999,0.016
1998,7,37.0,0.005794594594594594,0.002460120361322225,0.0003,0.0044,0.0057,0.0067,0.0144
2000,4,11.0,0.005218181818181818,0.0027403715740089638,0.0002,0.00425,0.0057,0.0063,0.0105
2000,9,37.0,0.010054054054054056,0.013591758013071227,0.0002,0.0054,0.0068,0.0088,0.0787
2002,4,8.0,0.012962500000000002,0.0007229651246281326,0.0119,0.012575,0.0128,0.013325,0.0142
2002,8,42.0,0.007721428571428571,0.0036299254654906373,0.0016,0.0063,0.00745,0.008825,0.0269
2004,4,19.0,0.00848421052631579,0.005350312883674783,0.0005,0.00275,0.0102,0.012750000000000001,0.0142
2004,8,38.0,0.006384210526315791,0.0019835167125777874,0.0005,0.0056,0.0066,0.0073,0.0118
2006,4,16.0,0.008331249999999998,0.005566652944094863,0.0005,0.0059,0.00885,0.011175000000000001,0.0208
2006,8,17.0,0.007411764705882353,0.0033393267197410425,0.0005,0.0061,0.007,0.0092,0.0146
2007,4,15.0,0.010073333333333333,0.009550427564599747,0.0005,0.0007,0.0131,0.01455,0.035
2009,4,18.0,0.006849999999999999,0.004701970800820089,0.0005,0.00065,0.0088,0.009925,0.0129
2009,7,22.0,0.006699999999999998,0.0024475449312476756,0.0005,0.0056,0.0062,0.007899999999999999,0.0129
2010,7,25.0,0.011204,0.021649181662748054,0.0006,0.0065,0.0074,0.0083,0.114
2012,5,27.0,0.007644444444444444,0.004239859697727067,0.0005,0.00625,0.0091,0.0104,0.0154
2012,7,19.0,0.02158421052631579,0.016620645232758455,0.005,0.01005,0.0121,0.0304,0.0512
