year,month,count,mean,std,min,25%,50%,75%,max
1994,4,8.0,5.5874999999999995,3.260340692101276,0.9,2.275,7.1,7.625,9.6
1994,7,7.0,5.1571428571428575,2.27658892706987,1.3,4.2,4.5,7.15,7.6
1994,10,8.0,4.9625,2.5994161432356853,1.0,3.2249999999999996,6.25,6.85,7.3
1995,4,7.0,3.1571428571428575,1.5778224898650068,1.1,2.2,3.4,3.6,6.0
1995,8,8.0,4.325,2.0485186285285693,2.1,3.1999999999999997,3.65,5.0,8.0
1995,10,7.0,3.1999999999999997,1.9857828011475305,1.1,2.0,2.3,4.35,6.3
1998,4,7.0,4.128571428571428,2.5434322517117725,1.7,2.6500000000000004,2.9,5.4,8.2
1998,7,7.0,4.185714285714285,2.3589747571268975,1.5,2.25,4.4,5.8,7.3
2000,4,3.0,1.3333333333333333,0.6350852961085883,0.6,1.15,1.7,1.7,1.7
2000,9,8.0,6.0375000000000005,1.8654279478370182,4.1,4.7,5.6,6.550000000000001,9.8
2002,4,7.0,1.3142857142857145,0.8355209381548964,0.5,0.8500000000000001,1.0,1.5,3.0
2002,8,8.0,8.237499999999999,4.105723357182542,1.8,5.4,8.55,10.825,14.1
2004,4,3.0,2.6333333333333333,0.5131601439446885,2.2,2.35,2.5,2.85,3.2
2004,8,7.0,3.4,1.8220867158288594,0.8,2.1,3.7,4.8,5.5
2006,4,7.0,4.6000000000000005,3.752776749732567,1.2,2.0,3.8,5.55,12.1
2006,8,8.0,4.9375,2.88044515408891,2.5,3.5500000000000003,3.8499999999999996,4.75,11.3
2007,4,6.0,2.35,2.0906936647916643,0.3,1.225,2.05,2.3499999999999996,6.3
2009,4,9.0,1.9333333333333331,1.231868499475492,0.1,1.2,1.7,2.8,3.7
2009,7,6.0,5.433333333333334,3.5652021915547323,2.1,2.825,4.1,7.999999999999999,10.6
2010,7,9.0,11.477777777777778,6.479154608777633,3.2,6.7,10.3,15.6,20.5
2012,5,8.0,4.550000000000001,3.2280024783137944,1.0,2.875,3.7,5.2749999999999995,11.6
2012,7,4.0,8.2,2.0248456731316584,5.4,7.424999999999999,8.7,9.475000000000001,10.0
2013,4,9.0,2.5444444444444443,1.5835964693626268,1.2,1.5,2.1,3.0,6.3
2013,8,8.0,6.125,4.5955724033340735,2.0,3.1499999999999995,4.2,7.674999999999999,14.1
2014,5,9.0,4.466666666666667,2.0174241001832014,2.5,2.7,4.1,5.7,8.7
2014,8,8.0,5.5125,1.9452781659333822,2.8,4.0,5.699999999999999,6.874999999999999,8.0
2015,5,8.0,2.4,0.7171371656006361,1.0,2.2249999999999996,2.45,2.7250000000000005,3.5
2015,7,8.0,4.2125,1.1128310101461303,2.0,3.9750000000000005,4.4,4.875,5.5
