year,month,count,mean,std,min,25%,50%,75%,max
1994,4,10.0,0.041859999999999994,0.060195795349656925,0.0002,0.01205,0.02515,0.043275,0.205
1994,7,15.0,0.011926666666666667,0.004491494607535871,0.0002,0.0106,0.0115,0.014799999999999999,0.0176
1994,10,9.0,0.019955555555555553,0.01590692546590251,0.0002,0.0094,0.0173,0.031,0.0449
1995,4,7.0,0.0178,0.009377988412589699,0.0081,0.00955,0.0157,0.02565,0.0304
1995,8,18.0,0.010277777777777778,0.006228261541559197,0.0002,0.00915,0.01115,0.0143,0.0191
1995,10,15.0,0.022193333333333332,0.011132671779603536,0.0002,0.016149999999999998,0.0273,0.030699999999999998,0.0342
1998,4,7.0,0.04217142857142857,0.04486597501766471,0.0103,0.0147,0.0245,0.04794999999999999,0.1351
1998,7,17.0,0.015647058823529413,0.007903015061280315,0.0002,0.0128,0.018,0.0213,0.0231
2000,4,4.0,0.006999999999999999,0.00938687026294352,0.0002,0.0002,0.0038499999999999997,0.01065,0.0201
2000,9,18.0,0.014622222222222222,0.01016820624794037,0.0002,0.01225,0.015099999999999999,0.0186,0.0376
2002,4,7.0,0.03384285714285714,0.04404871761821817,0.0109,0.011349999999999999,0.0172,0.027049999999999998,0.132
2002,8,18.0,0.013461111111111111,0.008576447837907012,0.0004,0.0092,0.01415,0.019625,0.0261
2004,4,5.0,0.015100000000000002,0.01833807514435471,0.0005,0.0005,0.0143,0.0148,0.0454
2004,8,12.0,0.021683333333333336,0.014350345788252778,0.0099,0.011725,0.0179,0.025525,0.0605
2006,4,7.0,0.020614285714285713,0.012180096957937647,0.009,0.01015,0.0146,0.0327,0.035
2006,8,9.0,0.016399999999999998,0.013520077662498835,0.0097,0.0102,0.0115,0.0139,0.0518
2007,4,6.0,0.0252,0.011180697652651197,0.0125,0.017625000000000002,0.02315,0.031825,0.0419
2009,4,13.0,0.048999999999999995,0.057586601450916236,0.0005,0.0005,0.0162,0.0642,0.162
2009,7,8.0,0.0172875,0.006918802022646075,0.0082,0.012575000000000001,0.018099999999999998,0.021175,0.0261
2010,7,13.0,0.01760769230769231,0.010404202799707236,0.0006,0.0115,0.0168,0.0274,0.0312
2012,5,25.0,0.015248,0.010137723281552588,0.0005,0.01,0.0126,0.0183,0.0436
2012,7,7.0,0.008657142857142856,0.001232689664726613,0.0069,0.0077,0.0089,0.0097,0.01
