year,month,count,mean,std,min,25%,50%,75%,max
1994,4,10.0,0.00654,0.009537668012208808,0.0005,0.00125,0.0021999999999999997,0.00475,0.0274
1995,4,7.0,0.005542857142857143,0.005099299671803682,0.0007,0.00135,0.0031,0.009600000000000001,0.0131
1998,4,7.0,0.021414285714285716,0.0330635463197476,0.001,0.0019000000000000002,0.0063,0.0239,0.091
2000,4,5.0,0.0021200000000000004,0.001807484439767048,0.0002,0.0002,0.0027,0.0036,0.0039
2002,4,7.0,0.016785714285714286,0.027580272452813595,0.0002,0.00175,0.0046,0.016649999999999998,0.0759
2004,4,5.0,0.00504,0.007273444850962988,0.0002,0.0002,0.0034,0.0037,0.0177
2006,4,7.0,0.002328571428571429,0.0023830752441011214,0.0006,0.0007999999999999999,0.001,0.0029500000000000004,0.0072
2007,4,6.0,0.007583333333333333,0.0042111360304158615,0.0015,0.004575,0.00895,0.010475,0.012
2009,4,13.0,0.00970769230769231,0.009560113452818916,0.0002,0.0007,0.0055,0.0168,0.0251
2012,5,12.0,0.0019666666666666665,0.0013700254366141153,0.0003,0.00115,0.0018,0.00255,0.0051
2013,4,13.0,0.032438461538461534,0.046067514556744835,0.0002,0.0059,0.0089,0.0502,0.1298
2014,5,13.0,0.007307692307692307,0.010131424837147499,0.0002,0.0009,0.0019,0.0168,0.0322
2015,5,11.0,0.005372727272727273,0.009285374619162215,0.0002,0.00039999999999999996,0.0007,0.0030499999999999998,0.0247
