YEAR,MONTH,count,mean,std,min,25%,50%,75%,max
1983,April    ,26.0,13.75,5.003378858331637,9.0,11.5,12.25,13.875,34.5
1984,April    ,26.0,12.073076923076924,1.1894730572174195,10.2,11.125,12.0,12.575,14.8
1985,April    ,75.0,13.265333333333333,3.0830615414662854,9.8,11.5,12.4,13.9,25.0
1986,April    ,65.0,10.889230769230767,4.067290370939658,6.9,8.6,9.9,11.7,31.7
1987,April    ,124.0,14.18709677419355,6.547723091397155,8.8,10.1,12.55,15.825000000000001,38.7
1988,April    ,64.0,8.0359375,1.2576580890876579,6.1,7.3,8.0,8.525,13.5
1990,April    ,62.0,7.683870967741937,1.8677762308830002,5.1,6.2250000000000005,7.5,8.7,14.0
1991,April    ,62.0,11.969354838709679,5.966205063156304,5.4,8.925,10.0,11.975,29.8
1992,April    ,62.0,11.374193548387096,2.030661321970716,6.0,10.149999999999999,11.6,12.7,16.5
1993,April    ,62.0,11.229032258064512,5.042780494300388,5.5,8.475000000000001,10.5,11.7,35.1
1996,April    ,95.0,10.99385263157895,3.260413392300094,0.677,9.1915,11.073,12.373000000000001,28.803
1997,April    ,90.0,15.87074444444445,5.174669583027319,0.606,14.21575,15.8185,17.42625,35.318000000000005
1998,April    ,48.0,12.453395833333332,4.790913614908349,0.8690000000000001,9.1345,12.2435,14.29525,21.968000000000004
2000,April    ,48.0,7.337020833333335,2.552980406701851,0.045,6.222250000000001,7.140000000000001,8.504750000000001,12.14
2001,April    ,47.0,8.539904851063827,3.3976418540672086,0.173051,5.3982945,8.485201,11.608931,14.377194
2002,April    ,92.0,18.550876369565216,3.1646750177781815,14.216560999999999,16.36040225,17.9401665,19.854993999999998,28.927335999999997
2003,April    ,95.0,20.318118505263154,8.346504393020265,0.082722,14.826008000000002,18.354870000000002,27.9252575,36.018902000000004
2004,April    ,43.0,10.071810465116277,3.708302879322146,0.197915,8.244142499999999,9.776328,11.4796355,18.971508
2005,April    ,63.0,14.245238095238095,5.283290414475304,0.08,9.865,15.14,19.62,22.42
2006,April    ,47.0,11.641234042553197,4.8436889472742095,0.109,8.426,11.47,14.340499999999999,21.103
2007,April    ,48.0,19.062479166666666,6.156116252858264,0.023,15.548750000000002,18.41,24.21575,29.529
2008,April    ,47.0,12.802340425531913,5.673636159721161,0.20600000000000002,6.763999999999999,14.636,17.8105,20.646
2009,April    ,49.0,11.658959183673469,4.499421865451085,0.285,9.655,11.485999999999999,13.237,21.445999999999998
2010,April    ,48.0,13.295333333333332,3.676745278635934,0.42100000000000004,12.003,12.863,14.847,19.775
2011,April    ,44.0,13.237999999999998,3.620255284587179,0.5770000000000001,10.8415,12.212,16.4555,21.248
2012,April    ,44.0,9.324999999999996,4.15432495285979,0.315,6.108250000000001,8.4235,12.459999999999999,17.366
2013,April    ,43.0,18.2163488372093,2.9012612929036563,12.265,16.4485,18.14,19.8645,24.011999999999997
2014,April    ,44.0,7.6977954545454566,1.8669569018772847,0.22,6.65175,7.8805,8.808,11.214
2015,April    ,43.0,9.033697674418603,1.400232914891963,6.015,8.0955,9.048,10.004999999999999,11.868
2016,April    ,44.0,14.707863636363633,4.336422068141608,0.31,12.652999999999999,14.6205,16.57,23.509
2017,April    ,44.0,14.482136363636364,4.9171355510585775,0.11599999999999999,11.9175,13.571,15.693,29.391
