YEAR,MONTH,count,mean,std,min,25%,50%,75%,max
1983,April    ,5.0,23.419999999999998,10.999181787751306,10.0,13.0,29.6,31.5,33.0
1984,April    ,4.0,31.825,1.5882380174268582,30.0,30.75,32.0,33.075,33.3
1985,April    ,7.0,17.485714285714288,4.9326897907154645,13.0,14.600000000000001,16.0,18.3,27.6
1986,April    ,35.0,16.171428571428574,7.0319678205017,7.6,11.9,14.6,18.15,37.1
1987,April    ,48.0,21.295833333333334,10.389601150031583,9.9,14.7,17.4,24.75,55.8
1988,April    ,35.0,15.271428571428578,6.6125358412715505,7.7,10.2,14.4,17.6,36.3
1990,April    ,34.0,12.170588235294119,4.494881224153908,5.0,9.450000000000001,11.05,16.575000000000003,19.4
1991,April    ,36.0,27.580555555555552,10.545650950427573,9.1,21.874999999999996,26.450000000000003,34.85,48.1
1992,April    ,36.0,10.825000000000001,5.805336215192757,5.0,6.175000000000001,9.55,11.875000000000002,23.2
1993,April    ,36.0,26.89444444444444,34.931189047239265,4.4,7.300000000000001,11.4,21.624999999999996,115.4
1996,April    ,56.0,26.369857142857146,10.984248461780618,0.16699999999999998,19.57775,25.9205,33.8675,48.413000000000004
1997,April    ,56.0,36.086910714285715,16.83499829767714,0.086,25.77375,36.7705,44.64,75.033
1998,April    ,29.0,19.89589655172414,11.706606993930599,1.03,10.068999999999999,20.389,29.509,38.717
2000,April    ,29.0,17.831862068965517,9.809474511643387,0.20600000000000002,10.151,20.087,22.046999999999997,35.145
2001,April    ,34.0,27.897258941176474,16.074618149407318,0.058642999999999994,15.050275999999998,26.349385500000004,39.2910635,60.6268075
2002,April    ,56.0,24.792737767857147,13.259577018136293,0.080065,15.66953625,21.5225255,29.492242500000003,52.199787
2003,April    ,57.0,54.81983487719298,47.21082919007213,0.10637,21.92148,36.53603,66.00324,169.835205
2004,April    ,29.0,15.836009793103447,6.879733274091339,0.115168,11.775661999999999,16.632347,21.730826999999998,25.005989000000003
2005,April    ,33.0,20.242727272727272,12.956043539774997,0.67,12.25,17.52,21.18,45.76
2006,April    ,28.0,40.90253571428571,29.903907980683663,8.764,14.23325,37.646,73.551875,89.1515
2007,April    ,27.0,34.53329629629629,29.266752455533005,7.73,19.288,22.737,36.31,101.21600000000001
2008,April    ,28.0,23.429,23.775133221576358,0.816,11.23775,14.9435,23.433999999999997,82.36200000000001
2009,April    ,27.0,92.40522222222224,71.74128865976763,0.887,42.262,86.59,141.71224999999998,229.1755
2010,April    ,28.0,12.786321428571428,4.061538132772886,0.737,11.391499999999999,13.123999999999999,15.67725,20.199
2011,April    ,26.0,41.49823076923079,29.21682084184752,21.256,24.14,27.091,49.969,105.906
2012,April    ,27.0,16.65040740740741,19.683728382091203,0.501,6.3375,7.332999999999999,12.034500000000001,57.461000000000006
2013,April    ,26.0,41.03823076923077,38.85250184408483,6.622999999999999,16.61275,24.543,47.387750000000004,119.07700000000001
2014,April    ,27.0,15.389740740740741,11.0400809939636,0.363,8.7865,9.675,20.568,36.411
2015,April    ,27.0,20.010999999999996,10.909807757595562,0.8340000000000001,8.655999999999999,20.932,30.9535,34.41
2016,April    ,26.0,22.567576923076924,8.682459251493563,13.775,17.7445,19.1715,23.200750000000003,44.151
2017,April    ,27.0,46.68024074074074,26.56147329540489,0.428,22.7215,39.738,67.202,93.5025
