YEAR,MONTH,count,mean,std,min,25%,50%,75%,max
1983,April    ,24.0,8.75,3.2637668288410984,3.0,5.0,10.5,11.5,12.0
1983,August   ,38.0,8.757894736842106,3.0764696842891084,3.3,7.0,8.75,10.425,16.5
1983,May      ,12.0,13.208333333333334,3.627285068711442,5.0,12.0,13.0,15.25,20.0
1983,October  ,26.0,11.738461538461536,3.8793893254559455,3.8,8.9,10.899999999999999,14.924999999999999,20.0
1984,April    ,24.0,16.3875,5.263104762317623,10.8,13.5,15.0,16.5,36.0
1984,August   ,43.0,10.681395348837208,4.24837536532964,5.5,7.65,9.2,13.7,22.9
1984,December ,24.0,13.575000000000001,5.732989962754468,9.3,10.850000000000001,12.9,13.799999999999999,39.0
1984,May      ,12.0,15.566666666666668,1.8753585515761235,13.0,14.5,15.25,16.125,20.5
1985,April    ,40.0,12.842499999999998,1.2665089307994915,10.9,12.075,12.5,13.224999999999998,16.4
1985,August   ,58.0,6.396551724137929,2.088394457366323,2.1,5.2,6.1,7.2,11.3
1985,November ,33.0,15.324242424242424,7.1441860235714705,9.4,10.9,13.7,15.1,42.9
1986,April    ,36.0,13.43611111111111,3.944265477719541,9.3,11.375,12.4,13.749999999999998,27.0
1986,August   ,53.0,8.36981132075472,2.1466059888595854,3.7,6.9,7.8,9.4,13.6
1987,April    ,60.0,9.246666666666664,1.085258176994978,7.6,8.4,9.1,9.825000000000001,12.9
1987,August   ,53.0,4.877358490566037,1.228294863971683,2.1,4.2,4.7,5.5,10.0
1988,April    ,40.0,8.172500000000001,1.2159174018843253,6.8,7.574999999999999,7.95,8.225,13.0
1988,August   ,57.0,5.910526315789471,1.9263848646146857,3.3,4.6,5.5,6.6,14.0
1989,August   ,57.0,7.071929824561404,2.0629170042481206,4.5,6.0,6.7,7.6,14.9
1990,April    ,38.0,7.402631578947369,4.590853824025593,5.0,6.2,6.6,6.9,34.4
1990,August   ,56.0,6.7732142857142845,2.808395923358682,3.7,4.8,5.6,7.1,14.7
1991,April    ,38.0,12.157894736842106,2.627570204163799,9.1,10.425,11.350000000000001,12.700000000000001,22.6
1991,August   ,56.0,4.748214285714285,1.2489982999374951,2.3,3.7749999999999995,4.5,5.5,8.1
1992,April    ,38.0,10.944736842105263,0.919958097876864,9.7,10.3,10.9,11.3,15.2
1993,April    ,38.0,12.739473684210532,6.225602737505398,9.1,10.6,10.9,12.9,47.6
1996,April    ,53.0,12.18045283018868,4.458302650311067,0.318,10.575,11.936,12.842,27.128
1996,August   ,34.0,5.675352941176473,1.665039100138819,0.579,4.83575,5.743,6.121,10.102
1997,April    ,52.0,11.594346153846153,2.880045661978809,0.927,10.81725,11.8255,12.61475,20.0
1997,August   ,31.0,4.914193548387097,1.5740174166625318,0.094,3.9085,4.879,6.0425,7.696000000000001
1998,April    ,27.0,8.918814814814814,1.9349562912383445,0.5870000000000001,8.618,9.493,9.972999999999999,10.63
1998,August   ,32.0,4.8656250000000005,0.9901480420428505,2.9,4.2749999999999995,4.9,5.525,6.8
1999,August   ,35.0,4.783639999999999,2.2119166641040473,0.5996,3.79535,4.204,4.91895,13.9095
1999,March    ,26.0,11.949999999999996,1.2618240764861004,10.6,11.5,11.7,11.975,17.5
2000,April    ,26.0,4.924653846153846,1.2408197594270551,3.153,3.91275,4.672000000000001,6.126250000000001,6.87
2000,August   ,31.0,5.023645161290322,1.1905382969729028,3.016,3.8585000000000003,5.249,5.9785,7.278
2001,April    ,27.0,8.612693666666665,2.544101690969586,0.5093,7.880046500000001,9.593853999999999,9.9875005,12.115103999999999
2001,August   ,33.0,4.651972242424243,1.2921647282061222,2.9554139999999998,3.6008379999999995,4.486959,5.00157,8.930655999999999
2002,April    ,52.0,12.280185576923076,0.9515039094996881,10.409546,11.483876749999999,12.1175925,13.16491075,13.952895000000002
2002,August   ,31.0,4.535513516129032,1.2518566844267722,2.011082,3.7996285,4.620575,5.4945734999999996,7.089235
2003,April    ,52.0,8.632510192307693,1.302402382547955,6.41477,7.557630250000001,8.6940165,9.705814749999998,11.036864
2003,August   ,27.0,5.697767703703702,1.497661954145317,3.531792,4.751887999999999,5.177289,6.580432,9.123808
2004,April    ,24.0,11.073643374999998,0.6973465917690402,9.825606,10.699980250000001,11.1248075,11.645351999999999,12.153934
2004,August   ,28.0,4.578150285714285,1.5814674665246795,0.315425,4.0412745,4.257638,4.96727325,9.164748
2005,April    ,41.0,7.945853658536585,1.084375340022439,4.82,7.43,8.19,8.53,10.01
2005,August   ,27.0,4.272259259259259,1.2684791800417659,2.498,3.3019999999999996,3.722,4.942,7.0120000000000005
2006,April    ,26.0,10.694153846153846,1.089828268758255,9.579,9.8675,10.325,11.71875,12.782
2006,August   ,25.0,5.23336,2.2849832581443565,0.243,3.9960000000000004,4.583,6.0760000000000005,10.372
2007,April    ,26.0,14.696769230769227,2.1852550296510898,12.342,13.36975,14.0565,15.528,20.869
2007,August   ,28.0,4.539357142857143,0.8699958371243831,2.5180000000000002,4.06025,4.715999999999999,5.307499999999999,5.627000000000001
2008,April    ,27.0,8.870148148148147,1.7394168939774417,0.696,8.779499999999999,9.084,9.5305,10.321
2008,August   ,28.0,5.0961428571428575,1.313295140851487,0.331,4.38775,5.246,5.79725,7.098
2009,April    ,26.0,8.4675,1.9745706621946957,0.8220000000000001,7.68525,8.5315,9.86275,10.423
2009,August   ,28.0,4.584999999999999,0.9073434565522298,2.451,3.98025,4.5805,5.421,6.087999999999999
2010,April    ,26.0,10.21296153846154,1.1797173383745527,8.247,9.397,10.0225,10.64375,13.728
2010,August   ,31.0,4.06983870967742,1.1729017605004035,0.032,3.369,4.059,4.6945,6.301
2011,April    ,25.0,6.1097199999999985,0.8162711722624209,4.687,5.631,6.068,6.684,8.377
2011,August   ,27.0,7.966222222222224,9.209240970699497,3.138,4.2940000000000005,4.913,5.6585,36.336
2012,April    ,27.0,9.435333333333334,1.9551582662674256,0.595,9.328499999999998,9.955,10.2075,10.935
2012,August   ,26.0,4.155384615384615,1.2895560500241336,0.937,3.2705,4.2684999999999995,4.82025,6.325
2013,April    ,27.0,12.190222222222221,3.052795406651385,0.603,11.155,12.029000000000002,13.117,17.94
2013,August   ,29.0,6.405965517241379,1.5090848570943018,0.40700000000000003,5.751,6.676,7.207999999999999,8.347999999999999
2014,April    ,27.0,9.27911111111111,2.5603927933835187,0.41700000000000004,7.999,9.435,10.647,14.684000000000001
2014,August   ,26.0,5.469576923076924,1.2229684598738244,3.181,5.00575,5.3925,5.833499999999999,8.42
2015,April    ,26.0,6.396769230769232,1.035022562370205,4.265,5.7425,6.357,7.1885,8.873
2015,August   ,29.0,6.0985517241379315,1.7961192210311752,0.978,5.091,5.859,7.095,9.52
2016,April    ,27.0,11.240222222222222,3.0540207587493233,0.504,10.1945,10.8,13.472999999999999,16.048
2016,August   ,29.0,5.667172413793104,1.6992116884217119,3.3760000000000003,4.505,5.706,6.086,10.186
2017,April    ,26.0,8.151769230769231,0.9104155669887156,6.233,7.966000000000001,8.26,8.87675,9.238999999999999
