YEAR,MONTH,count,mean,std,min,25%,50%,75%,max
1983,April    ,24.0,1.9625000000000004,0.31320572486299875,1.4,1.7750000000000001,2.0,2.2,2.4
1983,August   ,38.0,1.1184210526315788,0.9537565169365094,0.2,0.3,0.8,1.725,4.6
1983,May      ,12.0,2.0,0.8420753583206845,1.3,1.475,1.65,2.1,3.7
1983,October  ,26.0,2.3538461538461535,0.8837333395230799,0.9,1.6750000000000003,2.25,3.1250000000000004,3.8
1984,April    ,24.0,0.5999999999999999,0.1318760946791574,0.3,0.5,0.6,0.7,0.8
1984,August   ,43.0,1.7000000000000006,2.3658281546094715,0.2,0.4,0.9,1.8,13.7
1984,December ,21.0,1.766666666666667,0.4187282332651255,0.8,1.6,1.8,2.1,2.3
1984,May      ,12.0,0.75,0.11677484162422845,0.6,0.7,0.7,0.8,1.0
1985,April    ,40.0,0.39649999999999996,0.23477812766688722,0.2,0.2,0.3,0.44,1.0
1985,August   ,57.0,0.906842105263158,0.6308813503310181,0.1,0.4,0.9,1.3,2.4
1985,November ,33.0,0.8224242424242425,0.3419706703709244,0.3,0.6,0.7,1.1,1.7
1986,April    ,37.0,1.1856756756756759,0.614837560031286,0.3,0.7,1.1,1.5,3.3
1986,August   ,53.0,1.8471698113207549,1.0104461645128897,0.2,1.0,1.9,2.4,4.6
1987,April    ,60.0,1.4533333333333336,0.38739314181808077,0.6,1.2,1.4,1.6,2.85
1987,August   ,53.0,1.128301886792453,0.7128969497465323,0.1,0.4,1.2,1.8,2.3
1988,April    ,39.0,1.6161538461538465,0.9484824871024669,0.47,0.5800000000000001,1.63,2.21,4.18
1988,August   ,36.0,0.9441666666666664,0.6488996180348038,0.17,0.3325,0.825,1.5075,2.34
1989,August   ,57.0,3.3412280701754393,2.181511656574272,0.57,1.5,2.71,5.5,7.55
1990,April    ,38.0,1.8428947368421054,0.7052004043120088,0.78,1.27,1.615,2.4525,3.29
1990,August   ,58.0,0.24637931034482766,0.17885305421777067,0.01,0.07,0.25,0.36749999999999994,0.65
1991,April    ,39.0,2.136153846153846,0.8185115354124454,0.7,1.5,2.2,2.75,3.68
1991,August   ,56.0,2.4423214285714288,2.4887784452117567,0.25,0.77,2.125,2.9450000000000003,13.0
1992,April    ,38.0,1.2421052631578944,0.6232571717467138,0.1,0.8250000000000001,1.2,1.6749999999999998,2.5
1993,April    ,38.0,0.45526315789473687,0.2575323316580224,0.1,0.3,0.4,0.6,1.3
1996,April    ,52.0,1.1673076923076926,0.4553478109745077,0.1,0.9,1.15,1.5,1.9
1996,August   ,32.0,0.621875,0.504645755663988,0.1,0.27499999999999997,0.5,0.8250000000000001,1.8
1997,April    ,52.0,0.5793501049999998,0.36767657939617127,0.02523271,0.4029395075,0.507020825,0.6334155125,2.02607477
1997,August   ,35.0,0.9043231244000002,0.5109406790015056,0.038756195,0.422254996,1.081422862,1.3064588329999998,1.769032774
1998,April    ,27.0,0.7174666542592592,0.19137846051361518,0.032933332999999995,0.6656666665,0.693333333,0.8033331665,1.153333333
1998,August   ,33.0,0.7662242425151518,0.5844606086505413,0.0218,0.08466666699999999,1.006666667,1.173333333,1.986666667
1999,August   ,36.0,0.7151424999999999,0.381538048500502,0.02513,0.31,0.86,0.9275,1.42
1999,March    ,26.0,0.35192307692307695,0.06125482712532823,0.22,0.3225,0.36,0.4,0.43
