YEAR,MONTH,count,mean,std,min,25%,50%,75%,max
1983,April    ,82.0,16.075609756097556,2.4375944920265065,9.8,15.3,15.9,17.2,21.9
1983,August   ,145.0,14.291724137931023,1.8897568717913846,8.6,14.3,14.8,15.4,17.4
1983,May      ,39.0,15.135897435897437,2.7325029185217886,7.9,15.05,15.7,16.2,20.4
1983,October  ,81.0,14.291358024691363,2.3265960935916765,6.3,14.5,15.0,15.6,16.2
1984,April    ,76.0,15.106578947368428,1.0914620807358408,13.9,14.4,14.850000000000001,15.2,19.5
1984,August   ,149.0,15.527516778523486,3.8104028846432563,7.9,14.7,15.0,15.4,26.1
1984,December ,86.0,14.38604651162791,1.71259437117029,7.6,14.8,14.9,15.1,15.3
1984,February ,16.0,15.9125,6.429813372097203,7.7,14.55,14.95,15.2,32.2
1984,May      ,39.0,15.28205128205128,0.8813481882206895,13.9,14.7,15.4,15.7,17.8
1985,April    ,141.0,14.439361702127668,1.5088620181002808,7.4,14.4,14.7,15.0,17.9
1985,August   ,218.0,14.217385321100926,1.6249602754918027,7.5,14.4,14.7,14.937499999999998,15.6
1985,February ,18.0,13.466666666666667,2.0622660295099147,9.1,12.125,14.5,15.1,15.6
1985,January  ,17.0,15.852941176470589,1.9777252232864726,11.3,16.4,16.5,16.7,17.6
1985,November ,115.0,14.17260869565217,1.6343790531567048,7.8,14.2,14.6,15.025,16.9
1986,April    ,137.0,14.28087591240876,2.109717877170726,8.4,14.2,14.7,15.3,18.9
1986,August   ,208.0,13.674374999999998,1.873389960913684,7.0,13.795000000000002,14.34,14.724999999999998,15.6
1987,April    ,226.0,14.097566371681404,2.2005768551848446,8.0,13.412500000000001,14.3,14.7,24.9
1987,August   ,131.0,13.656488549618322,1.8098915920208813,8.3,13.6,14.2,14.6,17.1
1987,July     ,75.0,13.173333333333334,2.829493954055396,7.9,12.6,13.4,13.9,21.2
1988,April    ,136.0,13.442647058823523,1.6878929381942736,8.2,13.275000000000002,14.1,14.3,16.4
1988,August   ,210.0,13.71190476190476,2.856739063514674,7.8,13.0,14.1,14.7,22.6
1989,August   ,211.0,13.336966824644563,1.429238323236695,8.7,13.5,13.9,14.1,15.9
1990,April    ,134.0,14.421641791044774,2.022555591038695,7.7,13.9,14.45,15.0,20.6
1990,August   ,210.0,13.782380952380944,1.6847540526193348,7.4,13.8,14.3,14.6,16.3
1991,April    ,136.0,14.483823529411765,1.6364016797584693,7.4,14.375,14.6,15.0,18.3
1991,August   ,210.0,13.646666666666665,1.953775227489956,7.0,14.0,14.3,14.7,15.7
1992,April    ,136.0,14.555882352941174,2.1457197603043023,8.3,14.2,14.6,14.9,20.6
1993,April    ,136.0,14.941911764705889,2.9258377754846845,8.5,14.0,14.6,15.125,26.3
1996,April    ,210.0,14.234580952380949,3.9100264204027946,0.013999999999999999,14.05725,14.475000000000001,14.9925,24.614
1996,August   ,137.0,13.331423357664235,3.46821188825068,0.023,11.269,14.842,15.324000000000002,20.095
1997,April    ,205.0,14.537853658536578,4.06276328836701,0.003,14.464,14.838,15.254000000000001,24.938000000000002
1997,August   ,121.0,13.416752066115702,3.105331711430604,0.057,14.175,14.454,14.763,15.714
1998,April    ,103.0,13.469048543689313,3.4345913715866216,0.042,12.92,14.235999999999999,15.375,17.473
1998,August   ,132.0,13.575757575757578,2.678757864478806,0.1,14.1,14.6,15.0,15.8
1999,August   ,143.0,14.15654895104895,2.343104547626513,0.0041,14.54585,15.0252,15.4653,16.0349
1999,March    ,99.0,15.761616161616162,3.4818686945757684,11.4,14.5,15.0,15.5,28.3
2000,April    ,101.0,15.243168316831685,2.6969704969439587,0.09,15.14,15.4,15.79,19.66
2000,August   ,135.0,14.368814814814808,2.4896130646586805,0.01,14.86,15.16,15.495000000000001,16.76
2001,April    ,104.0,15.70574797115385,2.525740629159459,0.022152,15.40715025,15.9552905,16.574868000000002,20.479082000000002
2001,August   ,143.0,15.037802881118884,3.3079596076512487,0.023411,15.772580000000001,16.353529,16.715679,17.493942
2002,April    ,201.0,15.411682407960202,3.019871650477066,0.030718000000000002,15.723482999999998,16.149332,16.363438000000002,21.568527
2002,August   ,122.0,14.667507532786885,3.0443612634682786,0.021407,14.52848325,16.005854000000003,16.37857075,17.118895000000002
2003,April    ,206.0,16.999327320388335,7.85254735577267,0.0009119999999999999,14.727849499999998,15.773539,16.5828385,50.795
2003,August   ,119.0,15.014369411764704,2.8535352004019954,0.041891000000000005,15.253965999999998,15.872698999999999,16.5059005,17.402966
2004,April    ,96.0,15.56544630208333,3.8227240646516076,0.008020000000000001,15.0380225,16.518584500000003,16.936905,22.024475
2004,August   ,107.0,15.085213140186916,4.030294828423188,0.0008410000000000001,14.430053999999998,16.587103,17.658786499999998,18.434153
2005,April    ,139.0,16.318213172661867,4.612484935042959,0.0017649999999999999,16.6972555,17.168922,17.3698185,26.225012
2005,August   ,114.0,14.86979824561403,4.266722410360972,0.096,13.89975,16.729,17.144000000000002,19.515
2006,April    ,108.0,16.10847222222222,4.38772860673082,0.09300000000000001,15.564750000000002,17.916,18.41525,20.102999999999998
2006,August   ,117.0,15.41211965811966,4.163463348526563,0.109,14.92,16.85,17.955,18.461
2007,April    ,109.0,15.617825688073395,4.3856005244521254,0.036000000000000004,13.988,16.997,17.929000000000002,24.513
2007,August   ,115.0,14.822147826086955,4.393641480641302,0.011000000000000001,12.8455,16.868,17.584,18.429000000000002
2008,April    ,108.0,16.88947222222223,5.115331908286254,0.10300000000000001,16.133,16.4835,17.304250000000003,29.271
2008,August   ,117.0,16.253717948717945,3.9954595067102443,0.032,15.296,17.329,18.328,20.189
