DEPTH_FROM,1994-04-27 02:58:00,1994-07-29 01:26:00,1994-10-12 11:15:00,1995-04-25 15:53:00,1995-08-15 13:20:00,1995-10-17 22:11:00,1998-04-21 09:39:00,1998-07-21 01:33:00,2000-04-20 10:26:00,2000-08-29 08:09:00,2002-04-16 08:06:00,2002-07-30 14:00:00,2004-04-21 06:19:00,2006-04-26 09:09:00,2006-08-01 14:39:00,2007-04-17 06:35:00,2009-04-23 18:45:00,2009-07-31 02:40:00,2010-07-27 18:18:00,2012-05-03 16:49:00,2012-05-08 02:30:00,2012-07-25 13:08:00,2013-04-22 23:12:00,2013-07-30 09:17:00,2014-04-29 06:10:00,2014-07-24 01:35:00,2015-04-28 06:58:00,2015-07-23 12:46:00
-61.0,,,,,,,,11.95,,,,,,,,,,,,,,,,,,,,
-60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.36
-60.0,,,8.72,,11.08,7.89,,,,9.19,,12.68,,,,,,11.24,10.22,12.19,,,,11.0125,13.94,11.87,13.91,
-59.5,,,,,,,,,,,,,,,10.26,,,,,,,,13.9498,,,,,
-59.0,,11.65,,,,,,,,,,,,,,,,,,,12.22,9.96215,,,,,,
-53.0,,,,,,,,11.19,,,,,,,,,,,,,,,,,,,,
-52.0,,,8.69,,,8.26,,,,9.19,,,,,,,,11.15,10.08,,,,,10.9799,13.96,,14.25,
-51.5,,,,,,,,,,,,,,,10.23,,,,,,,,13.9498,,,,,
-51.0,,,,,,,,,,,,,,,,,,,,,,9.93011,,,,,,
-50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.51
-50.0,,11.65,,,,,,,,,,,,,,,,,,12.17,,,,,,,,
-48.0,,,,,,,,,,,,11.63,,,,,,,,,,,,,,,,
-47.0,,,,,11.09,,,,,,,,,,,,,,,,,,,,,,,
-45.0,,,8.55,,,8.82,,,,,,,,,,,,,,,,,,,,,,
-43.0,,,,,,,,,,8.45,,,,,,,,,,,,,,,,,,
-42.0,,,,,,8.96,,,,,,,,,,,,,,,,,,,,11.87,,11.59
-39.0,,,,,,9.65,,,,,,,,,9.99,,,11.35,,,,,,,,,,
-37.0,,,,,,,,,,,,11.26,,,,,,,,,,,,,,,,
-36.0,,11.94,,,,,,,,,,,,,,,,,,,,,,,,,,
-35.0,,,,,,,,,,,,,,,,,,,,,,,,10.9146,,,,
-34.0,,,,,11.12,,,,,,,,,,,,,,,,,,,,,,,
-32.0,,,9.24,,,,,10.45,,,,,,,,,,,,,,,,,,,,
-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,
-29.0,,,,,,,,,,,,,,,,,,,,,,8.841,,,,,,
-25.0,,,,,,,,,,,,,,,,,,,,12.2,,,13.9654,,14.12,,14.23,
-23.5,,,,,10.82,,,,,,,,,,,,,,,,,,,,,,,
-22.5,,,,,,,,9.7,,,,,,,,,,,,,,8.55271,,,,,,
-22.0,,10.34,,,,,,,,6.82,,,,,,,,,,,,,,,,,,
-21.0,,,,,,,,,,,,,,,8.33,,,,,,,,,9.31577,,10.66,,
-20.0,,,9.54,,,,,,,,,,,,,,,,,,,,,,,,,10.3
-19.0,,,,,,,,,,,,10.81,,,,,,9.82,8.05,,,,,,,,,
-16.5,,,,,,,,,,,,,,,,,,,,,,8.56873,,,,,,
-16.0,,,,,,,,,,8.47,,,,,,,,,,,,,,,,,,
-15.0,,,,,,,,,,,,,,,8.81,,,,8.87,,,,,,,,,
-14.0,,,,,,,,,,,,,,,,,,,,,,,,9.0221,,,,
-13.0,,,,,8.58,,,,,,,,,,,,,,,,,,,,,,,
-11.0,,,,,,,,8.95,,,,,,,,,,,,,,,,,,9.502,,
-10.0,,,,,,,,,,,,9.5,,,,,,,,12.55,,,13.8877,,14.13,,14.25,9.378
-9.5,,,,,,,,,,,,,,,,,,9.39,,,,,,,,,,
-8.5,,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,14.81,9.49,9.49,13.84,8.58,9.54,13.02,8.91,14.23,8.86,13.61,10.29,14.41,13.42,8.68,13.99,14.38,9.34,9.11,12.58,13.75,8.60076,13.9343,8.81001,14.15,9.526,14.2,9.426
