YEAR,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1996,1996,2016,2016,2017,2017
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,
-62.0,,,,,,,,,,,,,,,,,,,,,,,3.62,,,
-61.1,,,,,,,,,,,,,,,,,,,,,,,,0.674,,
-61.0,,,,,,,,,,,,,,,,,,,,,6.7,,,,,
-60.66,,,,,,,,,2.1,,,,,,,,,,,,,,,,,
-60.4,,,,,,,,,,,,,,,,,,,,,,,,,5.42,
-60.35,,,,,,,,,,,,,,,1.9,,,,,,,,,,,
-60.05,,,,,,,5.4,,,,,,,,,,,,5.2,,,,,,,
-60.0,,,,,,,,,,,,,,,,,,,,,6.2,,,,,
-59.44,,,,,2.0,,,3.25,2.0,,,,,,,10.7,2.5,,,,,,,,,
-59.13,,,,,,2.9,3.2,,,1.5,0.9,,,,,11.9,,1.5,8.0,,,,,,,
-58.83,,,,,,,,,0.9,,0.9,,,2.0,,,,,,,,,,,,
-58.22,,1.5,,4.3,,3.7,,,,,,,,2.3,5.3,,,,,,,,,,,
-57.91,,,1.4,,1.8,,,,,1.9,,2.2,,,,,2.9,1.2,,,,,,,,
-57.61,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
-57.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
-56.39,3.0,,0.3,,,,,,,,,,,,,,,,,,,,,,,
-53.0,,,,,,,,,,,,,,,,,,,,,,,3.92,,,
-52.1,,,,,,,,,,,,,,,,,,,,,,,,,4.79,
-52.0,,,,,,,,,,,,,,,,,,,,,6.4,,,5.32,,
-51.82,,,,,,,,,2.1,,,,,,0.7,,,,,,,,,,,
-51.21,,0.5,,,,,,,,,,,,,,9.7,,,5.3,,,,,,,
-50.9,,,,1.1,,,2.95,,,,,,,,,,,,,,,,,,,
-50.6,,,,,2.2,,,,2.0,,0.9,,,,,,,,,,,,,,,
-50.29,,2.0,,2.0,,,,2.75,,,0.9,,,2.0,,8.6,3.9,,8.1,,,,,,,
-49.99,,,,4.9,,,,,,,,,,,,,,1.4,,,,,,,,
-49.68,3.0,2.0,,,,2.9,,,,1.55,,,,,,,,,,,,,,,,
-49.38,,,1.2999999999999998,,2.3,3.5,,,,,,2.2,,2.1,,,,1.0,,,,,,,,
-48.77,3.0,,,,,,,,,2.7,,,,,0.7,,,,,,,,,,,
-48.5,,,,,,,,,,,,,,,,,,,,,8.8,,,,,
-48.2,,,,,,,,,,,,,,,,,,,,,,,5.2,,,
-47.8,,,,,,,,,,,,,,,,,,,,,,,,,3.96,
-47.55,,,,,,,,,,,,,,,1.4,,,,,,,,,,,
-47.0,,,,,,,,,,,,,,,,,,,,,6.6,,,,,
-46.63,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
-46.33,,,,,,,,,,,,,,,,,,,7.3,,,,,,,
-46.3,,,,,,,,,,,,,,,,,,,,,,,,0.92,,
-46.02,,,,,,,,,,,,,,,,,2.0,1.2,,,,,,,,
-45.72,,,,,,,,,,,,,,,,,,0.9,,,,,,,,
-45.42,,,,,,,,,,,,,,,,,,,6.2,,,,,,,
-44.9,,,,,,,,,,,,,,,,,,,,,,,4.46,,,
-44.0,,,,,,,,,,,,,,,,,,,,,7.5,,,,,
-43.8,,,,,,,,,,,,,,,,,,,,,,,,,4.91,
-43.59,,,,,,,,,1.9,,,,,,,,,,,,,,,,,
-43.28,,,,,,,,,,,,,,,,,,,6.1,,,,,,,
-43.1,,,,,,,,,,,,,,,,,,,,,,,,0.54,,
-42.98,,,,,,,3.9,,,,,,,2.2,,,1.7,,,,,,,,,
-42.67,,,,,2.1,2.3,,2.3,,,,,,,,,4.5,,7.1,,,,,,,
