YEAR,MONTH,count,mean,std,min,25%,50%,75%,max
1983,April    ,6.0,5.6000000000000005,1.951409746824075,3.1,4.225,5.5,7.225,7.9
1983,August   ,6.0,6.45,3.953605949004023,0.2,4.1,8.5,9.149999999999999,9.5
1983,May      ,3.0,0.8866666666666666,0.08082903768654762,0.84,0.84,0.84,0.9099999999999999,0.98
1983,October  ,4.0,2.8,0.8524474568362947,2.1,2.25,2.55,3.0999999999999996,4.0
1984,April    ,4.0,4.425,1.475070619778366,3.1,3.1750000000000003,4.4,5.6499999999999995,5.8
1984,August   ,5.0,7.140000000000001,1.7868967513541456,4.4,7.1,7.3,7.5,9.4
1984,December ,4.0,6.225,0.6020797289396148,5.7,5.7749999999999995,6.1,6.550000000000001,7.0
1984,May      ,1.0,4.9,,4.9,4.9,4.9,4.9,4.9
1985,April    ,7.0,3.8114285714285714,2.578290315767593,1.8,1.85,2.3,5.25,8.38
1985,August   ,6.0,7.066666666666666,4.7877621773294745,2.1,3.325,6.05,11.175,12.9
1985,November ,4.0,0.8174999999999999,0.13124404748406687,0.7,0.7375,0.7849999999999999,0.865,1.0
1986,April    ,35.0,9.943428571428568,5.175792035358193,1.9,6.385,10.4,11.690000000000001,22.3
1986,August   ,34.0,13.07264705882353,5.255212309423121,2.67,8.3,13.85,17.125,22.4
1987,April    ,54.0,8.28888888888889,2.5529056081306964,4.0,6.7,8.1,9.775,15.7
1987,August   ,18.0,14.05,3.3936359123928352,7.2,11.925,15.5,16.925,17.9
1987,July     ,18.0,6.116666666666667,2.6034479400346355,2.6,4.7,5.6,7.3500000000000005,12.1
1988,April    ,35.0,8.026285714285715,4.229550167789565,1.38,4.71,7.87,11.7,15.3
1988,August   ,18.0,7.998333333333333,4.265263594364568,2.07,6.329999999999999,7.675000000000001,8.3925,17.78
1989,August   ,36.0,18.261944444444442,7.461285534369853,5.06,11.684999999999999,18.33,24.9825,31.76
1990,April    ,34.0,2.82235294117647,2.1504461254177984,0.68,0.8925,2.13,4.1425,8.23
1990,August   ,35.0,1.0420000000000003,0.6336811222577822,0.42,0.565,0.73,1.385,2.5
1991,April    ,36.0,6.046111111111111,3.5689080184903115,1.4,3.7249999999999996,5.085,7.4575,17.43
1991,August   ,36.0,6.272222222222223,3.707032784248349,0.9,3.5500000000000003,5.734999999999999,8.912500000000001,14.3
1992,April    ,36.0,4.158333333333335,3.1192833426010815,1.3,1.8,2.5999999999999996,6.674999999999999,13.5
1993,April    ,36.0,1.283333333333333,1.4639476961773112,0.1,0.4,0.6499999999999999,1.6,6.6
1996,April    ,55.0,3.7127272727272715,2.014765361345946,0.1,1.6,4.1,4.95,7.5
1996,August   ,29.0,1.5931034482758621,0.9512889881188872,0.1,1.0,1.4,2.1,3.7
1997,April    ,55.0,1.0000214081818184,0.9470427898777454,0.02353318,0.409327055,0.67641553,0.8858345400000001,3.55501176
1997,August   ,27.0,4.090563033259259,2.2590476237422425,0.755344418,2.4082897865,3.6760095010000002,6.156057006999999,7.37719715
1998,April    ,29.0,2.489045954034482,1.8699105946775685,0.045666667,0.94,1.966666667,4.233333333,6.1
1998,August   ,27.0,2.214570370407407,1.020131992854093,0.0334,1.52,2.133333333,2.806666667,4.52
1999,August   ,27.0,4.537037037037037,2.403705176492861,0.17,3.33,3.82,6.140000000000001,9.2
1999,March    ,28.0,1.7728571428571434,1.1623662237415704,0.06,0.7475,1.5,3.035,3.29
2000,April    ,29.0,1.6513793103448273,1.2599793766394154,0.04,0.65,1.31,2.63,4.27
2000,August   ,27.0,4.32037037037037,2.531716476837073,0.2,2.505,4.17,6.425,8.4
2001,April    ,34.0,3.341411764705883,2.143353491365413,0.016,1.71975,2.731,5.380999999999999,6.992000000000001
2001,August   ,28.0,6.909700000000001,2.7754668003779113,0.0053,4.624975,7.0,7.999975,11.7333
2002,April    ,58.0,2.790672413793104,2.991348562795371,0.004,0.702,1.3630000000000002,4.3317499999999995,11.8
2002,August   ,28.0,6.87375,3.6588979683222362,0.018000000000000002,4.368,5.95,10.500250000000001,13.6
2003,April    ,56.0,3.545625,1.5776870592161747,0.017,2.57475,3.58,4.19175,7.267
2003,August   ,27.0,6.3685925925925915,2.63692875343879,0.096,5.1235,6.367000000000001,7.699999999999999,11.667
2004,April    ,29.0,2.057011379310344,1.2434300035607846,0.003,1.06,1.8330000000000002,3.227,3.64
2004,August   ,28.0,5.127607142857143,1.8603347635680205,0.017,3.782,5.2135,6.632,7.733
2005,April    ,33.0,3.9878787878787887,3.675206726818028,0.033,1.4269999999999998,2.327,8.6,10.667
2005,August   ,29.0,6.911758620689656,3.8323951169617567,0.012,5.88,7.0,9.6,13.467
2006,April    ,29.0,2.654114942551724,1.6599580991459875,0.002666667,1.1,2.746666667,4.06,5.973333332999999
2006,August   ,28.0,8.674689285714287,6.787634999644536,0.0613,4.425,6.6850000000000005,9.482500000000002,28.5
2007,April    ,29.0,7.665172413793104,6.765519524286184,0.14,3.55,5.68,10.27,22.27
2007,August   ,29.0,7.435517241379309,2.8374782393210864,0.04,7.14,7.7,9.54,10.88
2008,April    ,28.0,4.731285714285714,2.9695571668509375,0.018000000000000002,2.3497500000000002,3.7065,5.4697499999999994,10.533
2008,August   ,28.0,3.243928571428571,1.5202566530047783,0.02,2.0775,3.58,4.6375,5.75
2009,April    ,27.0,3.744074074074074,2.250303089430842,0.024,2.104,3.003,4.8825,8.533
2009,August   ,28.0,6.837000000000001,3.597922589906982,0.087,4.368,5.7865,8.8135,15.317
2010,April    ,28.0,2.7468214285714287,1.5892186072866223,0.013999999999999999,1.877,2.7039999999999997,4.36175,4.912
2010,August   ,28.0,10.78932142857143,6.034143727364038,0.113,6.5089999999999995,12.64,14.96025,19.733
2011,April    ,27.0,4.190196543209878,3.403399038555265,0.0419733333333333,2.066666666666665,2.1866666666666696,5.0746666666666655,11.146666666666698
2011,August   ,27.0,19.184395061728395,11.589355698792627,0.0906666666666667,9.73333333333333,12.64,31.08,35.856
2012,April    ,27.0,2.798338765432098,1.2008741242674732,0.0351466666666667,1.8853333333333302,2.8373333333333304,4.06933333333333,4.442666666666669
2012,August   ,27.0,6.295257283950617,4.781818337291327,0.0199466666666667,4.429333333333335,5.136,6.0266666666666655,19.055999999999997
2013,April    ,27.0,1.8854617283950612,1.7080121721304031,0.00613333333333333,0.6836666666666671,1.32,2.30333333333333,5.40666666666667
2013,August   ,26.0,7.5108717948717905,5.048193589417833,0.0226666666666667,4.46166666666667,5.55333333333333,10.383333333333333,23.466666666666697
2014,April    ,27.0,2.112871604938271,1.51535353545322,0.0042,1.0433333333333334,1.9,3.07333333333333,4.79333333333333
2014,August   ,28.0,4.5663661904761925,2.542339246750942,0.00572,2.9350000000000027,3.81,6.543333333333333,10.0666666666667
2015,April    ,27.0,4.534977777777778,2.819652373797136,0.0444,2.99,4.02,7.93333333333333,8.86666666666667
2015,August   ,27.0,11.377012345679011,10.976701448036604,0.159333333333333,5.233333333333335,6.16,15.1333333333333,48.8
