YEAR,MONTH,count,mean,std,min,25%,50%,75%,max
1983,April    ,6.0,21.46666666666667,0.6713171133426175,20.6,20.925,21.9,21.9,21.9
1983,August   ,7.0,10.085714285714285,1.244224753850862,8.9,9.100000000000001,9.3,11.3,11.6
1983,May      ,3.0,20.166666666666664,0.2516611478423584,19.9,20.049999999999997,20.2,20.299999999999997,20.4
1983,October  ,4.0,10.325,4.534589286804263,6.3,6.45,10.3,14.174999999999999,14.4
1984,April    ,4.0,18.65,0.6757711644237772,17.9,18.275,18.6,18.975,19.5
1984,August   ,6.0,9.666666666666666,1.028915286438425,7.9,9.299999999999999,9.9,10.424999999999999,10.6
1984,December ,4.0,10.475000000000001,0.9215023964519391,9.2,10.100000000000001,10.75,11.125,11.2
1984,May      ,2.0,16.2,0.282842712474618,16.0,16.1,16.2,16.299999999999997,16.4
1985,April    ,7.0,10.124285714285715,2.315627036339957,7.4,8.25,10.47,11.35,13.8
1985,August   ,6.0,8.986666666666666,0.7436845209271651,8.1,8.325,9.2,9.415,9.9
1985,November ,4.0,13.0525,4.093664820996787,9.4,9.5725,12.955000000000002,16.435000000000002,16.9
1986,April    ,36.0,12.326666666666664,3.010661056977354,8.4,10.200000000000001,11.5,14.15,18.9
1986,August   ,35.0,10.117142857142857,2.009618886064443,7.0,9.149999999999999,9.5,10.64,15.6
1987,April    ,46.0,13.63586956521739,4.689345643092059,8.0,11.0,12.775,14.287500000000001,24.9
1987,August   ,19.0,9.573684210526316,1.0148027204356067,8.3,8.75,9.5,10.350000000000001,11.4
1987,July     ,18.0,9.744444444444445,1.3789263607955038,7.9,8.1,10.1,10.3,11.8
1988,April    ,35.0,11.471428571428572,2.227049146103351,8.2,9.75,12.0,12.899999999999999,15.9
1988,August   ,36.0,9.222222222222223,0.9624703664784734,7.8,8.475,8.9,9.7,11.1
1989,August   ,36.0,10.466666666666665,1.191877270767183,8.7,9.225000000000001,10.8,11.125,13.1
1990,April    ,34.0,14.438235294117648,3.9548983594863842,7.7,11.575,14.4,18.099999999999998,20.6
1990,August   ,36.0,11.069444444444448,2.6395691687897465,7.4,9.2,10.2,13.625,16.3
1991,April    ,36.0,13.499999999999998,2.733600451523856,7.4,10.975,14.3,15.2,18.3
1991,August   ,36.0,9.68888888888889,1.5809179571696907,7.0,8.524999999999999,9.399999999999999,10.975000000000001,13.5
1992,April    ,36.0,14.54722222222222,4.1407029155592205,8.3,11.625000000000002,13.85,18.150000000000002,20.6
1993,April    ,36.0,15.283333333333324,5.365631370118524,8.5,12.15,13.25,17.625,26.3
