YEAR,MONTH,count,mean,std,min,25%,50%,75%,max
1983,April    ,6.0,7.466666666666668,0.30110906108363217,7.2,7.2,7.4,7.75,7.8
1983,August   ,7.0,23.849999999999998,1.2829003598617215,22.2,23.1,24.0,24.375,25.8
1983,May      ,3.0,11.300000000000002,2.175583928816829e-15,11.3,11.3,11.3,11.3,11.3
1983,October  ,4.0,11.774999999999999,1.068877916321597,10.8,10.875,11.8,12.7,12.7
1984,April    ,4.0,6.825,1.0688779163215971,5.9,5.9,6.800000000000001,7.7250000000000005,7.8
1984,August   ,6.0,24.45,0.32710854467592315,23.9,24.299999999999997,24.6,24.674999999999997,24.7
1984,December ,4.0,1.8499999999999999,1.0999999999999999,0.8,0.95,1.9,2.8,2.8
1984,May      ,2.0,8.25,0.0,8.25,8.25,8.25,8.25,8.25
1985,April    ,7.0,11.914285714285715,2.19805108480867,8.8,10.55,12.9,13.350000000000001,13.9
1985,August   ,6.0,22.25,0.6565059024867946,21.5,21.7,22.3,22.675,23.1
1985,November ,4.0,6.45,0.8660254037844386,5.7,5.7,6.45,7.2,7.2
1986,April    ,36.0,7.866666666666666,1.5188341393506872,5.6,6.675000000000001,7.4,9.2,10.7
1986,August   ,34.0,23.39705882352942,0.9249030396741994,20.1,22.8,23.5,23.95,25.5
1987,April    ,48.0,5.074999999999997,1.865076577060007,3.0,3.575,4.0,7.025,8.2
1987,August   ,19.0,25.852631578947367,0.17438278792686548,25.5,25.85,25.9,26.0,26.0
1987,July     ,18.0,25.977777777777774,0.5253072552500114,25.2,25.5,26.15,26.374999999999996,26.9
1988,April    ,36.0,6.605555555555554,1.2846221110715665,4.3,5.975,6.5,7.625,8.5
1988,August   ,36.0,26.438888888888894,0.5802845497944595,25.2,26.174999999999997,26.5,26.924999999999997,27.2
1989,August   ,36.0,23.355555555555544,0.6145588171058486,21.8,23.0,23.3,23.55,25.0
1990,April    ,34.0,5.4,0.9700827830966828,3.7,4.675,5.1,6.137500000000001,7.0
1990,August   ,36.0,23.013888888888893,0.6490224639641982,22.0,22.6,22.9,23.5,25.0
1991,April    ,36.0,6.748611111111113,1.380139025663259,4.8,5.7,6.0,8.0,9.3
1991,August   ,36.0,23.755555555555553,0.5684286332611254,22.9,23.475,23.5,24.0,25.1
1992,April    ,36.0,3.542222222222222,0.9601015157965958,2.15,2.8375000000000004,3.3499999999999996,4.55,4.8
1993,April    ,36.0,4.345833333333335,1.2860446004263284,2.6,3.2249999999999996,4.275,5.3500000000000005,6.3
1996,April    ,12.0,4.8583333333333325,2.369295381766614,2.2,3.4,3.6,5.925000000000001,9.4
1996,August   ,5.0,23.98,1.4481022063376607,21.4,24.4,24.7,24.7,24.7
1997,April    ,12.0,4.976858333333333,2.05311355327744,1.9444,3.94445,4.5,6.819475,7.7778
1997,August   ,3.0,24.129629626666667,1.4596775123575423,22.44444444,23.69444444,24.94444444,24.97222222,25.0
1998,April    ,24.0,7.0583333333333345,0.7459552770523971,5.9,6.625,6.9,7.6,9.0
1998,August   ,5.0,24.339999999999996,1.3575713609236164,23.4,23.5,23.9,24.2,26.7
1999,August   ,6.0,23.400000000000002,1.745852227423615,21.1,22.0,24.45,24.5,24.7
2000,August   ,6.0,20.150000000000002,1.0986355173577813,18.5,19.5,20.35,20.825,21.5
2001,April    ,8.0,11.575,1.9352002480363626,7.5,10.85,12.2,13.0,13.3
2001,August   ,26.0,27.236538461538462,1.4867923656185282,25.32,26.53,26.630000000000003,27.33,31.0
2002,April    ,59.0,5.71694915254237,3.089166417100635,1.8,3.5,3.74,8.55,12.4
2002,August   ,34.0,24.776470588235295,2.002280339941137,19.2,25.3,25.4,26.0,26.0
2003,April    ,68.0,6.055882352941174,1.774720693008169,3.78,4.71,5.8,6.9,12.3
2003,August   ,26.0,24.32884615384615,0.900019230563778,22.3,23.949999999999996,24.2,24.7,26.8
2004,April    ,33.0,5.969696969696969,0.8669215825569405,4.5,5.4,6.1,6.5,8.2
2004,August   ,34.0,22.120588235294115,1.2698793576114624,17.5,22.5,22.6,22.7,22.8
2005,April    ,32.0,6.265625,3.5395105707774293,4.2,4.6,4.9,5.65,18.6
2005,August   ,28.0,26.342857142857138,0.46382353878633126,25.2,26.050000000000004,26.4,26.6,27.2
2006,April    ,28.0,5.028571428571427,1.4881898382629128,1.0,4.8,5.35,5.925000000000001,6.6
2006,August   ,27.0,25.33333333333334,2.132171157799919,17.4,24.9,26.0,26.35,27.0
2007,April    ,26.0,2.703461538461539,1.0728986617856964,0.04,2.6,3.2,3.375,3.6
2007,August   ,32.0,25.662500000000005,0.6509298559901479,24.4,25.2,25.65,26.1,27.4
2008,April    ,33.0,10.078787878787882,1.3068945959213716,6.2,9.2,10.2,10.8,12.4
